July 11, 2024   20:50:58
Amperometric i-t Curve
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp15\exp15deposition-2024-07-11t20_47_11-deposition\exp15deposition_it_edep_-140mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.4
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.8

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.319e-3
2.000e-1, 3.241e-3
3.000e-1, 3.189e-3
4.000e-1, 3.146e-3
5.000e-1, 3.084e-3
6.000e-1, 3.053e-3
7.000e-1, 3.017e-3
8.000e-1, 2.995e-3
9.000e-1, 2.981e-3
1.000e+0, 3.077e-3
1.100e+0, 3.026e-3
1.200e+0, 3.016e-3
1.300e+0, 3.190e-3
1.400e+0, 3.267e-3
1.500e+0, 3.310e-3
1.600e+0, 3.327e-3
1.700e+0, 3.318e-3
1.800e+0, 3.338e-3
1.900e+0, 3.344e-3
2.000e+0, 3.335e-3
2.100e+0, 3.367e-3
2.200e+0, 3.434e-3
2.300e+0, 3.441e-3
2.400e+0, 3.421e-3
2.500e+0, 3.423e-3
2.600e+0, 3.406e-3
2.700e+0, 3.395e-3
2.800e+0, 3.422e-3
2.900e+0, 3.457e-3
3.000e+0, 3.472e-3
3.100e+0, 3.454e-3
3.200e+0, 3.448e-3
3.300e+0, 3.429e-3
3.400e+0, 3.443e-3
3.500e+0, 3.498e-3
3.600e+0, 3.586e-3
3.700e+0, 3.711e-3
3.800e+0, 3.793e-3
3.900e+0, 3.808e-3
4.000e+0, 3.782e-3
4.100e+0, 3.750e-3
4.200e+0, 3.714e-3
4.300e+0, 3.748e-3
4.400e+0, 3.831e-3
4.500e+0, 3.816e-3
4.600e+0, 3.771e-3
4.700e+0, 3.738e-3
4.800e+0, 3.730e-3
4.900e+0, 3.706e-3
5.000e+0, 3.667e-3
5.100e+0, 3.637e-3
5.200e+0, 3.629e-3
5.300e+0, 3.621e-3
5.400e+0, 3.613e-3
5.500e+0, 3.616e-3
5.600e+0, 3.633e-3
5.700e+0, 3.683e-3
5.800e+0, 3.743e-3
5.900e+0, 3.760e-3
6.000e+0, 3.740e-3
6.100e+0, 3.704e-3
6.200e+0, 3.685e-3
6.300e+0, 3.664e-3
6.400e+0, 3.650e-3
6.500e+0, 3.669e-3
6.600e+0, 3.775e-3
6.700e+0, 3.890e-3
6.800e+0, 3.879e-3
6.900e+0, 3.881e-3
7.000e+0, 3.870e-3
7.100e+0, 3.845e-3
7.200e+0, 3.829e-3
7.300e+0, 3.826e-3
7.400e+0, 3.862e-3
7.500e+0, 3.861e-3
7.600e+0, 3.815e-3
7.700e+0, 3.800e-3
7.800e+0, 3.875e-3
7.900e+0, 3.909e-3
8.000e+0, 3.966e-3
8.100e+0, 3.970e-3
8.200e+0, 4.005e-3
8.300e+0, 4.247e-3
8.400e+0, 4.320e-3
8.500e+0, 4.322e-3
8.600e+0, 4.295e-3
8.700e+0, 4.261e-3
8.800e+0, 4.234e-3
8.900e+0, 4.213e-3
9.000e+0, 4.263e-3
9.100e+0, 4.241e-3
9.200e+0, 4.171e-3
9.300e+0, 4.185e-3
9.400e+0, 4.169e-3
9.500e+0, 4.162e-3
9.600e+0, 4.155e-3
9.700e+0, 4.127e-3
9.800e+0, 4.236e-3
9.900e+0, 4.254e-3
1.000e+1, 4.281e-3
1.010e+1, 4.281e-3
1.020e+1, 4.309e-3
1.030e+1, 4.329e-3
1.040e+1, 4.360e-3
1.050e+1, 4.389e-3
1.060e+1, 4.463e-3
1.070e+1, 4.455e-3
1.080e+1, 4.449e-3
1.090e+1, 4.518e-3
1.100e+1, 4.546e-3
1.110e+1, 4.576e-3
1.120e+1, 4.607e-3
1.130e+1, 4.621e-3
1.140e+1, 4.595e-3
1.150e+1, 4.555e-3
1.160e+1, 4.479e-3
1.170e+1, 4.432e-3
1.180e+1, 4.385e-3
1.190e+1, 4.339e-3
1.200e+1, 4.297e-3
1.210e+1, 4.286e-3
1.220e+1, 4.312e-3
1.230e+1, 4.362e-3
1.240e+1, 4.444e-3
1.250e+1, 4.524e-3
1.260e+1, 4.496e-3
1.270e+1, 4.476e-3
1.280e+1, 4.460e-3
1.290e+1, 4.447e-3
1.300e+1, 4.421e-3
1.310e+1, 4.390e-3
1.320e+1, 4.425e-3
1.330e+1, 4.430e-3
1.340e+1, 4.564e-3
1.350e+1, 4.688e-3
1.360e+1, 4.683e-3
1.370e+1, 4.738e-3
1.380e+1, 4.769e-3
1.390e+1, 4.763e-3
1.400e+1, 4.718e-3
1.410e+1, 4.698e-3
1.420e+1, 4.669e-3
1.430e+1, 4.660e-3
1.440e+1, 4.679e-3
1.450e+1, 4.705e-3
1.460e+1, 4.748e-3
1.470e+1, 4.743e-3
1.480e+1, 4.751e-3
1.490e+1, 4.807e-3
1.500e+1, 4.869e-3
1.510e+1, 4.894e-3
1.520e+1, 4.910e-3
1.530e+1, 4.978e-3
1.540e+1, 5.214e-3
1.550e+1, 5.429e-3
1.560e+1, 5.443e-3
1.570e+1, 5.395e-3
1.580e+1, 5.301e-3
1.590e+1, 5.234e-3
1.600e+1, 5.152e-3
1.610e+1, 5.062e-3
1.620e+1, 4.972e-3
1.630e+1, 4.923e-3
1.640e+1, 4.862e-3
1.650e+1, 4.823e-3
1.660e+1, 4.788e-3
1.670e+1, 4.744e-3
1.680e+1, 4.720e-3
1.690e+1, 4.732e-3
1.700e+1, 4.714e-3
1.710e+1, 4.710e-3
1.720e+1, 4.752e-3
1.730e+1, 4.752e-3
1.740e+1, 4.741e-3
1.750e+1, 4.704e-3
1.760e+1, 4.653e-3
1.770e+1, 4.640e-3
1.780e+1, 4.611e-3
1.790e+1, 4.600e-3
1.800e+1, 4.613e-3
1.810e+1, 4.601e-3
1.820e+1, 4.578e-3
1.830e+1, 4.570e-3
1.840e+1, 4.558e-3
1.850e+1, 4.523e-3
1.860e+1, 4.537e-3
1.870e+1, 4.580e-3
1.880e+1, 4.629e-3
