July 15, 2024   08:19:26
Open Circuit Potential - Time
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp49\regeneratedgce-2024-07-15t08_18_02-lsvinkoh\ocp_2024-07-15t08_19_07.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, -5.795e-2
2.000e-2, -1.313e-1
3.000e-2, -3.359e-2
4.000e-2, -8.754e-2
5.000e-2, -7.120e-2
6.000e-2, -2.280e-2
7.000e-2, -9.834e-2
8.000e-2, -1.170e-2
9.000e-2, -6.165e-2
1.000e-1, -4.993e-2
1.100e-1, -1.232e-2
1.200e-1, -7.922e-2
1.300e-1, -6.151e-3
1.400e-1, -4.746e-2
1.500e-1, -3.883e-2
1.600e-1, -7.384e-3
1.700e-1, -6.689e-2
1.800e-1, -3.684e-3
1.900e-1, -3.883e-2
2.000e-1, -3.236e-2
2.100e-1, -4.609e-3
2.200e-1, -5.826e-2
2.300e-1, -2.451e-3
2.400e-1, -3.328e-2
2.500e-1, -2.804e-2
2.600e-1, -3.068e-3
2.700e-1, -5.240e-2
2.800e-1, -1.834e-3
2.900e-1, -2.958e-2
3.000e-1, -2.527e-2
3.100e-1, -2.451e-3
3.200e-1, -4.777e-2
3.300e-1, -1.526e-3
3.400e-1, -2.650e-2
3.500e-1, -2.342e-2
3.600e-1, -1.834e-3
3.700e-1, -4.500e-2
3.800e-1, -1.218e-3
3.900e-1, -2.465e-2
4.000e-1, -2.218e-2
4.100e-1, -1.218e-3
4.200e-1, -4.253e-2
4.300e-1, -1.218e-3
4.400e-1, -2.280e-2
4.500e-1, -2.095e-2
4.600e-1, -9.093e-4
4.700e-1, -4.068e-2
4.800e-1, -1.218e-3
4.900e-1, -2.187e-2
5.000e-1, -2.033e-2
5.100e-1, -9.093e-4
5.200e-1, -3.945e-2
5.300e-1, -9.093e-4
5.400e-1, -2.095e-2
5.500e-1, -2.002e-2
5.600e-1, -6.010e-4
5.700e-1, -3.852e-2
5.800e-1, -9.093e-4
5.900e-1, -2.002e-2
6.000e-1, -1.972e-2
6.100e-1, -6.010e-4
6.200e-1, -3.760e-2
6.300e-1, -9.093e-4
6.400e-1, -1.941e-2
6.500e-1, -1.941e-2
6.600e-1, -2.927e-4
6.700e-1, -3.698e-2
6.800e-1, -9.093e-4
6.900e-1, -1.879e-2
7.000e-1, -1.941e-2
7.100e-1, -2.927e-4
7.200e-1, -3.667e-2
7.300e-1, -9.093e-4
7.400e-1, -1.848e-2
7.500e-1, -1.941e-2
7.600e-1, -2.927e-4
7.700e-1, -3.606e-2
7.800e-1, -9.093e-4
7.900e-1, -1.817e-2
8.000e-1, -1.941e-2
8.100e-1, 1.559e-5
8.200e-1, -3.606e-2
8.300e-1, -9.093e-4
8.400e-1, -1.787e-2
8.500e-1, -1.941e-2
8.600e-1, 1.559e-5
8.700e-1, -3.575e-2
8.800e-1, -1.218e-3
8.900e-1, -1.756e-2
9.000e-1, -1.972e-2
9.100e-1, 1.559e-5
9.200e-1, -3.575e-2
9.300e-1, -1.218e-3
9.400e-1, -1.725e-2
9.500e-1, -1.972e-2
9.600e-1, 1.559e-5
9.700e-1, -3.575e-2
9.800e-1, -1.218e-3
9.900e-1, -1.725e-2
1.000e+0, -2.002e-2
1.010e+0, 1.559e-5
1.020e+0, -3.575e-2
1.030e+0, -1.218e-3
1.040e+0, -1.694e-2
1.050e+0, -2.033e-2
1.060e+0, 1.559e-5
1.070e+0, -3.575e-2
1.080e+0, -1.218e-3
1.090e+0, -1.694e-2
1.100e+0, -2.033e-2
1.110e+0, 1.559e-5
1.120e+0, -3.575e-2
1.130e+0, -1.218e-3
1.140e+0, -1.663e-2
1.150e+0, -2.064e-2
1.160e+0, 1.559e-5
1.170e+0, -3.575e-2
1.180e+0, -1.218e-3
1.190e+0, -1.632e-2
1.200e+0, -2.064e-2
1.210e+0, 1.559e-5
1.220e+0, -3.544e-2
1.230e+0, -1.526e-3
1.240e+0, -1.602e-2
1.250e+0, -2.095e-2
1.260e+0, 1.559e-5
1.270e+0, -3.513e-2
1.280e+0, -1.526e-3
1.290e+0, -1.571e-2
1.300e+0, -2.095e-2
1.310e+0, 3.239e-4
1.320e+0, -3.513e-2
1.330e+0, -1.526e-3
1.340e+0, -1.571e-2
1.350e+0, -2.095e-2
1.360e+0, 3.239e-4
1.370e+0, -3.513e-2
1.380e+0, -1.526e-3
1.390e+0, -1.540e-2
1.400e+0, -2.126e-2
1.410e+0, 3.239e-4
1.420e+0, -3.513e-2
1.430e+0, -1.526e-3
1.440e+0, -1.509e-2
1.450e+0, -2.126e-2
1.460e+0, 3.239e-4
1.470e+0, -3.482e-2
1.480e+0, -1.526e-3
1.490e+0, -1.509e-2
1.500e+0, -2.157e-2
1.510e+0, 3.239e-4
1.520e+0, -3.513e-2
1.530e+0, -1.834e-3
1.540e+0, -1.478e-2
1.550e+0, -2.187e-2
1.560e+0, 3.239e-4
1.570e+0, -3.482e-2
1.580e+0, -1.834e-3
1.590e+0, -1.478e-2
1.600e+0, -2.187e-2
1.610e+0, 3.239e-4
1.620e+0, -3.482e-2
1.630e+0, -1.834e-3
1.640e+0, -1.448e-2
1.650e+0, -2.187e-2
1.660e+0, 3.239e-4
1.670e+0, -3.452e-2
1.680e+0, -1.834e-3
1.690e+0, -1.448e-2
1.700e+0, -2.218e-2
1.710e+0, 3.239e-4
1.720e+0, -3.482e-2
1.730e+0, -1.834e-3
1.740e+0, -1.417e-2
1.750e+0, -2.249e-2
1.760e+0, 3.239e-4
1.770e+0, -3.482e-2
1.780e+0, -2.143e-3
1.790e+0, -1.386e-2
1.800e+0, -2.249e-2
1.810e+0, 3.239e-4
1.820e+0, -3.452e-2
1.830e+0, -2.143e-3
1.840e+0, -1.386e-2
1.850e+0, -2.280e-2
1.860e+0, 3.239e-4
1.870e+0, -3.452e-2
1.880e+0, -2.143e-3
1.890e+0, -1.355e-2
1.900e+0, -2.280e-2
1.910e+0, 3.239e-4
1.920e+0, -3.421e-2
1.930e+0, -2.143e-3
1.940e+0, -1.355e-2
1.950e+0, -2.311e-2
1.960e+0, 3.239e-4
1.970e+0, -3.421e-2
1.980e+0, -2.143e-3
1.990e+0, -1.324e-2
2.000e+0, -2.311e-2
2.010e+0, 3.239e-4
2.020e+0, -3.452e-2
2.030e+0, -2.451e-3
2.040e+0, -1.355e-2
2.050e+0, -2.342e-2
2.060e+0, 3.239e-4
2.070e+0, -3.452e-2
2.080e+0, -2.451e-3
2.090e+0, -1.324e-2
2.100e+0, -2.342e-2
2.110e+0, 3.239e-4
2.120e+0, -3.421e-2
2.130e+0, -2.451e-3
2.140e+0, -1.293e-2
2.150e+0, -2.342e-2
2.160e+0, 3.239e-4
2.170e+0, -3.421e-2
2.180e+0, -2.451e-3
2.190e+0, -1.263e-2
2.200e+0, -2.372e-2
2.210e+0, 3.239e-4
2.220e+0, -3.421e-2
2.230e+0, -2.759e-3
2.240e+0, -1.263e-2
2.250e+0, -2.372e-2
2.260e+0, 3.239e-4
2.270e+0, -3.390e-2
2.280e+0, -2.759e-3
2.290e+0, -1.232e-2
2.300e+0, -2.403e-2
2.310e+0, 3.239e-4
2.320e+0, -3.390e-2
2.330e+0, -2.759e-3
2.340e+0, -1.232e-2
2.350e+0, -2.403e-2
2.360e+0, 3.239e-4
2.370e+0, -3.390e-2
2.380e+0, -2.759e-3
2.390e+0, -1.201e-2
2.400e+0, -2.403e-2
2.410e+0, 3.239e-4
2.420e+0, -3.359e-2
2.430e+0, -2.759e-3
2.440e+0, -1.170e-2
2.450e+0, -2.434e-2
2.460e+0, 3.239e-4
2.470e+0, -3.359e-2
2.480e+0, -3.068e-3
2.490e+0, -1.170e-2
2.500e+0, -2.434e-2
2.510e+0, 3.239e-4
2.520e+0, -3.359e-2
2.530e+0, -3.068e-3
2.540e+0, -1.170e-2
2.550e+0, -2.434e-2
2.560e+0, 3.239e-4
2.570e+0, -3.328e-2
2.580e+0, -3.068e-3
2.590e+0, -1.139e-2
2.600e+0, -2.465e-2
2.610e+0, 3.239e-4
2.620e+0, -3.297e-2
2.630e+0, -3.068e-3
2.640e+0, -1.139e-2
2.650e+0, -2.465e-2
2.660e+0, 3.239e-4
2.670e+0, -3.328e-2
2.680e+0, -3.376e-3
2.690e+0, -1.108e-2
2.700e+0, -2.496e-2
2.710e+0, 3.239e-4
2.720e+0, -3.328e-2
2.730e+0, -3.376e-3
2.740e+0, -1.108e-2
2.750e+0, -2.527e-2
2.760e+0, 3.239e-4
2.770e+0, -3.328e-2
2.780e+0, -3.376e-3
2.790e+0, -1.078e-2
2.800e+0, -2.527e-2
2.810e+0, 3.239e-4
2.820e+0, -3.297e-2
2.830e+0, -3.684e-3
2.840e+0, -1.078e-2
2.850e+0, -2.527e-2
2.860e+0, 3.239e-4
2.870e+0, -3.328e-2
2.880e+0, -3.684e-3
2.890e+0, -1.078e-2
2.900e+0, -2.557e-2
2.910e+0, 3.239e-4
2.920e+0, -3.267e-2
2.930e+0, -3.684e-3
2.940e+0, -1.047e-2
2.950e+0, -2.557e-2
2.960e+0, 3.239e-4
2.970e+0, -3.267e-2
2.980e+0, -3.684e-3
2.990e+0, -1.016e-2
3.000e+0, -2.588e-2
3.010e+0, 3.239e-4
3.020e+0, -3.267e-2
3.030e+0, -3.684e-3
3.040e+0, -1.016e-2
3.050e+0, -2.588e-2
3.060e+0, 3.239e-4
3.070e+0, -3.267e-2
3.080e+0, -3.992e-3
3.090e+0, -9.850e-3
3.100e+0, -2.588e-2
3.110e+0, 3.239e-4
3.120e+0, -3.236e-2
3.130e+0, -3.992e-3
