July 15, 2024   09:44:08
Open Circuit Potential - Time
File: c:/users/guazh/data/20240709_batch67/2024-07-10-exp50\exp50-2024-07-15t09_43_19-arkoh\ocp_2024-07-15t09_43_49.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, -9.494e-2
2.000e-2, -1.982e-1
3.000e-2, -1.637e-1
4.000e-2, -1.168e-1
5.000e-2, -2.275e-1
6.000e-2, -9.649e-2
7.000e-2, -1.988e-1
8.000e-2, -1.655e-1
9.000e-2, -1.181e-1
1.000e-1, -2.291e-1
1.100e-1, -9.803e-2
1.200e-1, -1.998e-1
1.300e-1, -1.674e-1
1.400e-1, -1.187e-1
1.500e-1, -2.306e-1
1.600e-1, -9.957e-2
1.700e-1, -2.007e-1
1.800e-1, -1.692e-1
1.900e-1, -1.196e-1
2.000e-1, -2.318e-1
2.100e-1, -1.011e-1
2.200e-1, -2.016e-1
2.300e-1, -1.711e-1
2.400e-1, -1.205e-1
2.500e-1, -2.337e-1
2.600e-1, -1.023e-1
2.700e-1, -2.022e-1
2.800e-1, -1.729e-1
2.900e-1, -1.212e-1
3.000e-1, -2.349e-1
3.100e-1, -1.039e-1
3.200e-1, -2.029e-1
3.300e-1, -1.748e-1
3.400e-1, -1.218e-1
3.500e-1, -2.362e-1
3.600e-1, -1.054e-1
3.700e-1, -2.038e-1
3.800e-1, -1.763e-1
3.900e-1, -1.230e-1
4.000e-1, -2.374e-1
4.100e-1, -1.067e-1
4.200e-1, -2.044e-1
4.300e-1, -1.782e-1
4.400e-1, -1.236e-1
4.500e-1, -2.389e-1
4.600e-1, -1.082e-1
4.700e-1, -2.050e-1
4.800e-1, -1.797e-1
4.900e-1, -1.242e-1
5.000e-1, -2.399e-1
5.100e-1, -1.094e-1
5.200e-1, -2.056e-1
5.300e-1, -1.816e-1
5.400e-1, -1.252e-1
5.500e-1, -2.411e-1
5.600e-1, -1.107e-1
5.700e-1, -2.062e-1
5.800e-1, -1.831e-1
5.900e-1, -1.258e-1
6.000e-1, -2.423e-1
6.100e-1, -1.122e-1
6.200e-1, -2.069e-1
6.300e-1, -1.847e-1
6.400e-1, -1.264e-1
6.500e-1, -2.436e-1
6.600e-1, -1.134e-1
6.700e-1, -2.078e-1
6.800e-1, -1.865e-1
6.900e-1, -1.273e-1
7.000e-1, -2.448e-1
7.100e-1, -1.147e-1
7.200e-1, -2.081e-1
7.300e-1, -1.881e-1
7.400e-1, -1.279e-1
7.500e-1, -2.457e-1
7.600e-1, -1.162e-1
7.700e-1, -2.087e-1
7.800e-1, -1.896e-1
7.900e-1, -1.282e-1
8.000e-1, -2.469e-1
8.100e-1, -1.175e-1
8.200e-1, -2.093e-1
8.300e-1, -1.911e-1
8.400e-1, -1.292e-1
8.500e-1, -2.482e-1
8.600e-1, -1.187e-1
8.700e-1, -2.096e-1
8.800e-1, -1.927e-1
8.900e-1, -1.298e-1
9.000e-1, -2.491e-1
9.100e-1, -1.199e-1
9.200e-1, -2.103e-1
9.300e-1, -1.942e-1
9.400e-1, -1.304e-1
9.500e-1, -2.503e-1
9.600e-1, -1.212e-1
9.700e-1, -2.109e-1
9.800e-1, -1.958e-1
