Aug. 29, 2024   08:14:46
Open Circuit Potential - Time
File: c:/users/guazh/data/20240813_batch_181_500/2024-08-25-exp213\1acid_2ac-2024-08-29t08_13_22-lsvinphos\ocp_2024-08-29t08_14_27.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, -2.527e-2
2.000e-2, -2.897e-2
3.000e-2, -3.297e-2
4.000e-2, -3.513e-2
5.000e-2, -3.883e-2
6.000e-2, -4.068e-2
7.000e-2, -4.346e-2
8.000e-2, -4.623e-2
9.000e-2, -4.746e-2
1.000e-1, -5.055e-2
1.100e-1, -5.178e-2
1.200e-1, -5.363e-2
1.300e-1, -5.610e-2
1.400e-1, -5.671e-2
1.500e-1, -5.949e-2
1.600e-1, -6.072e-2
1.700e-1, -6.226e-2
1.800e-1, -6.411e-2
1.900e-1, -6.473e-2
2.000e-1, -6.750e-2
2.100e-1, -6.812e-2
2.200e-1, -6.966e-2
2.300e-1, -7.151e-2
2.400e-1, -7.182e-2
2.500e-1, -7.429e-2
2.600e-1, -7.490e-2
2.700e-1, -7.614e-2
2.800e-1, -7.799e-2
2.900e-1, -7.830e-2
3.000e-1, -8.045e-2
3.100e-1, -8.107e-2
3.200e-1, -8.230e-2
3.300e-1, -8.385e-2
3.400e-1, -8.385e-2
3.500e-1, -8.631e-2
3.600e-1, -8.631e-2
3.700e-1, -8.754e-2
3.800e-1, -8.909e-2
3.900e-1, -8.909e-2
4.000e-1, -9.124e-2
4.100e-1, -9.155e-2
4.200e-1, -9.248e-2
4.300e-1, -9.371e-2
4.400e-1, -9.371e-2
4.500e-1, -9.587e-2
4.600e-1, -9.587e-2
4.700e-1, -9.679e-2
4.800e-1, -9.803e-2
4.900e-1, -9.803e-2
5.000e-1, -9.988e-2
5.100e-1, -9.988e-2
5.200e-1, -1.008e-1
5.300e-1, -1.020e-1
5.400e-1, -1.017e-1
5.500e-1, -1.036e-1
5.600e-1, -1.033e-1
5.700e-1, -1.045e-1
5.800e-1, -1.054e-1
5.900e-1, -1.051e-1
6.000e-1, -1.067e-1
6.100e-1, -1.067e-1
6.200e-1, -1.076e-1
6.300e-1, -1.085e-1
6.400e-1, -1.082e-1
6.500e-1, -1.097e-1
6.600e-1, -1.094e-1
6.700e-1, -1.104e-1
6.800e-1, -1.113e-1
6.900e-1, -1.110e-1
7.000e-1, -1.125e-1
7.100e-1, -1.122e-1
7.200e-1, -1.131e-1
7.300e-1, -1.141e-1
7.400e-1, -1.138e-1
7.500e-1, -1.153e-1
7.600e-1, -1.147e-1
7.700e-1, -1.156e-1
7.800e-1, -1.165e-1
7.900e-1, -1.159e-1
8.000e-1, -1.175e-1
8.100e-1, -1.168e-1
8.200e-1, -1.178e-1
8.300e-1, -1.187e-1
8.400e-1, -1.181e-1
8.500e-1, -1.196e-1
8.600e-1, -1.193e-1
8.700e-1, -1.199e-1
8.800e-1, -1.208e-1
8.900e-1, -1.202e-1
9.000e-1, -1.218e-1
9.100e-1, -1.212e-1
9.200e-1, -1.221e-1
9.300e-1, -1.227e-1
9.400e-1, -1.221e-1
9.500e-1, -1.236e-1
9.600e-1, -1.230e-1
9.700e-1, -1.239e-1
9.800e-1, -1.245e-1
9.900e-1, -1.239e-1
1.000e+0, -1.255e-1
1.010e+0, -1.249e-1
1.020e+0, -1.255e-1
1.030e+0, -1.264e-1
1.040e+0, -1.258e-1
1.050e+0, -1.270e-1
1.060e+0, -1.267e-1
1.070e+0, -1.270e-1
1.080e+0, -1.279e-1
1.090e+0, -1.273e-1
1.100e+0, -1.286e-1
1.110e+0, -1.279e-1
1.120e+0, -1.286e-1
1.130e+0, -1.292e-1
1.140e+0, -1.286e-1
1.150e+0, -1.301e-1
1.160e+0, -1.295e-1
1.170e+0, -1.298e-1
1.180e+0, -1.307e-1
1.190e+0, -1.298e-1
1.200e+0, -1.313e-1
1.210e+0, -1.307e-1
1.220e+0, -1.310e-1
1.230e+0, -1.316e-1
1.240e+0, -1.310e-1
1.250e+0, -1.326e-1
1.260e+0, -1.316e-1
1.270e+0, -1.322e-1
1.280e+0, -1.329e-1
1.290e+0, -1.322e-1
1.300e+0, -1.335e-1
1.310e+0, -1.329e-1
1.320e+0, -1.335e-1
1.330e+0, -1.341e-1
1.340e+0, -1.332e-1
1.350e+0, -1.344e-1
1.360e+0, -1.338e-1
1.370e+0, -1.344e-1
1.380e+0, -1.347e-1
1.390e+0, -1.341e-1
1.400e+0, -1.353e-1
1.410e+0, -1.347e-1
1.420e+0, -1.350e-1
1.430e+0, -1.356e-1
1.440e+0, -1.350e-1
1.450e+0, -1.363e-1
1.460e+0, -1.356e-1
1.470e+0, -1.363e-1
1.480e+0, -1.366e-1
1.490e+0, -1.359e-1
1.500e+0, -1.372e-1
1.510e+0, -1.366e-1
1.520e+0, -1.369e-1
1.530e+0, -1.375e-1
1.540e+0, -1.366e-1
1.550e+0, -1.381e-1
1.560e+0, -1.372e-1
1.570e+0, -1.378e-1
1.580e+0, -1.384e-1
1.590e+0, -1.375e-1
1.600e+0, -1.387e-1
1.610e+0, -1.381e-1
1.620e+0, -1.384e-1
1.630e+0, -1.390e-1
1.640e+0, -1.381e-1
1.650e+0, -1.396e-1
1.660e+0, -1.387e-1
1.670e+0, -1.390e-1
1.680e+0, -1.396e-1
1.690e+0, -1.387e-1
