Aug. 29, 2024   08:26:28
Open Circuit Potential - Time
File: c:/users/guazh/data/20240813_batch_181_500/2024-08-25-exp213\post-regen1-2024-08-29t08_25_05-lsvinphos\ocp_2024-08-29t08_26_10.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, 4.332e-3
2.000e-2, 2.790e-3
3.000e-2, 3.239e-4
4.000e-2, -2.927e-4
5.000e-2, -2.451e-3
6.000e-2, -3.376e-3
7.000e-2, -4.301e-3
8.000e-2, -6.151e-3
9.000e-2, -6.459e-3
1.000e-1, -8.000e-3
1.100e-1, -8.617e-3
1.200e-1, -9.234e-3
1.300e-1, -1.047e-2
1.400e-1, -1.078e-2
1.500e-1, -1.170e-2
1.600e-1, -1.263e-2
1.700e-1, -1.263e-2
1.800e-1, -1.386e-2
1.900e-1, -1.386e-2
2.000e-1, -1.478e-2
2.100e-1, -1.540e-2
2.200e-1, -1.571e-2
2.300e-1, -1.663e-2
2.400e-1, -1.663e-2
2.500e-1, -1.756e-2
2.600e-1, -1.787e-2
2.700e-1, -1.817e-2
2.800e-1, -1.910e-2
2.900e-1, -1.910e-2
3.000e-1, -2.002e-2
3.100e-1, -2.033e-2
3.200e-1, -2.033e-2
3.300e-1, -2.157e-2
3.400e-1, -2.126e-2
3.500e-1, -2.218e-2
3.600e-1, -2.249e-2
3.700e-1, -2.249e-2
3.800e-1, -2.372e-2
3.900e-1, -2.311e-2
4.000e-1, -2.434e-2
4.100e-1, -2.465e-2
4.200e-1, -2.465e-2
4.300e-1, -2.557e-2
4.400e-1, -2.527e-2
4.500e-1, -2.619e-2
4.600e-1, -2.650e-2
4.700e-1, -2.650e-2
4.800e-1, -2.742e-2
4.900e-1, -2.712e-2
5.000e-1, -2.804e-2
5.100e-1, -2.835e-2
5.200e-1, -2.835e-2
5.300e-1, -2.927e-2
5.400e-1, -2.897e-2
5.500e-1, -2.989e-2
5.600e-1, -3.020e-2
5.700e-1, -3.020e-2
5.800e-1, -3.112e-2
5.900e-1, -3.082e-2
6.000e-1, -3.174e-2
6.100e-1, -3.205e-2
6.200e-1, -3.205e-2
6.300e-1, -3.297e-2
6.400e-1, -3.267e-2
6.500e-1, -3.328e-2
6.600e-1, -3.390e-2
6.700e-1, -3.359e-2
6.800e-1, -3.482e-2
6.900e-1, -3.421e-2
7.000e-1, -3.513e-2
7.100e-1, -3.575e-2
7.200e-1, -3.544e-2
7.300e-1, -3.667e-2
7.400e-1, -3.606e-2
7.500e-1, -3.698e-2
7.600e-1, -3.729e-2
7.700e-1, -3.698e-2
7.800e-1, -3.791e-2
7.900e-1, -3.760e-2
8.000e-1, -3.852e-2
8.100e-1, -3.852e-2
8.200e-1, -3.852e-2
8.300e-1, -3.945e-2
8.400e-1, -3.914e-2
8.500e-1, -4.006e-2
8.600e-1, -4.006e-2
8.700e-1, -4.006e-2
8.800e-1, -4.099e-2
8.900e-1, -4.068e-2
9.000e-1, -4.130e-2
9.100e-1, -4.161e-2
9.200e-1, -4.161e-2
9.300e-1, -4.253e-2
9.400e-1, -4.191e-2
9.500e-1, -4.284e-2
9.600e-1, -4.315e-2
9.700e-1, -4.284e-2
9.800e-1, -4.376e-2
9.900e-1, -4.346e-2
1.000e+0, -4.407e-2
1.010e+0, -4.438e-2
1.020e+0, -4.438e-2
1.030e+0, -4.531e-2
1.040e+0, -4.469e-2
1.050e+0, -4.561e-2
1.060e+0, -4.592e-2
1.070e+0, -4.561e-2
1.080e+0, -4.654e-2
1.090e+0, -4.623e-2
1.100e+0, -4.716e-2
1.110e+0, -4.716e-2
1.120e+0, -4.716e-2
1.130e+0, -4.808e-2
1.140e+0, -4.746e-2
1.150e+0, -4.839e-2
1.160e+0, -4.839e-2
1.170e+0, -4.839e-2
1.180e+0, -4.931e-2
1.190e+0, -4.870e-2
1.200e+0, -4.962e-2
1.210e+0, -4.962e-2
1.220e+0, -4.962e-2
1.230e+0, -5.055e-2
1.240e+0, -4.993e-2
1.250e+0, -5.086e-2
1.260e+0, -5.086e-2
1.270e+0, -5.086e-2
1.280e+0, -5.178e-2
1.290e+0, -5.116e-2
1.300e+0, -5.209e-2
1.310e+0, -5.209e-2
1.320e+0, -5.209e-2
1.330e+0, -5.271e-2
1.340e+0, -5.209e-2
1.350e+0, -5.301e-2
1.360e+0, -5.332e-2
1.370e+0, -5.301e-2
1.380e+0, -5.394e-2
1.390e+0, -5.332e-2
1.400e+0, -5.425e-2
1.410e+0, -5.425e-2
1.420e+0, -5.425e-2
1.430e+0, -5.486e-2
1.440e+0, -5.456e-2
1.450e+0, -5.517e-2
1.460e+0, -5.548e-2
1.470e+0, -5.517e-2
1.480e+0, -5.610e-2
1.490e+0, -5.548e-2
1.500e+0, -5.641e-2
1.510e+0, -5.641e-2
1.520e+0, -5.641e-2
1.530e+0, -5.702e-2
1.540e+0, -5.641e-2
1.550e+0, -5.733e-2
1.560e+0, -5.733e-2
1.570e+0, -5.733e-2
1.580e+0, -5.795e-2
1.590e+0, -5.733e-2
1.600e+0, -5.826e-2
1.610e+0, -5.826e-2
1.620e+0, -5.826e-2
1.630e+0, -5.918e-2
1.640e+0, -5.856e-2
1.650e+0, -5.918e-2
1.660e+0, -5.949e-2
1.670e+0, -5.918e-2
1.680e+0, -6.011e-2
1.690e+0, -5.949e-2
1.700e+0, -6.011e-2
1.710e+0, -6.041e-2
1.720e+0, -6.011e-2
1.730e+0, -6.103e-2
1.740e+0, -6.041e-2
1.750e+0, -6.103e-2
1.760e+0, -6.103e-2
1.770e+0, -6.103e-2
1.780e+0, -6.165e-2
1.790e+0, -6.103e-2
1.800e+0, -6.195e-2
1.810e+0, -6.195e-2
1.820e+0, -6.165e-2
1.830e+0, -6.257e-2
1.840e+0, -6.195e-2
1.850e+0, -6.257e-2
1.860e+0, -6.257e-2
1.870e+0, -6.257e-2
1.880e+0, -6.319e-2
1.890e+0, -6.257e-2
1.900e+0, -6.350e-2
1.910e+0, -6.350e-2
1.920e+0, -6.319e-2
1.930e+0, -6.411e-2
1.940e+0, -6.350e-2
1.950e+0, -6.411e-2
1.960e+0, -6.411e-2
1.970e+0, -6.380e-2
1.980e+0, -6.442e-2
1.990e+0, -6.380e-2
2.000e+0, -6.473e-2
2.010e+0, -6.473e-2
2.020e+0, -6.442e-2
2.030e+0, -6.504e-2
2.040e+0, -6.442e-2
2.050e+0, -6.535e-2
2.060e+0, -6.535e-2
2.070e+0, -6.504e-2
2.080e+0, -6.565e-2
2.090e+0, -6.535e-2
2.100e+0, -6.596e-2
2.110e+0, -6.596e-2
2.120e+0, -6.596e-2
2.130e+0, -6.658e-2
2.140e+0, -6.596e-2
2.150e+0, -6.658e-2
2.160e+0, -6.658e-2
2.170e+0, -6.658e-2
2.180e+0, -6.720e-2
2.190e+0, -6.658e-2
2.200e+0, -6.720e-2
2.210e+0, -6.720e-2
2.220e+0, -6.720e-2
2.230e+0, -6.781e-2
2.240e+0, -6.750e-2
2.250e+0, -6.812e-2
2.260e+0, -6.812e-2
2.270e+0, -6.781e-2
2.280e+0, -6.874e-2
2.290e+0, -6.781e-2
2.300e+0, -6.874e-2
2.310e+0, -6.874e-2
2.320e+0, -6.843e-2
2.330e+0, -6.935e-2
2.340e+0, -6.874e-2
2.350e+0, -6.935e-2
2.360e+0, -6.935e-2
2.370e+0, -6.935e-2
2.380e+0, -6.997e-2
2.390e+0, -6.935e-2
2.400e+0, -7.028e-2
2.410e+0, -6.997e-2
2.420e+0, -6.997e-2
2.430e+0, -7.059e-2
2.440e+0, -6.997e-2
2.450e+0, -7.090e-2
2.460e+0, -7.059e-2
2.470e+0, -7.059e-2
2.480e+0, -7.120e-2
2.490e+0, -7.059e-2
2.500e+0, -7.151e-2
2.510e+0, -7.120e-2
2.520e+0, -7.120e-2
2.530e+0, -7.182e-2
2.540e+0, -7.120e-2
2.550e+0, -7.182e-2
2.560e+0, -7.182e-2
2.570e+0, -7.182e-2
2.580e+0, -7.244e-2
2.590e+0, -7.182e-2
2.600e+0, -7.244e-2
2.610e+0, -7.244e-2
2.620e+0, -7.244e-2
2.630e+0, -7.305e-2
2.640e+0, -7.244e-2
2.650e+0, -7.305e-2
2.660e+0, -7.305e-2
2.670e+0, -7.275e-2
2.680e+0, -7.336e-2
2.690e+0, -7.275e-2
2.700e+0, -7.367e-2
2.710e+0, -7.336e-2
2.720e+0, -7.336e-2
2.730e+0, -7.398e-2
2.740e+0, -7.336e-2
2.750e+0, -7.398e-2
2.760e+0, -7.398e-2
2.770e+0, -7.398e-2
2.780e+0, -7.460e-2
2.790e+0, -7.398e-2
2.800e+0, -7.460e-2
2.810e+0, -7.460e-2
2.820e+0, -7.460e-2
2.830e+0, -7.521e-2
2.840e+0, -7.460e-2
2.850e+0, -7.552e-2
2.860e+0, -7.521e-2
2.870e+0, -7.521e-2
2.880e+0, -7.583e-2
2.890e+0, -7.521e-2
2.900e+0, -7.583e-2
2.910e+0, -7.552e-2
2.920e+0, -7.552e-2
2.930e+0, -7.614e-2
2.940e+0, -7.552e-2
2.950e+0, -7.614e-2
2.960e+0, -7.614e-2
2.970e+0, -7.583e-2
2.980e+0, -7.645e-2
2.990e+0, -7.583e-2
3.000e+0, -7.675e-2
3.010e+0, -7.675e-2
3.020e+0, -7.645e-2
3.030e+0, -7.706e-2
3.040e+0, -7.645e-2
3.050e+0, -7.706e-2
3.060e+0, -7.706e-2
3.070e+0, -7.706e-2
3.080e+0, -7.768e-2
3.090e+0, -7.706e-2
3.100e+0, -7.768e-2
3.110e+0, -7.737e-2
3.120e+0, -7.737e-2
3.130e+0, -7.768e-2
3.140e+0, -7.706e-2
3.150e+0, -7.799e-2
3.160e+0, -7.768e-2
3.170e+0, -7.768e-2
3.180e+0, -7.830e-2
3.190e+0, -7.768e-2
3.200e+0, -7.830e-2
3.210e+0, -7.830e-2
3.220e+0, -7.799e-2
3.230e+0, -7.860e-2
3.240e+0, -7.799e-2
3.250e+0, -7.860e-2
3.260e+0, -7.860e-2
3.270e+0, -7.830e-2
3.280e+0, -7.891e-2
3.290e+0, -7.830e-2
3.300e+0, -7.891e-2
3.310e+0, -7.891e-2
3.320e+0, -7.891e-2
3.330e+0, -7.953e-2
3.340e+0, -7.891e-2
3.350e+0, -7.984e-2
3.360e+0, -7.953e-2
3.370e+0, -7.953e-2
3.380e+0, -7.984e-2
3.390e+0, -7.922e-2
3.400e+0, -8.015e-2
3.410e+0, -7.984e-2
3.420e+0, -7.984e-2
3.430e+0, -8.045e-2
3.440e+0, -7.984e-2
3.450e+0, -8.045e-2
3.460e+0, -8.015e-2
3.470e+0, -8.015e-2
3.480e+0, -8.076e-2
3.490e+0, -8.015e-2
3.500e+0, -8.076e-2
3.510e+0, -8.076e-2
3.520e+0, -8.076e-2
3.530e+0, -8.107e-2
3.540e+0, -8.045e-2
3.550e+0, -8.107e-2
3.560e+0, -8.107e-2
3.570e+0, -8.107e-2
3.580e+0, -8.138e-2
3.590e+0, -8.107e-2
3.600e+0, -8.169e-2
3.610e+0, -8.138e-2
