Aug. 29, 2024   06:56:42
Open Circuit Potential - Time
File: c:/users/guazh/data/20240813_batch_181_500/2024-08-25-exp213\exp213-2024-08-29t06_55_53-h2koh\ocp_2024-08-29t06_56_23.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, -4.640e-1
2.000e-2, -4.110e-1
3.000e-2, -4.362e-1
4.000e-2, -4.477e-1
5.000e-2, -4.036e-1
6.000e-2, -4.625e-1
7.000e-2, -4.079e-1
8.000e-2, -4.332e-1
9.000e-2, -4.464e-1
1.000e-1, -4.039e-1
1.100e-1, -4.671e-1
1.200e-1, -4.107e-1
1.300e-1, -4.366e-1
1.400e-1, -4.486e-1
1.500e-1, -4.051e-1
1.600e-1, -4.708e-1
1.700e-1, -4.137e-1
1.800e-1, -4.424e-1
1.900e-1, -4.547e-1
2.000e-1, -4.076e-1
2.100e-1, -4.729e-1
2.200e-1, -4.128e-1
2.300e-1, -4.418e-1
2.400e-1, -4.557e-1
2.500e-1, -4.094e-1
2.600e-1, -4.788e-1
2.700e-1, -4.156e-1
2.800e-1, -4.443e-1
2.900e-1, -4.557e-1
3.000e-1, -4.088e-1
3.100e-1, -4.791e-1
3.200e-1, -4.171e-1
3.300e-1, -4.486e-1
3.400e-1, -4.603e-1
3.500e-1, -4.103e-1
3.600e-1, -4.785e-1
3.700e-1, -4.150e-1
3.800e-1, -4.458e-1
3.900e-1, -4.581e-1
4.000e-1, -4.107e-1
4.100e-1, -4.816e-1
4.200e-1, -4.159e-1
4.300e-1, -4.458e-1
4.400e-1, -4.557e-1
4.500e-1, -4.082e-1
4.600e-1, -4.794e-1
4.700e-1, -4.156e-1
4.800e-1, -4.480e-1
4.900e-1, -4.584e-1
5.000e-1, -4.088e-1
5.100e-1, -4.782e-1
5.200e-1, -4.134e-1
5.300e-1, -4.455e-1
5.400e-1, -4.575e-1
5.500e-1, -4.100e-1
5.600e-1, -4.825e-1
5.700e-1, -4.147e-1
5.800e-1, -4.464e-1
5.900e-1, -4.557e-1
6.000e-1, -4.082e-1
6.100e-1, -4.809e-1
6.200e-1, -4.156e-1
6.300e-1, -4.501e-1
6.400e-1, -4.600e-1
6.500e-1, -4.100e-1
6.600e-1, -4.822e-1
6.700e-1, -4.147e-1
6.800e-1, -4.495e-1
6.900e-1, -4.612e-1
7.000e-1, -4.125e-1
7.100e-1, -4.883e-1
7.200e-1, -4.181e-1
7.300e-1, -4.526e-1
7.400e-1, -4.618e-1
7.500e-1, -4.125e-1
7.600e-1, -4.899e-1
7.700e-1, -4.202e-1
7.800e-1, -4.581e-1
7.900e-1, -4.677e-1
8.000e-1, -4.156e-1
8.100e-1, -4.920e-1
8.200e-1, -4.199e-1
8.300e-1, -4.581e-1
8.400e-1, -4.692e-1
8.500e-1, -4.181e-1
8.600e-1, -4.982e-1
8.700e-1, -4.224e-1
8.800e-1, -4.597e-1
8.900e-1, -4.677e-1
9.000e-1, -4.156e-1
9.100e-1, -4.945e-1
9.200e-1, -4.218e-1
9.300e-1, -4.612e-1
9.400e-1, -4.683e-1
9.500e-1, -4.150e-1
9.600e-1, -4.917e-1
9.700e-1, -4.181e-1
9.800e-1, -4.566e-1
9.900e-1, -4.662e-1
1.000e+0, -4.156e-1
1.010e+0, -4.939e-1
1.020e+0, -4.184e-1
1.030e+0, -4.563e-1
1.040e+0, -4.621e-1
1.050e+0, -4.119e-1
1.060e+0, -4.905e-1
1.070e+0, -4.177e-1
1.080e+0, -4.569e-1
1.090e+0, -4.637e-1
1.100e+0, -4.122e-1
1.110e+0, -4.871e-1
1.120e+0, -4.140e-1
1.130e+0, -4.535e-1
1.140e+0, -4.612e-1
1.150e+0, -4.119e-1
1.160e+0, -4.899e-1
1.170e+0, -4.147e-1
1.180e+0, -4.526e-1
1.190e+0, -4.578e-1
1.200e+0, -4.094e-1
1.210e+0, -4.868e-1
1.220e+0, -4.144e-1
1.230e+0, -4.551e-1
1.240e+0, -4.603e-1
1.250e+0, -4.100e-1
1.260e+0, -4.859e-1
1.270e+0, -4.128e-1
1.280e+0, -4.535e-1
1.290e+0, -4.615e-1
1.300e+0, -4.128e-1
1.310e+0, -4.924e-1
1.320e+0, -4.156e-1
1.330e+0, -4.560e-1
1.340e+0, -4.612e-1
1.350e+0, -4.125e-1
1.360e+0, -4.930e-1
1.370e+0, -4.177e-1
1.380e+0, -4.615e-1
1.390e+0, -4.662e-1
1.400e+0, -4.147e-1
1.410e+0, -4.939e-1
1.420e+0, -4.165e-1
1.430e+0, -4.603e-1
1.440e+0, -4.665e-1
1.450e+0, -4.165e-1
1.460e+0, -4.976e-1
1.470e+0, -4.177e-1
1.480e+0, -4.600e-1
1.490e+0, -4.628e-1
1.500e+0, -4.134e-1
1.510e+0, -4.951e-1
1.520e+0, -4.181e-1
1.530e+0, -4.631e-1
1.540e+0, -4.658e-1
1.550e+0, -4.150e-1
1.560e+0, -4.939e-1
1.570e+0, -4.153e-1
1.580e+0, -4.606e-1
1.590e+0, -4.655e-1
1.600e+0, -4.159e-1
1.610e+0, -4.970e-1
1.620e+0, -4.165e-1
1.630e+0, -4.597e-1
1.640e+0, -4.612e-1
1.650e+0, -4.128e-1
1.660e+0, -4.936e-1
1.670e+0, -4.156e-1
