Aug. 30, 2024   22:00:46
Amperometric i-t Curve
File: c:/users/guazh/data/20240829_batch_215_500/2024-08-29-exp224\exp224deposition-2024-08-30t21_56_54-deposition\exp224deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 12.0

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 2.357e-4
2.000e-1, 2.457e-4
3.000e-1, 2.570e-4
4.000e-1, 2.703e-4
5.000e-1, 2.803e-4
6.000e-1, 2.913e-4
7.000e-1, 3.007e-4
8.000e-1, 3.106e-4
9.000e-1, 3.193e-4
1.000e+0, 3.278e-4
1.100e+0, 3.460e-4
1.200e+0, 3.515e-4
1.300e+0, 3.532e-4
1.400e+0, 3.567e-4
1.500e+0, 3.621e-4
1.600e+0, 3.752e-4
1.700e+0, 3.792e-4
1.800e+0, 3.834e-4
1.900e+0, 3.880e-4
2.000e+0, 3.923e-4
2.100e+0, 4.078e-4
2.200e+0, 4.331e-4
2.300e+0, 4.304e-4
2.400e+0, 4.299e-4
2.500e+0, 4.333e-4
2.600e+0, 4.328e-4
2.700e+0, 4.309e-4
2.800e+0, 4.295e-4
2.900e+0, 4.290e-4
3.000e+0, 4.271e-4
3.100e+0, 4.275e-4
3.200e+0, 4.268e-4
3.300e+0, 4.273e-4
3.400e+0, 4.249e-4
3.500e+0, 4.472e-4
3.600e+0, 4.570e-4
3.700e+0, 4.646e-4
3.800e+0, 4.649e-4
3.900e+0, 4.643e-4
4.000e+0, 4.635e-4
4.100e+0, 4.622e-4
4.200e+0, 4.635e-4
4.300e+0, 4.653e-4
4.400e+0, 4.692e-4
4.500e+0, 4.708e-4
4.600e+0, 4.734e-4
4.700e+0, 4.774e-4
4.800e+0, 4.796e-4
4.900e+0, 4.821e-4
5.000e+0, 4.855e-4
5.100e+0, 4.859e-4
5.200e+0, 4.943e-4
5.300e+0, 5.020e-4
5.400e+0, 5.078e-4
5.500e+0, 5.085e-4
5.600e+0, 5.151e-4
5.700e+0, 5.175e-4
5.800e+0, 5.223e-4
5.900e+0, 5.265e-4
6.000e+0, 5.299e-4
6.100e+0, 5.262e-4
6.200e+0, 5.281e-4
6.300e+0, 5.271e-4
6.400e+0, 5.299e-4
6.500e+0, 5.303e-4
6.600e+0, 5.363e-4
6.700e+0, 5.457e-4
6.800e+0, 5.523e-4
6.900e+0, 5.584e-4
7.000e+0, 5.654e-4
7.100e+0, 5.719e-4
7.200e+0, 5.751e-4
7.300e+0, 5.734e-4
7.400e+0, 5.818e-4
7.500e+0, 5.796e-4
7.600e+0, 5.785e-4
7.700e+0, 6.021e-4
7.800e+0, 6.038e-4
7.900e+0, 5.936e-4
8.000e+0, 5.856e-4
8.100e+0, 5.830e-4
8.200e+0, 5.612e-4
8.300e+0, 8.987e-4
8.400e+0, 8.330e-4
8.500e+0, 7.690e-4
8.600e+0, 7.261e-4
8.700e+0, 6.971e-4
8.800e+0, 6.776e-4
8.900e+0, 6.544e-4
9.000e+0, 6.313e-4
9.100e+0, 6.163e-4
9.200e+0, 6.092e-4
9.300e+0, 6.061e-4
9.400e+0, 6.042e-4
9.500e+0, 5.983e-4
9.600e+0, 5.938e-4
9.700e+0, 5.962e-4
9.800e+0, 5.931e-4
9.900e+0, 5.821e-4
1.000e+1, 6.677e-4
1.010e+1, 6.716e-4
1.020e+1, 6.632e-4
1.030e+1, 6.487e-4
1.040e+1, 6.350e-4
1.050e+1, 6.245e-4
1.060e+1, 6.171e-4
1.070e+1, 6.081e-4
1.080e+1, 5.992e-4
1.090e+1, 6.860e-4
1.100e+1, 7.439e-4
1.110e+1, 7.473e-4
1.120e+1, 7.367e-4
1.130e+1, 7.017e-4
1.140e+1, 6.926e-4
1.150e+1, 6.756e-4
1.160e+1, 6.564e-4
1.170e+1, 6.481e-4
1.180e+1, 6.392e-4
1.190e+1, 6.301e-4
1.200e+1, 6.257e-4
1.210e+1, 6.219e-4
1.220e+1, 6.117e-4
1.230e+1, 5.990e-4
1.240e+1, 8.050e-4
1.250e+1, 9.273e-4
1.260e+1, 9.024e-4
1.270e+1, 8.287e-4
1.280e+1, 7.778e-4
1.290e+1, 7.451e-4
1.300e+1, 7.202e-4
1.310e+1, 6.983e-4
1.320e+1, 6.817e-4
1.330e+1, 6.691e-4
1.340e+1, 6.607e-4
1.350e+1, 6.547e-4
1.360e+1, 6.479e-4
1.370e+1, 6.372e-4
1.380e+1, 6.385e-4
1.390e+1, 8.719e-4
1.400e+1, 9.175e-4
1.410e+1, 8.437e-4
1.420e+1, 7.917e-4
1.430e+1, 7.515e-4
1.440e+1, 7.208e-4
1.450e+1, 6.970e-4
1.460e+1, 6.762e-4
1.470e+1, 6.835e-4
1.480e+1, 9.425e-4
1.490e+1, 8.955e-4
1.500e+1, 8.209e-4
1.510e+1, 7.725e-4
1.520e+1, 7.425e-4
1.530e+1, 7.202e-4
1.540e+1, 7.013e-4
1.550e+1, 7.339e-4
1.560e+1, 9.931e-4
1.570e+1, 9.579e-4
1.580e+1, 8.781e-4
1.590e+1, 8.250e-4
1.600e+1, 7.789e-4
1.610e+1, 7.656e-4
1.620e+1, 7.959e-4
1.630e+1, 8.751e-4
1.640e+1, 8.589e-4
1.650e+1, 8.128e-4
1.660e+1, 8.150e-4
1.670e+1, 7.907e-4
1.680e+1, 7.512e-4
1.690e+1, 7.237e-4
1.700e+1, 7.037e-4
1.710e+1, 6.854e-4
1.720e+1, 8.473e-4
1.730e+1, 9.094e-4
1.740e+1, 8.409e-4
1.750e+1, 7.875e-4
1.760e+1, 7.522e-4
1.770e+1, 7.246e-4
1.780e+1, 7.056e-4
1.790e+1, 7.265e-4
1.800e+1, 7.163e-4
1.810e+1, 7.164e-4
1.820e+1, 7.074e-4
1.830e+1, 6.958e-4
1.840e+1, 6.827e-4
1.850e+1, 6.681e-4
1.860e+1, 6.605e-4
1.870e+1, 6.391e-4
1.880e+1, 8.202e-4
1.890e+1, 8.296e-4
1.900e+1, 7.803e-4
1.910e+1, 7.492e-4
1.920e+1, 7.242e-4
1.930e+1, 7.032e-4
1.940e+1, 6.855e-4
1.950e+1, 6.640e-4
1.960e+1, 7.320e-4
1.970e+1, 7.300e-4
1.980e+1, 7.173e-4
1.990e+1, 7.028e-4
2.000e+1, 7.240e-4
2.010e+1, 6.987e-4
2.020e+1, 6.745e-4
2.030e+1, 6.601e-4
