Potential V vs RHE, Current mA cm-2
0.013299999999999867,-0.015250587812545097
0.012299999999999978,-0.018674189158218484
0.011299999999999866,-0.020187930249074077
0.010299999999999976,-0.019961576441095665
0.009299999999999864,-0.020612343639033585
0.008299999999999974,-0.02073966765602144
0.007299999999999862,-0.021729965565926962
0.006299999999999972,-0.021729965565926962
0.00529999999999986,-0.02197046648690402
0.0042999999999999705,-0.021645082887935062
0.0032999999999998586,-0.02230999719887163
0.0022999999999999687,-0.022465615441856785
0.0012999999999998568,-0.022960764396809545
0.00029999999999996696,-0.023427619125765006
-0.000700000000000145,-0.022974911509808196
-0.0017000000000000348,-0.023682267159740714
-0.0027000000000001467,-0.024106680549700225
-0.0037000000000000366,-0.024120827662698876
-0.0047000000000001485,-0.024601829504652988
-0.005700000000000038,-0.024898918877624646
-0.00670000000000015,-0.02453109393965974
-0.00770000000000004,-0.025634568753554465
-0.008700000000000152,-0.025139419798601705
-0.009700000000000042,-0.02587506967453152
-0.010700000000000154,-0.02627118883849373
-0.011700000000000044,-0.02629948306449103
-0.012700000000000156,-0.027120015618412752
-0.013700000000000045,-0.02649754264647214
-0.014700000000000157,-0.027190751183406005
-0.015700000000000047,-0.027261486748399254
-0.01670000000000016,-0.02762931168636417
-0.01770000000000005,-0.027841518381343924
-0.01870000000000016,-0.02802543085032638
-0.01970000000000005,-0.028718639387260245
-0.020700000000000163,-0.028591315370272388
-0.021700000000000053,-0.028987434534234607
-0.022700000000000164,-0.02922793545521166
-0.023700000000000054,-0.030090909348129333
-0.024700000000000166,-0.03014749780012393
-0.025700000000000056,-0.029921143992145526
-0.026700000000000168,-0.030543616964086147
-0.027700000000000058,-0.03129341395301461
-0.02870000000000017,-0.03211394650693633
-0.02970000000000006,-0.03284959638286615
-0.03070000000000017,-0.03137829663100652
-0.03170000000000006,-0.032552507009894496
-0.03270000000000017,-0.03320327420783241
-0.03370000000000006,-0.033712570275783824
-0.034700000000000175,-0.03359939337179463
-0.035700000000000065,-0.03320327420783241
-0.03670000000000018,-0.03484433931567585
-0.03770000000000007,-0.03422186634373524
-0.03870000000000018,-0.03542437094862052
-0.03970000000000007,-0.035749754547589475
-0.04070000000000018,-0.03524045847963807
-0.04170000000000007,-0.03624490350254224
-0.04270000000000018,-0.0368249351354869
-0.04370000000000007,-0.037461555220426164
-0.044700000000000184,-0.03829623488734655
-0.045700000000000074,-0.03706543605646396
-0.046700000000000186,-0.039145061667265564
-0.047700000000000076,-0.039003590537279066
-0.04870000000000019,-0.039244091458256115
-0.04970000000000008,-0.04051733162813465
-0.05070000000000019,-0.03992315288219133
-0.05170000000000008,-0.040885156566099555
-0.05270000000000019,-0.040998333470088764
-0.05370000000000008,-0.04179057179801319
-0.05470000000000019,-0.04290819372490656
-0.05570000000000008,-0.042568663012938955
-0.056700000000000195,-0.04351651958384853
-0.057700000000000085,-0.04313454753288497
-0.058700000000000196,-0.04396922719980534
-0.059700000000000086,-0.04535564427367308
-0.0607000000000002,-0.04464828862374056
-0.06170000000000009,-0.04603470569760829
-0.0627000000000002,-0.04587908745462314
-0.06370000000000009,-0.04701085649451517
-0.0647000000000002,-0.04759088812745983
-0.06570000000000009,-0.04708159205950842
-0.0667000000000002,-0.0478596832744342
-0.0677000000000001,-0.04829824377739235
-0.0687000000000002,-0.049260247461300574
-0.0697000000000001,-0.050052485789225
-0.07070000000000021,-0.04950074838227764
-0.0717000000000001,-0.05098619524713593
-0.07270000000000021,-0.051495491315087336
-0.0737000000000001,-0.05208967006103065
-0.07470000000000021,-0.05272629014596992
-0.0757000000000001,-0.0520189344960374
-0.07670000000000021,-0.05419758989782956
-0.0777000000000001,-0.05368829382987814
-0.07870000000000021,-0.05476347441777557
-0.0797000000000001,-0.055470830067708095
-0.08070000000000022,-0.05491909266076073
-0.0817000000000001,-0.056164038604641954
-0.08270000000000022,-0.05651771642960821
-0.08370000000000011,-0.057366543209527235
-0.08470000000000022,-0.05882369584838822
-0.08570000000000011,-0.057904133503475945
-0.08670000000000022,-0.05879540162239092
-0.08770000000000011,-0.05978569953229645
-0.08870000000000022,-0.060959909911184426
-0.08970000000000011,-0.06088917434619118
-0.09070000000000022,-0.06037987827823976
-0.09170000000000011,-0.061440911753138545
-0.09270000000000023,-0.06267171058402111
-0.09370000000000012,-0.06350639025094149
-0.09470000000000023,-0.06411471610988345
-0.09570000000000012,-0.06393080364090101
-0.09670000000000023,-0.06425618723986996
-0.09770000000000012,-0.0652181909237782
-0.09870000000000023,-0.06639240130266617
-0.09970000000000012,-0.06678852046662838
-0.10070000000000023,-0.06709975695259869
-0.10170000000000012,-0.06736855209957304
-0.10270000000000024,-0.06851446825246373
-0.10370000000000013,-0.06967453151835307
-0.10470000000000024,-0.0701130920213112
-0.10570000000000013,-0.0699433266653274
-0.10670000000000024,-0.07026871026429637
-0.10770000000000013,-0.07099021302722754
-0.10870000000000024,-0.07232004164910069
-0.10970000000000013,-0.07299910307303589
-0.11070000000000024,-0.07273030792606154
-0.11170000000000013,-0.0733669280110008
-0.11270000000000002,-0.07431478458191038
-0.11370000000000013,-0.07548899496079836
-0.11470000000000002,-0.07558802475178891
-0.11570000000000014,-0.07529093537881726
-0.11670000000000003,-0.07647929287070389
