Sept. 16, 2024   05:00:47
Amperometric i-t Curve
File: c:/users/guazh/data/20240903_batch_252_500/2024-09-03-exp367\exp367deposition-2024-09-16t04_56_54-deposition\exp367deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 14.9

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.447e-3
2.000e-1, 3.431e-3
3.000e-1, 3.416e-3
4.000e-1, 3.407e-3
5.000e-1, 3.394e-3
6.000e-1, 3.381e-3
7.000e-1, 3.371e-3
8.000e-1, 3.361e-3
9.000e-1, 3.351e-3
1.000e+0, 3.340e-3
1.100e+0, 3.330e-3
1.200e+0, 3.320e-3
1.300e+0, 3.309e-3
1.400e+0, 3.298e-3
1.500e+0, 3.290e-3
1.600e+0, 3.280e-3
1.700e+0, 3.271e-3
1.800e+0, 3.265e-3
1.900e+0, 3.255e-3
2.000e+0, 3.247e-3
2.100e+0, 3.236e-3
2.200e+0, 3.226e-3
2.300e+0, 3.216e-3
2.400e+0, 3.209e-3
2.500e+0, 3.201e-3
2.600e+0, 3.198e-3
2.700e+0, 3.193e-3
2.800e+0, 3.185e-3
2.900e+0, 3.172e-3
3.000e+0, 3.167e-3
3.100e+0, 3.161e-3
3.200e+0, 3.156e-3
3.300e+0, 3.146e-3
3.400e+0, 3.131e-3
3.500e+0, 3.117e-3
3.600e+0, 3.106e-3
3.700e+0, 3.094e-3
3.800e+0, 3.088e-3
3.900e+0, 3.085e-3
4.000e+0, 3.081e-3
4.100e+0, 3.077e-3
4.200e+0, 3.070e-3
4.300e+0, 3.060e-3
4.400e+0, 3.052e-3
4.500e+0, 3.043e-3
4.600e+0, 3.037e-3
4.700e+0, 3.032e-3
4.800e+0, 3.028e-3
4.900e+0, 3.025e-3
5.000e+0, 3.025e-3
5.100e+0, 3.027e-3
5.200e+0, 3.029e-3
5.300e+0, 3.028e-3
5.400e+0, 3.024e-3
5.500e+0, 3.023e-3
5.600e+0, 3.021e-3
5.700e+0, 3.019e-3
5.800e+0, 3.017e-3
5.900e+0, 3.015e-3
6.000e+0, 3.026e-3
6.100e+0, 3.025e-3
6.200e+0, 3.017e-3
6.300e+0, 3.012e-3
6.400e+0, 3.004e-3
6.500e+0, 3.005e-3
6.600e+0, 2.995e-3
6.700e+0, 2.984e-3
6.800e+0, 2.975e-3
6.900e+0, 2.967e-3
7.000e+0, 2.959e-3
7.100e+0, 2.950e-3
7.200e+0, 2.942e-3
7.300e+0, 2.949e-3
7.400e+0, 2.944e-3
7.500e+0, 2.967e-3
7.600e+0, 2.975e-3
7.700e+0, 3.011e-3
7.800e+0, 3.021e-3
7.900e+0, 3.024e-3
8.000e+0, 3.022e-3
8.100e+0, 3.019e-3
8.200e+0, 3.013e-3
8.300e+0, 3.009e-3
8.400e+0, 3.008e-3
8.500e+0, 3.002e-3
8.600e+0, 2.996e-3
8.700e+0, 2.991e-3
8.800e+0, 2.984e-3
8.900e+0, 2.978e-3
9.000e+0, 2.971e-3
9.100e+0, 2.964e-3
9.200e+0, 2.959e-3
9.300e+0, 2.954e-3
9.400e+0, 2.949e-3
9.500e+0, 2.946e-3
9.600e+0, 2.942e-3
9.700e+0, 2.935e-3
9.800e+0, 2.931e-3
9.900e+0, 2.928e-3
1.000e+1, 2.924e-3
1.010e+1, 2.921e-3
1.020e+1, 2.917e-3
1.030e+1, 2.914e-3
1.040e+1, 2.912e-3
1.050e+1, 2.910e-3
1.060e+1, 2.915e-3
1.070e+1, 2.922e-3
1.080e+1, 2.924e-3
1.090e+1, 2.922e-3
1.100e+1, 2.926e-3
1.110e+1, 2.925e-3
1.120e+1, 2.923e-3
1.130e+1, 2.922e-3
1.140e+1, 2.925e-3
1.150e+1, 2.920e-3
1.160e+1, 2.918e-3
1.170e+1, 2.916e-3
1.180e+1, 2.910e-3
1.190e+1, 2.906e-3
1.200e+1, 2.904e-3
1.210e+1, 2.902e-3
1.220e+1, 2.900e-3
1.230e+1, 2.899e-3
1.240e+1, 2.895e-3
1.250e+1, 2.894e-3
1.260e+1, 2.894e-3
1.270e+1, 2.890e-3
1.280e+1, 2.889e-3
1.290e+1, 2.885e-3
1.300e+1, 2.879e-3
1.310e+1, 2.877e-3
1.320e+1, 2.874e-3
1.330e+1, 2.870e-3
1.340e+1, 2.875e-3
1.350e+1, 2.879e-3
1.360e+1, 2.876e-3
1.370e+1, 2.880e-3
1.380e+1, 2.889e-3
1.390e+1, 2.887e-3
1.400e+1, 2.885e-3
1.410e+1, 2.880e-3
1.420e+1, 2.875e-3
1.430e+1, 2.871e-3
1.440e+1, 2.867e-3
1.450e+1, 2.864e-3
1.460e+1, 2.862e-3
1.470e+1, 2.861e-3
1.480e+1, 2.858e-3
1.490e+1, 2.858e-3
1.500e+1, 2.891e-3
1.510e+1, 2.886e-3
1.520e+1, 2.880e-3
1.530e+1, 2.873e-3
1.540e+1, 2.867e-3
1.550e+1, 2.864e-3
1.560e+1, 2.862e-3
1.570e+1, 2.859e-3
1.580e+1, 2.860e-3
1.590e+1, 2.855e-3
1.600e+1, 2.852e-3
1.610e+1, 2.850e-3
1.620e+1, 2.848e-3
1.630e+1, 2.843e-3
1.640e+1, 2.842e-3
1.650e+1, 2.855e-3
1.660e+1, 2.861e-3
1.670e+1, 2.859e-3
1.680e+1, 2.858e-3
1.690e+1, 2.879e-3
1.700e+1, 2.902e-3
1.710e+1, 2.895e-3
1.720e+1, 2.887e-3
1.730e+1, 2.910e-3
1.740e+1, 2.906e-3
1.750e+1, 2.933e-3
1.760e+1, 2.982e-3
1.770e+1, 2.970e-3
1.780e+1, 2.973e-3
1.790e+1, 2.971e-3
1.800e+1, 2.973e-3
1.810e+1, 2.979e-3
1.820e+1, 2.974e-3
1.830e+1, 2.978e-3
1.840e+1, 2.973e-3
1.850e+1, 2.968e-3
1.860e+1, 2.958e-3
1.870e+1, 2.946e-3
1.880e+1, 2.940e-3
1.890e+1, 2.937e-3
1.900e+1, 2.939e-3
1.910e+1, 2.973e-3
1.920e+1, 2.991e-3
1.930e+1, 2.982e-3
1.940e+1, 2.975e-3
1.950e+1, 2.986e-3
1.960e+1, 2.976e-3
1.970e+1, 2.971e-3
1.980e+1, 2.965e-3
1.990e+1, 2.960e-3
2.000e+1, 2.956e-3
2.010e+1, 2.951e-3
2.020e+1, 2.947e-3
2.030e+1, 2.943e-3
2.040e+1, 2.938e-3
2.050e+1, 2.935e-3
2.060e+1, 2.935e-3
2.070e+1, 2.931e-3
2.080e+1, 2.928e-3
2.090e+1, 2.925e-3
2.100e+1, 2.922e-3
2.110e+1, 2.920e-3
2.120e+1, 2.919e-3
2.130e+1, 2.916e-3
2.140e+1, 2.913e-3
2.150e+1, 2.912e-3
2.160e+1, 2.914e-3
2.170e+1, 2.915e-3
2.180e+1, 2.915e-3
2.190e+1, 2.914e-3
2.200e+1, 2.914e-3
2.210e+1, 2.917e-3
2.220e+1, 2.924e-3
2.230e+1, 2.922e-3
2.240e+1, 2.921e-3
2.250e+1, 2.919e-3
2.260e+1, 2.916e-3
2.270e+1, 2.915e-3
2.280e+1, 2.913e-3
2.290e+1, 2.912e-3
2.300e+1, 2.918e-3
2.310e+1, 2.918e-3
2.320e+1, 2.915e-3
2.330e+1, 2.913e-3
2.340e+1, 2.916e-3
2.350e+1, 2.916e-3
2.360e+1, 2.915e-3
2.370e+1, 2.917e-3
2.380e+1, 2.921e-3
2.390e+1, 2.935e-3
2.400e+1, 2.950e-3
2.410e+1, 2.952e-3
2.420e+1, 2.951e-3
2.430e+1, 2.948e-3
2.440e+1, 2.947e-3
2.450e+1, 2.944e-3
2.460e+1, 2.945e-3
2.470e+1, 2.947e-3
2.480e+1, 2.946e-3
2.490e+1, 2.945e-3
2.500e+1, 2.947e-3
2.510e+1, 2.951e-3
2.520e+1, 2.959e-3
2.530e+1, 2.959e-3
2.540e+1, 2.958e-3
2.550e+1, 2.955e-3
2.560e+1, 2.954e-3
2.570e+1, 2.953e-3
2.580e+1, 2.951e-3
2.590e+1, 2.957e-3
2.600e+1, 2.964e-3
2.610e+1, 2.959e-3
2.620e+1, 2.957e-3
2.630e+1, 2.958e-3
2.640e+1, 2.960e-3
2.650e+1, 2.962e-3
2.660e+1, 2.960e-3
2.670e+1, 2.958e-3
2.680e+1, 2.958e-3
2.690e+1, 2.958e-3
2.700e+1, 2.956e-3
2.710e+1, 2.957e-3
2.720e+1, 2.962e-3
2.730e+1, 2.960e-3
2.740e+1, 2.959e-3
2.750e+1, 2.969e-3
2.760e+1, 2.971e-3
2.770e+1, 2.974e-3
2.780e+1, 2.986e-3
2.790e+1, 2.983e-3
2.800e+1, 2.997e-3
2.810e+1, 3.002e-3
2.820e+1, 2.999e-3
2.830e+1, 2.998e-3
2.840e+1, 2.989e-3
2.850e+1, 2.979e-3
2.860e+1, 2.975e-3
2.870e+1, 3.018e-3
2.880e+1, 3.039e-3
2.890e+1, 3.092e-3
2.900e+1, 3.086e-3
2.910e+1, 3.075e-3
