Oct. 19, 2024   08:22:52
Linear Sweep Voltammetry
File: c:/users/guazh/data/banditlqround2/2024-10-18-exp574\regeneratedgce-2024-10-19t08_19_54-lsvinkoh\regeneratedgce_lsv_50mvs_efin_-1700mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: LSV ran at 50 mVs with Efin at -1700mV
Note: 

Init E (V) = -0.6
Final E (V) = -1.7
Scan Rate (V/s) = 0.05
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Results:

Channel 1:

Potential/V, Current/A

-0.600, 1.044e-8
-0.601, 1.044e-8
-0.602, 9.057e-9
-0.603, 8.268e-9
-0.604, 9.945e-9
-0.605, 1.073e-8
-0.606, 1.133e-8
-0.607, 8.169e-9
-0.608, 6.788e-9
-0.609, 9.254e-9
-0.610, 1.064e-8
-0.611, 1.044e-8
-0.612, 7.577e-9
-0.613, 6.196e-9
-0.614, 9.057e-9
-0.615, 1.044e-8
-0.616, 1.073e-8
-0.617, 9.156e-9
-0.618, 7.281e-9
-0.619, 9.550e-9
-0.620, 1.044e-8
-0.621, 1.054e-8
-0.622, 8.564e-9
-0.623, 6.492e-9
-0.624, 8.465e-9
-0.625, 8.761e-9
-0.626, 9.353e-9
-0.627, 8.169e-9
-0.628, 6.689e-9
-0.629, 8.070e-9
-0.630, 9.353e-9
-0.631, 9.846e-9
-0.632, 6.788e-9
-0.633, 6.097e-9
-0.634, 7.972e-9
-0.635, 9.057e-9
-0.636, 9.452e-9
-0.637, 6.393e-9
-0.638, 5.801e-9
-0.639, 6.886e-9
-0.640, 7.972e-9
-0.641, 9.156e-9
-0.642, 7.478e-9
-0.643, 4.617e-9
-0.644, 7.281e-9
-0.645, 8.366e-9
-0.646, 7.873e-9
-0.647, 7.577e-9
-0.648, 4.913e-9
-0.649, 7.084e-9
-0.650, 8.465e-9
-0.651, 7.577e-9
-0.652, 6.689e-9
-0.653, 4.913e-9
-0.654, 6.294e-9
-0.655, 7.972e-9
-0.656, 8.860e-9
-0.657, 6.294e-9
-0.658, 5.012e-9
-0.659, 6.788e-9
-0.660, 7.281e-9
-0.661, 8.169e-9
-0.662, 5.900e-9
-0.663, 4.519e-9
-0.664, 5.703e-9
-0.665, 6.985e-9
-0.666, 8.761e-9
-0.667, 7.676e-9
-0.668, 4.815e-9
-0.669, 5.998e-9
-0.670, 6.886e-9
-0.671, 7.182e-9
-0.672, 5.703e-9
-0.673, 4.223e-9
-0.674, 5.703e-9
-0.675, 7.478e-9
-0.676, 8.564e-9
-0.677, 6.294e-9
-0.678, 3.631e-9
-0.679, 6.492e-9
-0.680, 6.590e-9
-0.681, 6.590e-9
-0.682, 6.689e-9
-0.683, 3.631e-9
-0.684, 5.900e-9
-0.685, 7.676e-9
-0.686, 7.478e-9
-0.687, 5.604e-9
-0.688, 3.236e-9
-0.689, 4.519e-9
-0.690, 6.393e-9
-0.691, 7.182e-9
-0.692, 5.900e-9
-0.693, 3.532e-9
-0.694, 5.111e-9
-0.695, 6.393e-9
-0.696, 7.084e-9
-0.697, 5.900e-9
-0.698, 3.137e-9
-0.699, 4.913e-9
-0.700, 6.393e-9
-0.701, 6.689e-9
-0.702, 5.604e-9
-0.703, 3.433e-9
-0.704, 4.617e-9
-0.705, 6.393e-9
-0.706, 6.196e-9
-0.707, 6.393e-9
-0.708, 3.236e-9
-0.709, 4.025e-9
-0.710, 5.998e-9
-0.711, 5.900e-9
-0.712, 4.617e-9
-0.713, 2.151e-9
-0.714, 4.519e-9
-0.715, 5.703e-9
-0.716, 6.294e-9
-0.717, 6.492e-9
-0.718, 3.927e-9
-0.719, 4.913e-9
-0.720, 5.604e-9
-0.721, 6.788e-9
-0.722, 5.012e-9
-0.723, 2.644e-9
-0.724, 3.828e-9
-0.725, 5.604e-9
-0.726, 5.604e-9
-0.727, 4.420e-9
-0.728, 3.236e-9
-0.729, 4.321e-9
-0.730, 5.900e-9
-0.731, 7.084e-9
-0.732, 5.407e-9
-0.733, 3.532e-9
-0.734, 4.519e-9
-0.735, 5.801e-9
-0.736, 6.196e-9
-0.737, 5.407e-9
-0.738, 3.137e-9
-0.739, 3.137e-9
-0.740, 5.407e-9
-0.741, 5.209e-9
-0.742, 5.111e-9
-0.743, 2.447e-9
-0.744, 3.039e-9
-0.745, 5.012e-9
-0.746, 6.097e-9
-0.747, 6.294e-9
-0.748, 2.348e-9
-0.749, 4.025e-9
-0.750, 5.407e-9
-0.751, 6.097e-9
-0.752, 5.012e-9
-0.753, 2.151e-9
-0.754, 3.335e-9
-0.755, 5.407e-9
-0.756, 5.998e-9
-0.757, 4.913e-9
-0.758, 3.433e-9
-0.759, 2.841e-9
-0.760, 5.900e-9
-0.761, 5.703e-9
-0.762, 5.703e-9
-0.763, 2.348e-9
-0.764, 3.236e-9
-0.765, 5.407e-9
-0.766, 5.998e-9
-0.767, 4.223e-9
-0.768, 2.348e-9
-0.769, 3.828e-9
-0.770, 5.505e-9
-0.771, 6.393e-9
-0.772, 5.209e-9
-0.773, 3.236e-9
-0.774, 3.335e-9
-0.775, 5.209e-9
-0.776, 6.097e-9
-0.777, 4.223e-9
-0.778, 2.743e-9
-0.779, 2.644e-9
-0.780, 4.519e-9
-0.781, 6.985e-9
-0.782, 5.111e-9
-0.783, 2.841e-9
-0.784, 2.841e-9
-0.785, 4.716e-9
-0.786, 5.308e-9
-0.787, 5.209e-9
-0.788, 3.039e-9
-0.789, 2.644e-9
-0.790, 4.913e-9
-0.791, 5.407e-9
-0.792, 5.505e-9
-0.793, 1.855e-9
-0.794, 3.631e-9
-0.795, 5.407e-9
-0.796, 5.407e-9
-0.797, 4.321e-9
-0.798, 2.052e-9
-0.799, 2.940e-9
-0.800, 4.716e-9
-0.801, 6.294e-9
-0.802, 5.012e-9
-0.803, 2.052e-9
-0.804, 2.545e-9
-0.805, 5.111e-9
-0.806, 5.801e-9
-0.807, 4.913e-9
-0.808, 2.644e-9
-0.809, 3.236e-9
-0.810, 5.407e-9
-0.811, 6.196e-9
-0.812, 4.321e-9
-0.813, 2.151e-9
-0.814, 2.743e-9
-0.815, 3.039e-9
-0.816, 4.617e-9
-0.817, 5.012e-9
-0.818, 2.348e-9
-0.819, 2.841e-9
-0.820, 5.801e-9
-0.821, 5.900e-9
-0.822, 5.209e-9
-0.823, 2.249e-9
-0.824, 2.743e-9
-0.825, 5.801e-9
-0.826, 6.196e-9
-0.827, 5.407e-9
-0.828, 3.039e-9
-0.829, 2.841e-9
-0.830, 4.815e-9
-0.831, 5.900e-9
-0.832, 5.703e-9
-0.833, 3.532e-9
-0.834, 3.433e-9
-0.835, 5.111e-9
-0.836, 5.801e-9
-0.837, 5.111e-9
-0.838, 3.631e-9
-0.839, 3.631e-9
-0.840, 4.519e-9
-0.841, 4.223e-9
-0.842, 6.097e-9
-0.843, 3.532e-9
-0.844, 3.236e-9
-0.845, 4.617e-9
-0.846, 6.689e-9
-0.847, 6.196e-9
-0.848, 4.124e-9
-0.849, 2.743e-9
-0.850, 5.209e-9
-0.851, 5.604e-9
-0.852, 5.998e-9
-0.853, 2.841e-9
-0.854, 2.447e-9
-0.855, 5.111e-9
-0.856, 6.492e-9
-0.857, 4.519e-9
-0.858, 3.433e-9
-0.859, 1.855e-9
-0.860, 4.617e-9
-0.861, 5.801e-9
-0.862, 5.111e-9
-0.863, 2.940e-9
-0.864, 3.039e-9
-0.865, 5.209e-9
-0.866, 5.407e-9
-0.867, 5.604e-9
-0.868, 3.236e-9
-0.869, 1.756e-9
-0.870, 4.519e-9
-0.871, 5.801e-9
-0.872, 6.492e-9
-0.873, 3.039e-9
-0.874, 2.447e-9
-0.875, 4.716e-9
-0.876, 5.703e-9
-0.877, 5.012e-9
-0.878, 3.039e-9
-0.879, 2.644e-9
-0.880, 4.420e-9
-0.881, 5.900e-9
-0.882, 4.716e-9
-0.883, 3.335e-9
-0.884, 2.743e-9
-0.885, 5.012e-9
-0.886, 5.505e-9
-0.887, 4.913e-9
-0.888, 2.348e-9
-0.889, 1.559e-9
-0.890, 4.815e-9
-0.891, 5.209e-9
-0.892, 6.196e-9
-0.893, 2.743e-9
-0.894, 2.447e-9
-0.895, 4.321e-9
-0.896, 5.998e-9
-0.897, 6.294e-9
-0.898, 3.335e-9
-0.899, 2.348e-9
-0.900, 4.519e-9
-0.901, 5.703e-9
-0.902, 6.196e-9
-0.903, 3.433e-9
-0.904, 1.855e-9
-0.905, 5.308e-9
-0.906, 5.407e-9
-0.907, 5.012e-9
-0.908, 1.855e-9
-0.909, 2.644e-9
-0.910, 4.223e-9
-0.911, 4.716e-9
-0.912, 5.308e-9
-0.913, 2.940e-9
