Oct. 19, 2024   23:00:18
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround2/2024-10-18-exp579\exp579deposition-2024-10-19t22_56_30-deposition\exp579deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.1

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 2.972e-3
2.000e-1, 2.923e-3
3.000e-1, 2.925e-3
4.000e-1, 2.970e-3
5.000e-1, 3.016e-3
6.000e-1, 3.042e-3
7.000e-1, 3.056e-3
8.000e-1, 3.078e-3
9.000e-1, 3.062e-3
1.000e+0, 3.053e-3
1.100e+0, 3.054e-3
1.200e+0, 3.073e-3
1.300e+0, 3.022e-3
1.400e+0, 3.028e-3
1.500e+0, 3.042e-3
1.600e+0, 3.021e-3
1.700e+0, 2.978e-3
1.800e+0, 2.935e-3
1.900e+0, 2.904e-3
2.000e+0, 2.873e-3
2.100e+0, 2.857e-3
2.200e+0, 2.838e-3
2.300e+0, 2.817e-3
2.400e+0, 2.783e-3
2.500e+0, 2.774e-3
2.600e+0, 2.768e-3
2.700e+0, 2.766e-3
2.800e+0, 2.750e-3
2.900e+0, 2.740e-3
3.000e+0, 2.740e-3
3.100e+0, 2.722e-3
3.200e+0, 2.701e-3
3.300e+0, 2.696e-3
3.400e+0, 2.702e-3
3.500e+0, 2.717e-3
3.600e+0, 2.742e-3
3.700e+0, 2.799e-3
3.800e+0, 2.873e-3
3.900e+0, 2.925e-3
4.000e+0, 2.939e-3
4.100e+0, 2.952e-3
4.200e+0, 2.987e-3
4.300e+0, 3.032e-3
4.400e+0, 3.055e-3
4.500e+0, 3.048e-3
4.600e+0, 3.029e-3
4.700e+0, 3.004e-3
4.800e+0, 2.997e-3
4.900e+0, 2.995e-3
5.000e+0, 2.989e-3
5.100e+0, 2.971e-3
5.200e+0, 2.976e-3
5.300e+0, 2.972e-3
5.400e+0, 2.957e-3
5.500e+0, 2.934e-3
5.600e+0, 2.905e-3
5.700e+0, 2.889e-3
5.800e+0, 2.896e-3
5.900e+0, 2.888e-3
6.000e+0, 2.902e-3
6.100e+0, 2.919e-3
6.200e+0, 2.923e-3
6.300e+0, 2.951e-3
6.400e+0, 2.959e-3
6.500e+0, 2.974e-3
6.600e+0, 2.946e-3
6.700e+0, 2.914e-3
6.800e+0, 2.880e-3
6.900e+0, 2.847e-3
7.000e+0, 2.814e-3
7.100e+0, 2.808e-3
7.200e+0, 2.826e-3
7.300e+0, 2.853e-3
7.400e+0, 2.888e-3
7.500e+0, 2.926e-3
7.600e+0, 2.930e-3
7.700e+0, 2.980e-3
7.800e+0, 2.998e-3
7.900e+0, 3.024e-3
8.000e+0, 3.022e-3
