Dec. 22, 2024   05:00:24
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp667_r5/2024-12-16-exp728\exp728deposition-2024-12-22t04_54_32-deposition\exp728deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 180
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 9.2

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 4.733e-3
2.000e-1, 4.711e-3
3.000e-1, 4.691e-3
4.000e-1, 4.678e-3
5.000e-1, 4.662e-3
6.000e-1, 4.642e-3
7.000e-1, 4.624e-3
8.000e-1, 4.613e-3
9.000e-1, 4.602e-3
1.000e+0, 4.587e-3
1.100e+0, 4.574e-3
1.200e+0, 4.561e-3
1.300e+0, 4.548e-3
1.400e+0, 4.532e-3
1.500e+0, 4.522e-3
1.600e+0, 4.514e-3
1.700e+0, 4.506e-3
1.800e+0, 4.505e-3
1.900e+0, 4.493e-3
2.000e+0, 4.479e-3
2.100e+0, 4.467e-3
2.200e+0, 4.454e-3
2.300e+0, 4.448e-3
2.400e+0, 4.446e-3
2.500e+0, 4.448e-3
2.600e+0, 4.448e-3
2.700e+0, 4.444e-3
2.800e+0, 4.437e-3
2.900e+0, 4.428e-3
3.000e+0, 4.429e-3
3.100e+0, 4.432e-3
3.200e+0, 4.425e-3
3.300e+0, 4.442e-3
3.400e+0, 4.447e-3
3.500e+0, 4.435e-3
3.600e+0, 4.422e-3
3.700e+0, 4.416e-3
3.800e+0, 4.413e-3
3.900e+0, 4.407e-3
4.000e+0, 4.398e-3
4.100e+0, 4.391e-3
4.200e+0, 4.384e-3
4.300e+0, 4.381e-3
4.400e+0, 4.382e-3
4.500e+0, 4.378e-3
4.600e+0, 4.371e-3
4.700e+0, 4.366e-3
4.800e+0, 4.362e-3
4.900e+0, 4.360e-3
5.000e+0, 4.357e-3
5.100e+0, 4.353e-3
5.200e+0, 4.350e-3
5.300e+0, 4.347e-3
5.400e+0, 4.342e-3
5.500e+0, 4.344e-3
5.600e+0, 4.344e-3
5.700e+0, 4.345e-3
5.800e+0, 4.327e-3
5.900e+0, 4.311e-3
6.000e+0, 4.287e-3
6.100e+0, 4.282e-3
6.200e+0, 4.283e-3
6.300e+0, 4.287e-3
6.400e+0, 4.256e-3
6.500e+0, 4.231e-3
6.600e+0, 4.233e-3
6.700e+0, 4.224e-3
6.800e+0, 4.227e-3
6.900e+0, 4.240e-3
7.000e+0, 4.242e-3
7.100e+0, 4.220e-3
7.200e+0, 4.182e-3
7.300e+0, 4.138e-3
7.400e+0, 4.104e-3
7.500e+0, 4.090e-3
7.600e+0, 4.052e-3
7.700e+0, 4.036e-3
7.800e+0, 4.040e-3
7.900e+0, 4.034e-3
8.000e+0, 4.010e-3
8.100e+0, 3.993e-3
8.200e+0, 3.973e-3
8.300e+0, 3.934e-3
8.400e+0, 3.888e-3
8.500e+0, 3.856e-3
8.600e+0, 3.836e-3
8.700e+0, 3.796e-3
8.800e+0, 3.742e-3
8.900e+0, 3.701e-3
9.000e+0, 3.653e-3
9.100e+0, 3.600e-3
9.200e+0, 3.566e-3
9.300e+0, 3.597e-3
9.400e+0, 3.614e-3
9.500e+0, 3.612e-3
9.600e+0, 3.613e-3
9.700e+0, 3.594e-3
9.800e+0, 3.582e-3
9.900e+0, 3.553e-3
1.000e+1, 3.510e-3
1.010e+1, 3.484e-3
1.020e+1, 3.494e-3
1.030e+1, 3.508e-3
1.040e+1, 3.513e-3
1.050e+1, 3.504e-3
1.060e+1, 3.477e-3
1.070e+1, 3.452e-3
1.080e+1, 3.448e-3
1.090e+1, 3.442e-3
1.100e+1, 3.431e-3
1.110e+1, 3.420e-3
1.120e+1, 3.409e-3
1.130e+1, 3.398e-3
1.140e+1, 3.394e-3
1.150e+1, 3.408e-3
1.160e+1, 3.418e-3
1.170e+1, 3.418e-3
1.180e+1, 3.423e-3
1.190e+1, 3.416e-3
1.200e+1, 3.405e-3
1.210e+1, 3.381e-3
1.220e+1, 3.369e-3
1.230e+1, 3.393e-3
1.240e+1, 3.400e-3
1.250e+1, 3.388e-3
1.260e+1, 3.369e-3
1.270e+1, 3.357e-3
1.280e+1, 3.347e-3
1.290e+1, 3.342e-3
1.300e+1, 3.333e-3
1.310e+1, 3.316e-3
1.320e+1, 3.333e-3
1.330e+1, 3.336e-3
1.340e+1, 3.324e-3
1.350e+1, 3.313e-3
1.360e+1, 3.302e-3
1.370e+1, 3.291e-3
1.380e+1, 3.293e-3
1.390e+1, 3.295e-3
1.400e+1, 3.302e-3
1.410e+1, 3.300e-3
1.420e+1, 3.310e-3
1.430e+1, 3.335e-3
1.440e+1, 3.330e-3
1.450e+1, 3.324e-3
1.460e+1, 3.320e-3
1.470e+1, 3.303e-3
1.480e+1, 3.307e-3
1.490e+1, 3.324e-3
1.500e+1, 3.308e-3
1.510e+1, 3.282e-3
1.520e+1, 3.265e-3
1.530e+1, 3.251e-3
1.540e+1, 3.237e-3
1.550e+1, 3.229e-3
1.560e+1, 3.208e-3
1.570e+1, 3.197e-3
1.580e+1, 3.214e-3
1.590e+1, 3.229e-3
1.600e+1, 3.249e-3
1.610e+1, 3.236e-3
1.620e+1, 3.218e-3
1.630e+1, 3.202e-3
1.640e+1, 3.179e-3
1.650e+1, 3.164e-3
1.660e+1, 3.163e-3
1.670e+1, 3.165e-3
1.680e+1, 3.155e-3
1.690e+1, 3.148e-3
1.700e+1, 3.132e-3
1.710e+1, 3.128e-3
1.720e+1, 3.112e-3
1.730e+1, 3.105e-3
1.740e+1, 3.099e-3
1.750e+1, 3.093e-3
1.760e+1, 3.093e-3
1.770e+1, 3.086e-3
1.780e+1, 3.087e-3
1.790e+1, 3.079e-3
1.800e+1, 3.063e-3
1.810e+1, 3.056e-3
1.820e+1, 3.039e-3
1.830e+1, 3.033e-3
1.840e+1, 3.065e-3
1.850e+1, 3.084e-3
1.860e+1, 3.110e-3
1.870e+1, 3.128e-3
1.880e+1, 3.133e-3
1.890e+1, 3.130e-3
1.900e+1, 3.110e-3
1.910e+1, 3.089e-3
1.920e+1, 3.076e-3
1.930e+1, 3.048e-3
1.940e+1, 3.034e-3
1.950e+1, 3.039e-3
1.960e+1, 3.044e-3
1.970e+1, 3.052e-3
1.980e+1, 3.070e-3
1.990e+1, 3.060e-3
2.000e+1, 3.048e-3
2.010e+1, 3.039e-3
2.020e+1, 3.022e-3
2.030e+1, 3.008e-3
2.040e+1, 2.993e-3
2.050e+1, 2.983e-3
2.060e+1, 2.971e-3
2.070e+1, 2.957e-3
2.080e+1, 2.954e-3
2.090e+1, 2.943e-3
2.100e+1, 2.937e-3
2.110e+1, 2.950e-3
2.120e+1, 2.935e-3
2.130e+1, 2.923e-3
2.140e+1, 2.916e-3
2.150e+1, 2.904e-3
2.160e+1, 2.888e-3
2.170e+1, 2.877e-3
2.180e+1, 2.860e-3
2.190e+1, 2.846e-3
2.200e+1, 2.851e-3
2.210e+1, 2.869e-3
2.220e+1, 2.874e-3
2.230e+1, 2.895e-3
2.240e+1, 2.901e-3
2.250e+1, 2.901e-3
2.260e+1, 2.911e-3
2.270e+1, 2.905e-3
2.280e+1, 2.903e-3
2.290e+1, 2.891e-3
2.300e+1, 2.888e-3
2.310e+1, 2.892e-3
2.320e+1, 2.887e-3
2.330e+1, 2.909e-3
2.340e+1, 2.908e-3
2.350e+1, 2.917e-3
2.360e+1, 2.905e-3
2.370e+1, 2.898e-3
2.380e+1, 2.895e-3
2.390e+1, 2.890e-3
2.400e+1, 2.895e-3
2.410e+1, 2.883e-3
2.420e+1, 2.881e-3
2.430e+1, 2.881e-3
2.440e+1, 2.888e-3
2.450e+1, 2.885e-3
2.460e+1, 2.883e-3
2.470e+1, 2.889e-3
2.480e+1, 2.942e-3
2.490e+1, 2.968e-3
2.500e+1, 2.963e-3
2.510e+1, 2.951e-3
2.520e+1, 2.968e-3
2.530e+1, 2.954e-3
2.540e+1, 2.943e-3
2.550e+1, 2.933e-3
2.560e+1, 2.929e-3
2.570e+1, 2.925e-3
2.580e+1, 2.916e-3
2.590e+1, 2.915e-3
2.600e+1, 2.922e-3
2.610e+1, 2.918e-3
2.620e+1, 2.918e-3
2.630e+1, 2.914e-3
2.640e+1, 2.919e-3
2.650e+1, 2.913e-3
2.660e+1, 2.917e-3
2.670e+1, 2.927e-3
2.680e+1, 2.929e-3
2.690e+1, 2.919e-3
2.700e+1, 2.950e-3
2.710e+1, 2.944e-3
2.720e+1, 2.936e-3
2.730e+1, 2.925e-3
2.740e+1, 2.913e-3
2.750e+1, 2.901e-3
2.760e+1, 2.893e-3
2.770e+1, 2.891e-3
2.780e+1, 2.877e-3
2.790e+1, 2.865e-3
2.800e+1, 2.859e-3
2.810e+1, 2.851e-3
2.820e+1, 2.841e-3
2.830e+1, 2.834e-3
2.840e+1, 2.833e-3
2.850e+1, 2.822e-3
2.860e+1, 2.817e-3
2.870e+1, 2.823e-3
2.880e+1, 2.836e-3
2.890e+1, 2.848e-3
2.900e+1, 2.840e-3
2.910e+1, 2.831e-3
2.920e+1, 2.823e-3
2.930e+1, 2.814e-3
2.940e+1, 2.811e-3
2.950e+1, 2.808e-3
2.960e+1, 2.808e-3
2.970e+1, 2.812e-3
2.980e+1, 2.843e-3
2.990e+1, 2.838e-3
3.000e+1, 2.836e-3
3.010e+1, 2.858e-3
3.020e+1, 2.858e-3
3.030e+1, 2.857e-3
3.040e+1, 2.848e-3
3.050e+1, 2.838e-3
3.060e+1, 2.833e-3
3.070e+1, 2.822e-3
3.080e+1, 2.818e-3
3.090e+1, 2.818e-3
3.100e+1, 2.816e-3
3.110e+1, 2.801e-3
3.120e+1, 2.798e-3
3.130e+1, 2.798e-3
3.140e+1, 2.796e-3
3.150e+1, 2.792e-3
3.160e+1, 2.798e-3
3.170e+1, 2.801e-3
3.180e+1, 2.799e-3
3.190e+1, 2.799e-3
3.200e+1, 2.791e-3
3.210e+1, 2.781e-3
3.220e+1, 2.780e-3
3.230e+1, 2.798e-3
3.240e+1, 2.820e-3
3.250e+1, 2.842e-3
3.260e+1, 2.836e-3
3.270e+1, 2.829e-3
3.280e+1, 2.830e-3
3.290e+1, 2.859e-3
3.300e+1, 2.869e-3
3.310e+1, 2.867e-3
3.320e+1, 2.855e-3
3.330e+1, 2.845e-3
3.340e+1, 2.850e-3
3.350e+1, 2.839e-3
3.360e+1, 2.845e-3
3.370e+1, 2.850e-3
3.380e+1, 2.854e-3
3.390e+1, 2.844e-3
3.400e+1, 2.843e-3
3.410e+1, 2.849e-3
3.420e+1, 2.842e-3
3.430e+1, 2.831e-3
3.440e+1, 2.822e-3
3.450e+1, 2.822e-3
3.460e+1, 2.822e-3
3.470e+1, 2.821e-3
3.480e+1, 2.803e-3
3.490e+1, 2.810e-3
3.500e+1, 2.818e-3
3.510e+1, 2.840e-3
3.520e+1, 2.843e-3
3.530e+1, 2.850e-3
3.540e+1, 2.865e-3
3.550e+1, 2.865e-3
3.560e+1, 2.854e-3
3.570e+1, 2.848e-3
3.580e+1, 2.850e-3
3.590e+1, 2.870e-3
3.600e+1, 2.881e-3
3.610e+1, 2.876e-3
3.620e+1, 2.861e-3
3.630e+1, 2.853e-3
3.640e+1, 2.850e-3
3.650e+1, 2.844e-3
3.660e+1, 2.839e-3
3.670e+1, 2.837e-3
3.680e+1, 2.834e-3
3.690e+1, 2.822e-3
3.700e+1, 2.836e-3
3.710e+1, 2.835e-3
3.720e+1, 2.833e-3
3.730e+1, 2.832e-3
3.740e+1, 2.839e-3
3.750e+1, 2.847e-3
3.760e+1, 2.864e-3
3.770e+1, 2.869e-3
3.780e+1, 2.873e-3
3.790e+1, 2.872e-3
3.800e+1, 2.866e-3
3.810e+1, 2.859e-3
3.820e+1, 2.849e-3
3.830e+1, 2.836e-3
3.840e+1, 2.825e-3
3.850e+1, 2.817e-3
3.860e+1, 2.814e-3
3.870e+1, 2.804e-3
3.880e+1, 2.806e-3
3.890e+1, 2.810e-3
3.900e+1, 2.814e-3
3.910e+1, 2.807e-3
3.920e+1, 2.801e-3
3.930e+1, 2.793e-3
3.940e+1, 2.791e-3
3.950e+1, 2.798e-3
3.960e+1, 2.801e-3
3.970e+1, 2.794e-3
3.980e+1, 2.813e-3
3.990e+1, 2.827e-3
4.000e+1, 2.818e-3
4.010e+1, 2.806e-3
4.020e+1, 2.803e-3
4.030e+1, 2.818e-3
4.040e+1, 2.838e-3
4.050e+1, 2.835e-3
4.060e+1, 2.831e-3
4.070e+1, 2.824e-3
4.080e+1, 2.816e-3
4.090e+1, 2.803e-3
4.100e+1, 2.796e-3
4.110e+1, 2.796e-3
4.120e+1, 2.803e-3
4.130e+1, 2.800e-3
4.140e+1, 2.808e-3
4.150e+1, 2.807e-3
4.160e+1, 2.799e-3
4.170e+1, 2.793e-3
4.180e+1, 2.789e-3
4.190e+1, 2.790e-3
4.200e+1, 2.782e-3
4.210e+1, 2.772e-3
4.220e+1, 2.765e-3
4.230e+1, 2.754e-3
4.240e+1, 2.752e-3
4.250e+1, 2.751e-3
4.260e+1, 2.764e-3
4.270e+1, 2.761e-3
4.280e+1, 2.753e-3
4.290e+1, 2.752e-3
4.300e+1, 2.746e-3
4.310e+1, 2.749e-3
4.320e+1, 2.765e-3
4.330e+1, 2.771e-3
4.340e+1, 2.759e-3
4.350e+1, 2.745e-3
4.360e+1, 2.740e-3
4.370e+1, 2.736e-3
4.380e+1, 2.729e-3
4.390e+1, 2.726e-3
4.400e+1, 2.739e-3
4.410e+1, 2.757e-3
4.420e+1, 2.768e-3
4.430e+1, 2.785e-3
4.440e+1, 2.809e-3
4.450e+1, 2.812e-3
4.460e+1, 2.826e-3
4.470e+1, 2.837e-3
4.480e+1, 2.838e-3
4.490e+1, 2.842e-3
4.500e+1, 2.837e-3
4.510e+1, 2.828e-3
4.520e+1, 2.814e-3
4.530e+1, 2.816e-3
4.540e+1, 2.817e-3
4.550e+1, 2.822e-3
4.560e+1, 2.816e-3
4.570e+1, 2.807e-3
4.580e+1, 2.799e-3
4.590e+1, 2.789e-3
4.600e+1, 2.784e-3
4.610e+1, 2.788e-3
4.620e+1, 2.787e-3
4.630e+1, 2.780e-3
4.640e+1, 2.773e-3
4.650e+1, 2.763e-3
4.660e+1, 2.757e-3
4.670e+1, 2.747e-3
4.680e+1, 2.727e-3
4.690e+1, 2.723e-3
4.700e+1, 2.739e-3
4.710e+1, 2.733e-3
4.720e+1, 2.733e-3
4.730e+1, 2.728e-3
4.740e+1, 2.748e-3
4.750e+1, 2.763e-3
4.760e+1, 2.785e-3
4.770e+1, 2.782e-3
4.780e+1, 2.787e-3
4.790e+1, 2.779e-3
4.800e+1, 2.777e-3
4.810e+1, 2.772e-3
4.820e+1, 2.770e-3
4.830e+1, 2.765e-3
4.840e+1, 2.769e-3
4.850e+1, 2.774e-3
4.860e+1, 2.784e-3
4.870e+1, 2.790e-3
4.880e+1, 2.784e-3
4.890e+1, 2.787e-3
4.900e+1, 2.784e-3
4.910e+1, 2.788e-3
4.920e+1, 2.815e-3
4.930e+1, 2.826e-3
4.940e+1, 2.815e-3
4.950e+1, 2.808e-3
4.960e+1, 2.810e-3
4.970e+1, 2.800e-3
4.980e+1, 2.796e-3
4.990e+1, 2.799e-3
5.000e+1, 2.803e-3
5.010e+1, 2.790e-3
5.020e+1, 2.787e-3
5.030e+1, 2.793e-3
5.040e+1, 2.791e-3
5.050e+1, 2.800e-3
5.060e+1, 2.791e-3
5.070e+1, 2.784e-3
5.080e+1, 2.792e-3
5.090e+1, 2.791e-3
5.100e+1, 2.785e-3
5.110e+1, 2.774e-3
5.120e+1, 2.763e-3
5.130e+1, 2.759e-3
5.140e+1, 2.778e-3
5.150e+1, 2.775e-3
5.160e+1, 2.773e-3
5.170e+1, 2.798e-3
5.180e+1, 2.802e-3
5.190e+1, 2.796e-3
5.200e+1, 2.798e-3
5.210e+1, 2.803e-3
