Jan. 12, 2025   16:59:22
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp825\exp825deposition-2025-01-12t16_55_06-deposition\exp825deposition_it_edep_-110mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.1
Sample Interval (s) = 0.1
Run Time (sec) = 86
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.2

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 3.592e-4
2.000e-1, 3.587e-4
3.000e-1, 3.584e-4
4.000e-1, 3.586e-4
5.000e-1, 3.584e-4
6.000e-1, 3.593e-4
7.000e-1, 3.610e-4
8.000e-1, 3.610e-4
9.000e-1, 3.626e-4
1.000e+0, 3.636e-4
1.100e+0, 3.647e-4
1.200e+0, 3.664e-4
1.300e+0, 3.684e-4
1.400e+0, 3.707e-4
1.500e+0, 3.726e-4
1.600e+0, 3.736e-4
1.700e+0, 3.736e-4
1.800e+0, 3.753e-4
1.900e+0, 3.768e-4
2.000e+0, 3.783e-4
2.100e+0, 3.807e-4
2.200e+0, 3.819e-4
2.300e+0, 3.814e-4
2.400e+0, 3.809e-4
2.500e+0, 3.808e-4
2.600e+0, 3.820e-4
2.700e+0, 3.829e-4
2.800e+0, 3.815e-4
2.900e+0, 3.811e-4
3.000e+0, 3.807e-4
3.100e+0, 3.807e-4
3.200e+0, 3.807e-4
3.300e+0, 3.809e-4
3.400e+0, 3.812e-4
3.500e+0, 3.822e-4
3.600e+0, 3.830e-4
3.700e+0, 3.836e-4
3.800e+0, 3.845e-4
3.900e+0, 3.861e-4
4.000e+0, 3.887e-4
4.100e+0, 3.910e-4
4.200e+0, 3.924e-4
4.300e+0, 3.936e-4
4.400e+0, 3.945e-4
4.500e+0, 3.956e-4
4.600e+0, 3.976e-4
4.700e+0, 3.983e-4
4.800e+0, 3.992e-4
4.900e+0, 3.987e-4
5.000e+0, 3.974e-4
5.100e+0, 3.964e-4
5.200e+0, 3.962e-4
5.300e+0, 3.962e-4
5.400e+0, 3.960e-4
5.500e+0, 3.970e-4
5.600e+0, 3.970e-4
5.700e+0, 3.952e-4
5.800e+0, 3.934e-4
5.900e+0, 3.927e-4
6.000e+0, 3.940e-4
6.100e+0, 3.964e-4
6.200e+0, 3.984e-4
6.300e+0, 4.023e-4
6.400e+0, 4.024e-4
6.500e+0, 4.015e-4
6.600e+0, 4.011e-4
6.700e+0, 4.021e-4
6.800e+0, 4.033e-4
6.900e+0, 4.027e-4
7.000e+0, 4.027e-4
7.100e+0, 4.026e-4
7.200e+0, 4.024e-4
7.300e+0, 4.024e-4
7.400e+0, 4.027e-4
7.500e+0, 4.026e-4
7.600e+0, 4.034e-4
7.700e+0, 4.045e-4
7.800e+0, 4.065e-4
7.900e+0, 4.073e-4
8.000e+0, 4.082e-4
8.100e+0, 4.109e-4
8.200e+0, 4.120e-4
8.300e+0, 4.115e-4
8.400e+0, 4.099e-4
8.500e+0, 4.071e-4
8.600e+0, 4.062e-4
8.700e+0, 4.052e-4
8.800e+0, 4.046e-4
8.900e+0, 4.023e-4
9.000e+0, 4.012e-4
9.100e+0, 4.026e-4
