Jan. 14, 2025   10:18:26
Open Circuit Potential - Time
File: c:/users/guazh/data/banditlqround7_x0exp772_r5/2025-01-10-exp842\exp842-2025-01-14t10_17_38-arkoh\ocp_2025-01-14t10_18_08.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, -1.005e+0
2.000e-2, -1.005e+0
3.000e-2, -1.006e+0
4.000e-2, -1.006e+0
5.000e-2, -1.006e+0
6.000e-2, -1.005e+0
7.000e-2, -1.005e+0
8.000e-2, -1.005e+0
9.000e-2, -1.005e+0
1.000e-1, -1.006e+0
1.100e-1, -1.006e+0
1.200e-1, -1.006e+0
1.300e-1, -1.006e+0
1.400e-1, -1.005e+0
1.500e-1, -1.005e+0
1.600e-1, -1.005e+0
1.700e-1, -1.005e+0
1.800e-1, -1.006e+0
1.900e-1, -1.006e+0
2.000e-1, -1.006e+0
2.100e-1, -1.005e+0
2.200e-1, -1.005e+0
2.300e-1, -1.005e+0
2.400e-1, -1.005e+0
2.500e-1, -1.006e+0
2.600e-1, -1.006e+0
2.700e-1, -1.006e+0
2.800e-1, -1.005e+0
2.900e-1, -1.005e+0
3.000e-1, -1.005e+0
3.100e-1, -1.005e+0
3.200e-1, -1.005e+0
3.300e-1, -1.006e+0
3.400e-1, -1.006e+0
3.500e-1, -1.006e+0
3.600e-1, -1.005e+0
3.700e-1, -1.005e+0
3.800e-1, -1.005e+0
3.900e-1, -1.005e+0
4.000e-1, -1.006e+0
4.100e-1, -1.006e+0
4.200e-1, -1.006e+0
4.300e-1, -1.005e+0
4.400e-1, -1.005e+0
4.500e-1, -1.005e+0
4.600e-1, -1.005e+0
4.700e-1, -1.005e+0
4.800e-1, -1.006e+0
4.900e-1, -1.006e+0
5.000e-1, -1.005e+0
5.100e-1, -1.005e+0
5.200e-1, -1.005e+0
5.300e-1, -1.005e+0
5.400e-1, -1.005e+0
5.500e-1, -1.006e+0
5.600e-1, -1.006e+0
5.700e-1, -1.006e+0
5.800e-1, -1.005e+0
5.900e-1, -1.005e+0
6.000e-1, -1.005e+0
6.100e-1, -1.005e+0
6.200e-1, -1.005e+0
6.300e-1, -1.006e+0
6.400e-1, -1.006e+0
6.500e-1, -1.005e+0
6.600e-1, -1.005e+0
6.700e-1, -1.005e+0
6.800e-1, -1.005e+0
6.900e-1, -1.005e+0
7.000e-1, -1.005e+0
7.100e-1, -1.006e+0
7.200e-1, -1.006e+0
7.300e-1, -1.005e+0
7.400e-1, -1.005e+0
7.500e-1, -1.005e+0
7.600e-1, -1.005e+0
7.700e-1, -1.005e+0
7.800e-1, -1.006e+0
7.900e-1, -1.006e+0
8.000e-1, -1.005e+0
8.100e-1, -1.005e+0
8.200e-1, -1.005e+0
8.300e-1, -1.005e+0
8.400e-1, -1.005e+0
8.500e-1, -1.005e+0
8.600e-1, -1.006e+0
8.700e-1, -1.005e+0
8.800e-1, -1.005e+0
8.900e-1, -1.005e+0
9.000e-1, -1.005e+0
9.100e-1, -1.005e+0
9.200e-1, -1.005e+0
9.300e-1, -1.006e+0
9.400e-1, -1.006e+0
9.500e-1, -1.005e+0
9.600e-1, -1.005e+0
9.700e-1, -1.005e+0
9.800e-1, -1.005e+0
9.900e-1, -1.005e+0
1.000e+0, -1.005e+0
1.010e+0, -1.006e+0
1.020e+0, -1.006e+0
1.030e+0, -1.005e+0
1.040e+0, -1.005e+0
1.050e+0, -1.005e+0
1.060e+0, -1.005e+0
1.070e+0, -1.005e+0
1.080e+0, -1.006e+0
1.090e+0, -1.006e+0
