Mar. 5, 2025   15:53:38
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp169_r20_3/2025-03-03-exp879\exp879deposition-2025-03-05t15_50_21-deposition\exp879deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.7

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 5.289e-3
2.000e-1, 5.300e-3
3.000e-1, 5.323e-3
4.000e-1, 5.346e-3
5.000e-1, 5.356e-3
6.000e-1, 5.354e-3
7.000e-1, 5.350e-3
8.000e-1, 5.366e-3
9.000e-1, 5.381e-3
1.000e+0, 5.379e-3
1.100e+0, 5.371e-3
1.200e+0, 5.391e-3
1.300e+0, 5.405e-3
1.400e+0, 5.409e-3
1.500e+0, 5.408e-3
1.600e+0, 5.405e-3
1.700e+0, 5.425e-3
1.800e+0, 5.432e-3
1.900e+0, 5.439e-3
2.000e+0, 5.445e-3
2.100e+0, 5.433e-3
2.200e+0, 5.425e-3
2.300e+0, 5.435e-3
2.400e+0, 5.449e-3
2.500e+0, 5.460e-3
2.600e+0, 5.464e-3
2.700e+0, 5.468e-3
2.800e+0, 5.470e-3
2.900e+0, 5.479e-3
3.000e+0, 5.477e-3
3.100e+0, 5.492e-3
3.200e+0, 5.503e-3
3.300e+0, 5.508e-3
3.400e+0, 5.512e-3
3.500e+0, 5.524e-3
3.600e+0, 5.517e-3
3.700e+0, 5.514e-3
3.800e+0, 5.520e-3
3.900e+0, 5.511e-3
4.000e+0, 5.513e-3
4.100e+0, 5.509e-3
4.200e+0, 5.508e-3
4.300e+0, 5.521e-3
4.400e+0, 5.545e-3
4.500e+0, 5.555e-3
4.600e+0, 5.560e-3
4.700e+0, 5.580e-3
4.800e+0, 5.583e-3
4.900e+0, 5.585e-3
5.000e+0, 5.586e-3
5.100e+0, 5.609e-3
5.200e+0, 5.608e-3
5.300e+0, 5.600e-3
5.400e+0, 5.604e-3
5.500e+0, 5.579e-3
5.600e+0, 5.563e-3
5.700e+0, 5.560e-3
5.800e+0, 5.560e-3
5.900e+0, 5.559e-3
6.000e+0, 5.564e-3
6.100e+0, 5.575e-3
6.200e+0, 5.584e-3
6.300e+0, 5.579e-3
6.400e+0, 5.564e-3
6.500e+0, 5.565e-3
6.600e+0, 5.572e-3
6.700e+0, 5.558e-3
6.800e+0, 5.563e-3
6.900e+0, 5.575e-3
7.000e+0, 5.581e-3
7.100e+0, 5.596e-3
7.200e+0, 5.604e-3
7.300e+0, 5.615e-3
7.400e+0, 5.610e-3
7.500e+0, 5.605e-3
7.600e+0, 5.614e-3
7.700e+0, 5.626e-3
7.800e+0, 5.626e-3
7.900e+0, 5.621e-3
8.000e+0, 5.636e-3
8.100e+0, 5.650e-3
8.200e+0, 5.665e-3
8.300e+0, 5.670e-3
8.400e+0, 5.673e-3
8.500e+0, 5.665e-3
8.600e+0, 5.653e-3
8.700e+0, 5.657e-3
8.800e+0, 5.648e-3
8.900e+0, 5.643e-3
9.000e+0, 5.653e-3
9.100e+0, 5.669e-3
9.200e+0, 5.680e-3
9.300e+0, 5.690e-3
9.400e+0, 5.693e-3
9.500e+0, 5.700e-3
9.600e+0, 5.696e-3
9.700e+0, 5.701e-3
9.800e+0, 5.717e-3
9.900e+0, 5.714e-3
1.000e+1, 5.708e-3
1.010e+1, 5.696e-3
1.020e+1, 5.692e-3
1.030e+1, 5.680e-3
1.040e+1, 5.673e-3
1.050e+1, 5.683e-3
1.060e+1, 5.699e-3
1.070e+1, 5.705e-3
1.080e+1, 5.714e-3
1.090e+1, 5.721e-3
1.100e+1, 5.717e-3
1.110e+1, 5.713e-3
1.120e+1, 5.713e-3
1.130e+1, 5.720e-3
1.140e+1, 5.714e-3
1.150e+1, 5.709e-3
1.160e+1, 5.714e-3
1.170e+1, 5.721e-3
1.180e+1, 5.730e-3
1.190e+1, 5.745e-3
1.200e+1, 5.764e-3
1.210e+1, 5.776e-3
1.220e+1, 5.774e-3
1.230e+1, 5.768e-3
1.240e+1, 5.774e-3
1.250e+1, 5.783e-3
1.260e+1, 5.783e-3
1.270e+1, 5.777e-3
1.280e+1, 5.789e-3
1.290e+1, 5.783e-3
1.300e+1, 5.778e-3
1.310e+1, 5.765e-3
1.320e+1, 5.768e-3
1.330e+1, 5.768e-3
1.340e+1, 5.766e-3
1.350e+1, 5.779e-3
1.360e+1, 5.786e-3
1.370e+1, 5.807e-3
1.380e+1, 5.806e-3
1.390e+1, 5.818e-3
1.400e+1, 5.841e-3
1.410e+1, 5.837e-3
1.420e+1, 5.835e-3
1.430e+1, 5.823e-3
1.440e+1, 5.812e-3
1.450e+1, 5.804e-3
1.460e+1, 5.818e-3
1.470e+1, 5.847e-3
1.480e+1, 5.852e-3
1.490e+1, 5.872e-3
1.500e+1, 5.907e-3
1.510e+1, 5.908e-3
1.520e+1, 5.906e-3
1.530e+1, 5.914e-3
1.540e+1, 5.925e-3
1.550e+1, 5.947e-3
1.560e+1, 5.961e-3
1.570e+1, 5.968e-3
1.580e+1, 5.955e-3
1.590e+1, 5.929e-3
1.600e+1, 5.915e-3
1.610e+1, 5.917e-3
1.620e+1, 5.912e-3
1.630e+1, 5.905e-3
1.640e+1, 5.915e-3
1.650e+1, 5.923e-3
1.660e+1, 5.933e-3
1.670e+1, 5.947e-3
1.680e+1, 5.951e-3
1.690e+1, 5.943e-3
1.700e+1, 5.948e-3
1.710e+1, 5.958e-3
1.720e+1, 5.971e-3
1.730e+1, 5.979e-3
1.740e+1, 6.014e-3
1.750e+1, 6.045e-3
1.760e+1, 6.085e-3
1.770e+1, 6.096e-3
1.780e+1, 6.082e-3
1.790e+1, 6.105e-3
1.800e+1, 6.101e-3
1.810e+1, 6.100e-3
1.820e+1, 6.101e-3
1.830e+1, 6.091e-3
1.840e+1, 6.079e-3
1.850e+1, 6.089e-3
1.860e+1, 6.078e-3
1.870e+1, 6.065e-3
1.880e+1, 6.048e-3
1.890e+1, 6.055e-3
1.900e+1, 6.123e-3
1.910e+1, 6.175e-3
