Apr. 7, 2025   15:03:38
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp994_r5/2025-03-28-exp1010\exp1010deposition-2025-04-07t15_00_20-deposition\exp1010deposition_it_edep_-100mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1
Sample Interval (s) = 0.1
Run Time (sec) = 30
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 11.4

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 1.023e-5
2.000e-1, 1.053e-5
3.000e-1, 1.094e-5
4.000e-1, 1.149e-5
5.000e-1, 1.202e-5
6.000e-1, 1.260e-5
7.000e-1, 1.327e-5
8.000e-1, 1.383e-5
9.000e-1, 1.456e-5
1.000e+0, 1.542e-5
1.100e+0, 1.606e-5
1.200e+0, 1.670e-5
1.300e+0, 1.759e-5
1.400e+0, 1.857e-5
1.500e+0, 1.952e-5
1.600e+0, 2.053e-5
1.700e+0, 2.189e-5
1.800e+0, 2.301e-5
1.900e+0, 2.441e-5
2.000e+0, 2.586e-5
2.100e+0, 2.703e-5
2.200e+0, 2.844e-5
2.300e+0, 2.957e-5
2.400e+0, 3.077e-5
2.500e+0, 3.213e-5
2.600e+0, 3.370e-5
2.700e+0, 3.511e-5
2.800e+0, 3.738e-5
2.900e+0, 3.905e-5
3.000e+0, 4.069e-5
3.100e+0, 4.221e-5
3.200e+0, 4.421e-5
3.300e+0, 4.703e-5
3.400e+0, 4.870e-5
3.500e+0, 5.022e-5
3.600e+0, 5.215e-5
3.700e+0, 5.513e-5
3.800e+0, 5.705e-5
3.900e+0, 5.883e-5
4.000e+0, 6.065e-5
4.100e+0, 6.257e-5
4.200e+0, 6.466e-5
4.300e+0, 6.797e-5
4.400e+0, 7.123e-5
4.500e+0, 7.391e-5
4.600e+0, 7.659e-5
4.700e+0, 7.910e-5
4.800e+0, 8.299e-5
4.900e+0, 8.745e-5
5.000e+0, 8.965e-5
5.100e+0, 9.109e-5
5.200e+0, 9.326e-5
5.300e+0, 9.526e-5
5.400e+0, 9.678e-5
5.500e+0, 1.002e-4
5.600e+0, 1.026e-4
5.700e+0, 1.042e-4
5.800e+0, 1.058e-4
5.900e+0, 1.076e-4
6.000e+0, 1.093e-4
6.100e+0, 1.113e-4
6.200e+0, 1.133e-4
6.300e+0, 1.152e-4
6.400e+0, 1.174e-4
6.500e+0, 1.195e-4
6.600e+0, 1.223e-4
6.700e+0, 1.249e-4
6.800e+0, 1.271e-4
6.900e+0, 1.306e-4
7.000e+0, 1.336e-4
7.100e+0, 1.356e-4
7.200e+0, 1.371e-4
7.300e+0, 1.433e-4
7.400e+0, 1.477e-4
7.500e+0, 1.497e-4
7.600e+0, 1.513e-4
7.700e+0, 1.524e-4
7.800e+0, 1.533e-4
7.900e+0, 1.546e-4
8.000e+0, 1.561e-4
8.100e+0, 1.577e-4
8.200e+0, 1.593e-4
8.300e+0, 1.603e-4
8.400e+0, 1.620e-4
8.500e+0, 1.635e-4
8.600e+0, 1.658e-4
8.700e+0, 1.682e-4
8.800e+0, 1.707e-4
8.900e+0, 1.723e-4
9.000e+0, 1.754e-4
9.100e+0, 1.780e-4
9.200e+0, 1.789e-4
9.300e+0, 1.796e-4
9.400e+0, 1.824e-4
9.500e+0, 1.846e-4
9.600e+0, 1.851e-4
9.700e+0, 1.855e-4
9.800e+0, 1.887e-4
9.900e+0, 1.918e-4
1.000e+1, 1.917e-4
1.010e+1, 1.911e-4
1.020e+1, 1.931e-4
1.030e+1, 2.062e-4
1.040e+1, 2.118e-4
1.050e+1, 2.108e-4
1.060e+1, 2.087e-4
1.070e+1, 2.063e-4
1.080e+1, 2.047e-4
1.090e+1, 2.036e-4
1.100e+1, 2.063e-4
1.110e+1, 2.099e-4
1.120e+1, 2.120e-4
1.130e+1, 2.159e-4
1.140e+1, 2.338e-4
