May 5, 2025   07:16:17
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1246\exp1246deposition-2025-05-05t07_11_48-deposition\exp1246deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 102
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.5

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 4.033e-3
2.000e-1, 4.091e-3
3.000e-1, 4.103e-3
4.000e-1, 4.064e-3
5.000e-1, 4.019e-3
6.000e-1, 3.927e-3
7.000e-1, 3.828e-3
8.000e-1, 3.759e-3
9.000e-1, 3.691e-3
1.000e+0, 3.694e-3
1.100e+0, 3.669e-3
1.200e+0, 3.630e-3
1.300e+0, 3.614e-3
1.400e+0, 3.611e-3
1.500e+0, 3.632e-3
1.600e+0, 3.636e-3
1.700e+0, 3.633e-3
1.800e+0, 3.633e-3
1.900e+0, 3.616e-3
2.000e+0, 3.622e-3
2.100e+0, 3.626e-3
2.200e+0, 3.695e-3
2.300e+0, 3.785e-3
2.400e+0, 3.820e-3
2.500e+0, 3.795e-3
2.600e+0, 3.725e-3
2.700e+0, 3.708e-3
2.800e+0, 3.762e-3
2.900e+0, 3.731e-3
3.000e+0, 3.691e-3
3.100e+0, 3.689e-3
3.200e+0, 3.684e-3
3.300e+0, 3.633e-3
3.400e+0, 3.560e-3
3.500e+0, 3.522e-3
3.600e+0, 3.515e-3
3.700e+0, 3.529e-3
3.800e+0, 3.589e-3
3.900e+0, 3.705e-3
4.000e+0, 3.777e-3
4.100e+0, 3.952e-3
4.200e+0, 3.984e-3
4.300e+0, 3.930e-3
4.400e+0, 3.973e-3
4.500e+0, 3.958e-3
4.600e+0, 3.884e-3
4.700e+0, 3.804e-3
4.800e+0, 3.739e-3
4.900e+0, 3.738e-3
5.000e+0, 3.803e-3
5.100e+0, 3.843e-3
5.200e+0, 3.826e-3
5.300e+0, 3.782e-3
5.400e+0, 3.715e-3
5.500e+0, 3.680e-3
5.600e+0, 3.652e-3
5.700e+0, 3.621e-3
5.800e+0, 3.635e-3
5.900e+0, 3.715e-3
6.000e+0, 3.794e-3
6.100e+0, 3.780e-3
6.200e+0, 3.734e-3
6.300e+0, 3.699e-3
6.400e+0, 3.675e-3
6.500e+0, 3.681e-3
6.600e+0, 3.699e-3
