Experiment,Overpotential V at 2.0 mA/cm2,Overpotential V at 10.0 mA/cm2,Overpotential V at 50.0 mA/cm2
exp1,-0.3846999999999999,-0.4867,-0.5917
exp2,-0.6177,-0.7227,-0.7847000000000001
exp3,-0.3766999999999999,-0.5107,-0.6637000000000001
exp4,-0.0517,-0.2476999999999999,-0.5297
exp5,-0.4916999999999999,-0.6137,-0.7347
exp6,-0.4777000000000001,-0.5497,-0.6337
exp7,-0.3377,-0.4046999999999999,-0.5056999999999999
exp8,-0.1757000000000002,-0.2787,-0.3666999999999999
exp9,-0.1777000000000002,-0.2616999999999999,-0.3567000000000001
exp10,-0.7227,-0.7977,-0.8817
exp11,-0.3467000000000001,-0.4266999999999999,-0.5247
exp12,-0.2396999999999999,-0.3167000000000001,-0.4246999999999999
exp13,-0.5717,-0.6827,-0.7736999999999999
exp14,-0.7237000000000001,-0.7636999999999999,-0.8097
exp15,-0.4976999999999999,-0.6117,-0.7027
exp16,-0.5857,-0.6987,-0.8357
exp17,-0.6557000000000001,-0.7187,-0.7797
exp18,-0.2996999999999999,-0.4447,-0.6047000000000001
exp19,-0.3167000000000001,-0.4277000000000001,-0.5967000000000001
exp20,-0.3897,-0.6277,-0.7576999999999999
exp21,-0.5837,-0.7057000000000001,-0.7847000000000001
exp22,-0.0617,-0.1317000000000001,-0.4206999999999999
exp23,-0.3557,-0.5337,-0.6657000000000001
exp24,-0.1727,-0.2587,-0.3507000000000001
exp25,-0.7627,-0.8107000000000001,-0.8697
exp26,-0.5387000000000001,-0.6417,-0.7187
exp27,-0.0947000000000002,-0.3937,-0.5327000000000001
exp28,-0.4257000000000001,-0.6306999999999999,-0.7487
exp29,-0.5196999999999999,-0.6146999999999999,-0.6817000000000001
exp30,-0.5947000000000001,-0.6607,-0.7317000000000001
exp31,-0.6246999999999999,-0.6917000000000001,-0.7707
exp32,-0.3757,-0.5056999999999999,-0.6617000000000001
exp33,-0.7297000000000001,-0.7927000000000001,-0.8677
exp34,-0.2856999999999999,-0.4126999999999999,-0.5847000000000001
exp35,-0.3786999999999999,-0.5347000000000001,-0.6617000000000001
exp36,-0.7716999999999999,-0.8257,-0.8846999999999999
exp37,-0.6017,-0.7007,-0.7987000000000001
exp38,-0.4327,-0.4996999999999999,-0.5907000000000001
exp39,-0.2376999999999999,-0.3097,-0.4177
exp40,-0.3597,-0.4507,-0.5947000000000001
exp41,-0.2796999999999999,-0.3577,-0.4767
exp42,-0.6067000000000001,-0.6967,-0.7997
exp43,-0.2396999999999999,-0.3237,-0.4737000000000001
exp44,-0.0897000000000001,-0.3467000000000001,-0.4587
exp45,-0.0417,-0.2776999999999999,-0.3766999999999999
exp46,-0.6037,-0.7217000000000001,-0.8117
exp47,-0.3487000000000001,-0.5807000000000001,-0.6977000000000001
exp48,-0.6947,-0.7627,-0.8267000000000001
exp49,-0.5617,-0.6317,-0.7167
exp50,-0.5357,-0.5957,-0.6817000000000001
exp51,-0.7867000000000001,-0.8297,-0.8826999999999999
exp52,-0.2687,-0.3427000000000001,-0.4437000000000001
exp53,-0.4037,-0.5837,-0.6797000000000001
exp54,-0.5437,-0.6346999999999999,-0.7127
exp55,-0.5337,-0.6107000000000001,-0.6987
exp56,-0.4166999999999999,-0.5497,-0.6797000000000001
exp57,-0.7396999999999999,-0.8087000000000001,-0.8786999999999999
