Experiment,Voltage_Ar,Overpotential V at 0.5 mA/cm2_Ar,Current Density 0.5 mA/cm2_Ar,Overpotential V at 1.0 mA/cm2_Ar,Current Density 1.0 mA/cm2_Ar,Overpotential V at 1.5 mA/cm2_Ar,Current Density 1.5 mA/cm2_Ar,Overpotential V at 2.0 mA/cm2_Ar,Current Density 2.0 mA/cm2_Ar,Overpotential V at 2.5 mA/cm2_Ar,Current Density 2.5 mA/cm2_Ar,Overpotential V at 3.0 mA/cm2_Ar,Current Density 3.0 mA/cm2_Ar,Overpotential V at 3.5 mA/cm2_Ar,Current Density 3.5 mA/cm2_Ar,Overpotential V at 4.0 mA/cm2_Ar,Current Density 4.0 mA/cm2_Ar,Overpotential V at 4.5 mA/cm2_Ar,Current Density 4.5 mA/cm2_Ar,Overpotential V at 5.0 mA/cm2_Ar,Current Density 5.0 mA/cm2_Ar,Overpotential V at 5.5 mA/cm2_Ar,Current Density 5.5 mA/cm2_Ar,Overpotential V at 6.0 mA/cm2_Ar,Current Density 6.0 mA/cm2_Ar,Overpotential V at 6.5 mA/cm2_Ar,Current Density 6.5 mA/cm2_Ar,Overpotential V at 7.0 mA/cm2_Ar,Current Density 7.0 mA/cm2_Ar,Overpotential V at 7.5 mA/cm2_Ar,Current Density 7.5 mA/cm2_Ar,Overpotential V at 8.0 mA/cm2_Ar,Current Density 8.0 mA/cm2_Ar,Overpotential V at 8.5 mA/cm2_Ar,Current Density 8.5 mA/cm2_Ar,Overpotential V at 9.0 mA/cm2_Ar,Current Density 9.0 mA/cm2_Ar,Overpotential V at 9.5 mA/cm2_Ar,Current Density 9.5 mA/cm2_Ar,Overpotential V at 10.0 mA/cm2_Ar,Current Density 10.0 mA/cm2_Ar,Overpotential V at 20.0 mA/cm2_Ar,Current Density 20.0 mA/cm2_Ar,Overpotential V at 30.0 mA/cm2_Ar,Current Density 30.0 mA/cm2_Ar,Overpotential V at 40.0 mA/cm2_Ar,Current Density 40.0 mA/cm2_Ar,Overpotential V at 50.0 mA/cm2_Ar,Current Density 50.0 mA/cm2_Ar
exp1,-1600mV,-0.3317,-0.4910462921831541,-0.3657,-0.9955323417150264,-0.3857,-1.4939351326574788,-0.4006999999999999,-2.001816489309027,-0.4117,-2.4842330425630044,-0.4206999999999999,-2.970893729716577,-0.4286999999999999,-3.532534115762996,-0.4347,-4.014950669016974,-0.4397000000000001,-4.501611356170546,-0.4437000000000001,-4.962807239926549,-0.4477000000000001,-5.460785617479042,-0.4517000000000001,-6.016767158326001,-0.4547,-6.493524866380518,-0.4577000000000001,-7.002820934331931,-0.4607,-7.540411228280647,-0.4627,-7.94360394874218,-0.4657000000000001,-8.549100385084417,-0.4677000000000001,-8.998978578441498,-0.4697000000000001,-9.453100905698175,-0.4717000000000001,-9.918540923353772,-0.5036999999999999,-19.862546650105116,-0.5277,-30.17579202612123,-0.5457,-39.83827020419943,-0.5617,-49.98175022423175
exp2,-1800mV,-0.6047000000000001,-0.4991101465923849,-0.6326999999999999,-0.9904393810355122,-0.6477,-1.5080822456561291,-0.6567,-1.9692781294121309,-0.6647,-2.515356691160035,-0.6707,-3.0402145834099636,-0.6747,-3.4518955716706894,-0.6797000000000001,-4.054562585413195,-0.6827,-4.466243573673921,-0.6867,-5.078813566515482,-0.6887,-5.421173701082821,-0.6917000000000001,-5.967252262830725,-0.6947,-6.574163410472826,-0.6967,-7.011309202131122,-0.6987,-7.479578642386449,-0.7007,-7.978971731238807,-0.7027,-8.503829623488736,-0.7047,-9.07537298863421,-0.7057000000000001,-9.366803516406408,-0.7077000000000001,-9.98786177704716,-0.7307,-20.13134179707947,-0.7456999999999999,-30.161644913122583,-0.7576999999999999,-40.29097782015624,-0.7676999999999999,-49.98175022423175
exp3,-1800mV,-0.3537,-0.5032128093619935,-0.3977,-1.0006253023945404,-0.4246999999999999,-1.505252823056399,-0.4447,-1.9989870667092968,-0.4617000000000001,-2.509697845960575,-0.4757000000000001,-3.0119203574126634,-0.4876999999999999,-3.5014104671659654,-0.4987,-4.009291823817514,-0.5087,-4.515758469169198,-0.5176999999999999,-5.0292986710202054,-0.5257,-5.520203492073373,-0.5327000000000001,-5.99696120012789,-0.5397,-6.514745535878494,-0.5457,-6.983014976133821,-0.5517,-7.4753345084868545,-0.5577,-8.022827781534623,-0.5627000000000001,-8.523635581686847,-0.5677,-9.038590494837718,-0.5717,-9.455930328297908,-0.5767000000000001,-10.018985425644187,-0.6366999999999999,-20.046459119087572,-0.6727,-29.878702653149578,-0.7007,-39.95144710818864,-0.7247,-50.1939569192115
exp4,-1700mV,-0.1007000000000002,-0.4988272043324118,-0.0117,1.0057182630740549,-0.2267,-1.4911057100577487,-0.2547,-1.993328221509837,-0.2787,-2.4983801555616547,-0.3027000000000001,-2.997773244414013,0.0092999999999998,3.499995755866101,-0.3866999999999999,-3.9937299995189983,-0.4146999999999999,-4.505855490070142,-0.4297000000000001,-5.002419156322769,-0.4407,-5.493323977375938,-0.4497000000000001,-5.98564350972897,-0.4577000000000001,-6.513330824578629,-0.4647,-7.008479779531392,-0.4707,-7.500799311884425,-0.4767,-8.045463162332464,-0.4817000000000001,-8.539197405985362,-0.4857000000000001,-8.956537239445547,-0.4907,-9.511104068992642,-0.4947,-9.970885241448778,-0.5517,-20.01816489309027,-0.5877,-30.04846800913338,-0.6177,-40.05047689917919,-0.6426999999999999,-49.86857332024254
exp5,-1800mV,-0.4487,-0.501656626932142,-0.4896999999999999,-1.0010497157844995,-0.5167,-1.505252823056399,-0.5367000000000001,-2.0060606232086218,-0.5517,-2.4842330425630044,-0.5647000000000001,-2.9850408427152275,-0.5757,-3.502825178465831,-0.5847000000000001,-3.989485865619403,-0.5937,-4.525661448268252,-0.6007000000000001,-5.020810403221016,-0.6067000000000001,-5.4622003287789065,-0.6126999999999999,-5.9601787063314,-0.6186999999999999,-6.499183711579978,-0.6237,-6.967453151835306,-0.6286999999999999,-7.50221402318429,-0.6326999999999999,-7.942189237442316,-0.6377,-8.522220870386981,-0.6417,-9.034346360938123,-0.6446999999999999,-9.447442060498714,-0.6486999999999999,-9.935517458952152,-0.6987,-19.890840876102416,-0.7307,-30.147497800123933,-0.7536999999999999,-39.95144710818864,-0.7736999999999999,-50.1939569192115
exp6,-1700mV,-0.4237000000000001,-0.4988272043324118,-0.4557000000000001,-0.9911467366854448,-0.4747,-1.5038381117565338,-0.4876999999999999,-2.011719468408082,-0.4976999999999999,-2.5266743815589554,-0.5056999999999999,-3.034555738210504,-0.5116999999999999,-3.4900927767670455,-0.5176999999999999,-4.014950669016974,-0.5227,-4.512929046569467,-0.5267000000000001,-4.952904260827493,-0.5307000000000001,-5.438150236681202,-0.5347000000000001,-5.97432581933005,-0.5387000000000001,-6.55860158617431,-0.5417,-7.031115160329232,-0.5447000000000001,-7.540411228280647,-0.5477,-8.08366036742882,-0.5497,-8.458558861893053,-0.5527000000000001,-9.0555670304361,-0.5547000000000001,-9.47715099779588,-0.5567000000000001,-9.917126212053908,-0.5887000000000001,-19.834252424107817,-0.6097,-29.76552574916037,-0.6266999999999999,-40.092918238175145,-0.6406999999999999,-50.094927128220945
exp7,-1600mV,-0.3227000000000001,-0.502222511452088,-0.3547000000000001,-1.000483831264554,-0.3706999999999999,-1.4953498439573436,-0.3817,-1.980595819811051,-0.3906999999999999,-2.49413602166206,-0.3977,-2.9878702653149576,-0.4037,-3.4816045089678553,-0.4086999999999999,-3.962606350921967,-0.4137,-4.508684912669872,-0.4177,-5.0052485789225,-0.4217000000000001,-5.549912429370539,-0.4246999999999999,-5.97432581933005,-0.4277000000000001,-6.455327661284162,-0.4306999999999999,-6.9646237292355755,-0.4337000000000001,-7.503628734484154,-0.4357000000000001,-7.899747898446365,-0.4387,-8.506659046088465,-0.4407,-8.948048971646358,-0.4427,-9.407830144102494,-0.4447,-9.873270161758091,-0.4747,-19.93328221509837,-0.4956999999999999,-29.892849766148224,-0.5156999999999999,-39.86656443019674,-0.5367000000000001,-49.78369064225064
exp8,-1400mV,-0.0057,-0.4920365900930598,-0.0267000000000001,-0.9902979099055256,-0.1737000000000002,-1.501008689156804,0.0132999999999998,2.017378313607542,-0.2227,-2.5167714024599,-0.2347,-3.0119203574126634,-0.2416999999999999,-3.4915074880669104,-0.2496999999999999,-4.0319272046153545,-0.2547,-4.470487707573516,-0.2596999999999999,-4.972710219025604,-0.2647,-5.540009450271484,-0.2676999999999999,-5.97149639673032,-0.2716999999999999,-6.511916113278764,-0.2756999999999999,-7.077800633224777,-0.2776999999999999,-7.434307880790768,-0.2807,-7.90682145494569,-0.2836999999999999,-8.450070594093864,-0.2867,-9.059811164335692,-0.2887,-9.43753908139966,-0.2916999999999999,-10.102453392336226,-0.3247000000000001,-19.93328221509837,-0.3467000000000001,-29.892849766148224,-0.3646999999999999,-40.191948029165694,-0.3786999999999999,-49.68466085126009
exp9,-1400mV,-0.0137,-0.4992516177223714,-0.1427,-1.003313253864284,-0.1737000000000002,-1.5179852247551844,-0.1917000000000001,-1.9919135102099716,-0.2027,-2.4799889086634095,-0.2127,-3.0161644913122583,-0.2207,-3.5113134462650213,-0.2267,-3.9668504848215624,-0.2327,-4.521417314368658,-0.2376999999999999,-5.006663290222365,-0.2427,-5.549912429370539,-0.2467,-5.995546488828026,-0.2507,-6.502013134179709,-0.2536999999999999,-6.960379595335981,-0.2576999999999999,-7.529093537881726,-0.2607,-7.961995195640427,-0.2636999999999999,-8.50241491218887,-0.2667,-8.977757908943524,-0.2696999999999999,-9.546471851489269,-0.2716999999999999,-9.897320253855796,-0.3097,-20.01816489309027,-0.3337,-29.935291105144177,-0.3527000000000001,-39.96559422118728,-0.3686999999999999,-49.98175022423175
exp10,-1900mV,-0.6466999999999999,-0.4964221951226413,-0.6817000000000001,-1.004727965164149,-0.6997000000000001,-1.498179266557074,-0.7117000000000001,-1.9777663972113213,-0.7217000000000001,-2.5139419798601703,-0.7287,-2.9822114201154974,-0.7347,-3.4646279733694745,-0.7407,-4.037586049814815,-0.7447,-4.457755305874731,-0.7487,-4.938757147828842,-0.7527,-5.469273885278232,-0.7567,-6.036573116524112,-0.7596999999999999,-6.511916113278764,-0.7627,-7.014138624730852,-0.7656999999999999,-7.561631897778621,-0.7676999999999999,-7.945018660042045,-0.7707,-8.554759230283878,-0.7727,-8.982002042843117,-0.7747,-9.427636102300603,-0.7767000000000001,-9.898734965155665,-0.8077,-19.890840876102416,-0.8287000000000001,-30.07676223513068,-0.8447000000000001,-39.83827020419943,-0.8587000000000001,-49.95345599823444
