Experiment,ECSA voltage_Ar,ECSA target V_Ar,ECSA slope raw_Ar,ECSA intercept_Ar,ECSA R^2_Ar,Cdl mF cm-2_Ar,Ar ECSA file count
exp1,-1600mV,-0.15,-0.0011909280706962734,-0.16944810618358475,0.9691907433207817,1.1909280706962735,10.0
exp2,-1800mV,-0.15,-0.00013330186986466197,-0.017389292653401625,0.854633620238657,0.13330186986466197,10.0
exp3,-1800mV,-0.15,-0.0010764131455096968,-0.14035490061659361,0.9798996709430269,1.0764131455096968,10.0
exp4,-1700mV,-0.15,-0.007614066551226045,-0.48792253367539784,0.9977021332045933,7.614066551226045,10.0
exp5,-1800mV,-0.15,-0.00014832014300193008,-0.014708750219794453,0.889943133850845,0.14832014300193008,10.0
exp6,-1700mV,-0.15,-0.00015594741542422955,-0.015700298266083518,0.8830415035924375,0.15594741542422955,10.0
exp7,-1600mV,-0.15,-0.004541808869906357,-0.22051905751262568,0.9933971539618843,4.541808869906356,10.0
exp8,-1400mV,-0.15,-0.019031989494412656,-1.3088684238292565,0.994052417409601,19.031989494412656,10.0
exp9,-1400mV,-0.15,-0.013069337552621848,-0.5460086174084697,0.9988671263686988,13.069337552621848,10.0
exp10,-1900mV,-0.15,-0.00020298140192854915,-0.018696615655468707,0.9217379417566006,0.20298140192854913,10.0
exp11,-1600mV,-0.15,-0.0026964282534689245,-0.27155481512879076,0.9837746690725674,2.6964282534689246,10.0
exp12,-1500mV,-0.15,-0.00891935235093609,-0.1986529378524633,0.9992669176112662,8.919352350936089,10.0
exp13,-1900mV,-0.15,-0.00021927675200146595,-0.016550460634745967,0.9614596608169158,0.21927675200146596,10.0
exp14,-1800mV,-0.15,-0.00012906054368547903,-0.012388354671325305,0.9019104860628794,0.12906054368547903,10.0
exp15,-1800mV,-0.15,-0.0001594313606044639,-0.019915660039444588,0.9014106044042282,0.15943136060446392,10.0
exp16,-1900mV,-0.15,-0.0006763281239377119,-0.026091640769695945,0.9939783892837368,0.6763281239377119,10.0
exp17,-1800mV,-0.15,-0.0001331815285262648,-0.018805608558701052,0.8341807426268277,0.1331815285262648,10.0
exp18,-1700mV,-0.15,-0.004706656419943011,-0.2065511412786245,0.9973290048955996,4.706656419943011,10.0
exp19,-1700mV,-0.15,-0.0011731009540578794,-0.10268499988191859,0.9883780405192264,1.1731009540578794,10.0
exp20,-1900mV,-0.15,-0.0001468703971385602,-0.022604972417149066,0.8431872188419584,0.1468703971385602,10.0
exp21,-1800mV,-0.15,-0.00016412081162116803,-0.022337231182618947,0.9079342185898824,0.16412081162116804,10.0
exp22,-1500mV,-0.15,-0.06905928266183242,-14.775225826377024,0.9690760787460585,69.05928266183243,10.0
exp23,-1800mV,-0.15,-0.0007728803571166445,-0.09008275795252446,0.9823306028497669,0.7728803571166445,10.0
exp24,-1400mV,-0.15,-0.019729225595507355,-0.9306660879199846,0.9987246298489847,19.729225595507355,10.0
exp25,-1900mV,-0.15,-0.00013511431894991697,-0.010566959763831665,0.9183675976917031,0.13511431894991696,10.0
exp26,-1800mV,-0.15,-0.0001637651715568093,-0.02103333576967588,0.895513758292245,0.1637651715568093,10.0
exp27,-1700mV,-0.15,-0.01630018333075995,-2.844657173137298,0.9779281393165238,16.30018333075995,10.0
exp28,-1800mV,-0.15,-0.00017668856154172486,-0.015056851487019546,0.9340763648464864,0.17668856154172485,10.0
exp29,-1700mV,-0.15,-0.001251982308257984,-0.08659343424700106,0.9937477984193863,1.251982308257984,10.0
exp30,-1800mV,-0.15,-0.00013208949166905454,-0.01657323843614579,0.8893352920807284,0.13208949166905454,10.0
exp31,-1900mV,-0.15,-0.00015049591924694622,-0.015252800079208512,0.899126098737743,0.15049591924694622,10.0
exp32,-1900mV,-0.15,-0.00013700391750061364,-0.017404240486667104,0.8814541468974787,0.13700391750061364,10.0
exp33,-1900mV,-0.15,-0.00014963329258901422,-0.015697370731514546,0.9044397109993428,0.14963329258901423,10.0
exp34,-1700mV,-0.15,-0.0010076155405818348,-0.11994799078175455,0.9898536687881041,1.0076155405818348,10.0
exp35,-1700mV,-0.15,-0.001243257016408991,-0.17173278581031004,0.9616158958010877,1.243257016408991,10.0
exp36,-2000mV,-0.15,-0.00012931666385112406,-0.007790042892211538,0.9095262585860181,0.12931666385112406,10.0
exp37,-1900mV,-0.15,-0.0001515530707431833,-0.02681209278508488,0.8824473454027815,0.1515530707431833,10.0
exp38,-1700mV,-0.15,-0.0007236281394644456,-0.031825820137099836,0.987426268875175,0.7236281394644456,10.0
exp39,-1500mV,-0.15,-0.006957485247027506,-0.30614194283967544,0.997684884311003,6.957485247027506,10.0
exp40,-1700mV,-0.15,-0.005997135088899365,-0.7847135829622074,0.980730833449501,5.997135088899365,10.0
exp41,-1600mV,-0.15,-0.009166437624952437,-1.3238115097404615,0.9833012476625879,9.166437624952437,10.0
exp42,-1900mV,-0.15,-0.00012842095763502065,-0.02035566057291835,0.8581525973651636,0.12842095763502065,10.0
exp43,-1600mV,-0.15,-0.0038797665721110493,-0.21036893119789335,0.9991533003230774,3.8797665721110492,10.0
exp44,-1800mV,-0.15,-0.00019050198533367697,-0.019833654257585653,0.9063301727257564,0.19050198533367696,10.0
exp45,-1500mV,-0.15,-0.018595361390334537,-2.7049175611645655,0.978574189189768,18.59536139033454,10.0
exp46,-1900mV,-0.15,-0.0001424272550905716,-0.018783264348908646,0.8948036070789124,0.14242725509057158,10.0
exp47,-1800mV,-0.15,-0.00024517595179490383,-0.03054675021730223,0.916541918105088,0.24517595179490384,10.0
exp48,-1900mV,-0.15,-0.00013323982512121056,-0.016520511164879584,0.8431552654901878,0.13323982512121058,10.0
exp49,-1800mV,-0.15,-0.000501714680281744,-0.056874688917802535,0.9690543309731324,0.501714680281744,10.0
exp50,-1800mV,-0.15,-0.000825242082173952,-0.1515999248601576,0.940451747521268,0.825242082173952,10.0
exp51,-2000mV,-0.15,-0.00010662771843931213,-0.014363056810191323,0.7748444078259921,0.10662771843931214,10.0
exp52,-1500mV,-0.15,-0.012891071269229908,-0.6568428607619667,0.9962887841868779,12.891071269229908,10.0
exp53,-1700mV,-0.15,-0.0006946826489274288,-0.04695001757881673,0.9883448306728215,0.6946826489274288,10.0
exp54,-1800mV,-0.15,-0.00016522459659547805,-0.01588737880220592,0.8949872744219621,0.16522459659547806,10.0
exp55,-1800mV,-0.15,-0.00017958225607182625,-0.010060315883954257,0.91669584324052,0.17958225607182626,10.0
exp56,-1700mV,-0.15,-0.0014336522541115065,-0.14711880308106873,0.9798566550834508,1.4336522541115064,10.0
exp57,-1900mV,-0.15,-0.00011714567150052004,-0.00907407632818874,0.8728072732283086,0.11714567150052005,10.0
exp58,-1800mV,-0.15,-0.00017683612736915948,-0.022241660629773508,0.9268045596411746,0.17683612736915946,10.0
exp59,-1400mV,-0.15,-0.1370612456354766,-27.107719973222636,0.9539858551471071,137.06124563547658,10.0
exp60,-1700mV,-0.15,-0.0016919224644418062,-0.2204151854212104,0.9765609278307913,1.6919224644418063,10.0
exp61,-1800mV,-0.15,-0.00015761455480521624,-0.006639445848911268,0.9429644461063968,0.15761455480521624,10.0
exp62,-1900mV,-0.15,-0.0007886122903891021,-0.09558894092768788,0.981715476992581,0.7886122903891022,10.0
exp63,-1900mV,-0.15,-0.00215762218493238,-0.15213340078119797,0.9929933704916821,2.15762218493238,10.0
exp64,-1700mV,-0.15,-0.0034017797968793066,-0.18214161123387784,0.9973651861218163,3.4017797968793064,10.0
exp65,-1800mV,-0.15,-0.0003486977879985528,-0.033106906099622746,0.9756144762650617,0.3486977879985528,10.0
exp66,-1900mV,-0.15,-0.0002649402327518478,-0.030302435589128138,0.9353331444914115,0.2649402327518478,10.0
exp67,-1500mV,-0.15,-0.052147093142957984,-5.588819205548393,0.9842954646308485,52.147093142957985,10.0
exp68,-1900mV,-0.15,-0.0001416436822649728,-0.01702871534155885,0.8987841632040878,0.1416436822649728,10.0
exp69,-1800mV,-0.15,-0.00038663794877781153,-0.022707746287485592,0.9872462361426959,0.38663794877781155,10.0
exp70,-1900mV,-0.15,-0.0001592200328480503,-0.017081423623411682,0.8604921466670054,0.1592200328480503,10.0
exp71,-1600mV,-0.15,-0.0030431752138138555,-0.20518520112222394,0.9926405907130179,3.0431752138138553,10.0
exp72,-1600mV,-0.15,-0.0029556140338460254,-0.17257958705279908,0.9968589434806322,2.9556140338460253,10.0
exp73,-1900mV,-0.15,-0.00022017509865029846,-0.01292857816393543,0.9707109686500238,0.22017509865029847,10.0
exp74,-2000mV,-0.15,-0.00013097409331204931,-0.016373615392458747,0.8464429396865515,0.13097409331204932,10.0
exp75,-1900mV,-0.15,-0.00013170421365163996,-0.009706121230453175,0.8453401121880513,0.13170421365163995,10.0
exp76,-1900mV,-0.15,-0.00035762761391525106,-0.04708267762097587,0.958688667686189,0.35762761391525105,10.0
exp77,-1600mV,-0.15,-0.0028794164805724487,-0.182142592353572,0.9941123336426977,2.8794164805724485,10.0
exp78,-1600mV,-0.15,-0.0015246488721593736,-0.1411131162454734,0.990168322199512,1.5246488721593736,10.0
exp79,-1700mV,-0.15,-0.002031644698207633,-0.3526488203019964,0.9653559261284625,2.031644698207633,10.0
exp80,-1900mV,-0.15,-0.0001838363937752596,-0.029156870740385157,0.9655267700845533,0.1838363937752596,10.0
exp81,-1700mV,-0.15,-0.0007104511955974767,-0.022855240226427986,0.9964438281856911,0.7104511955974766,10.0
exp82,-1600mV,-0.15,-0.003147195965206118,-0.3615260862351153,0.9899741273077957,3.147195965206118,10.0
exp83,-2000mV,-0.15,-0.00015160485125655232,-0.011717287790441566,0.9224231606060896,0.15160485125655232,10.0
exp84,-1700mV,-0.15,-0.001265568184621691,-0.02199645033426778,0.9963666313700317,1.265568184621691,10.0
exp85,-1700mV,-0.15,-0.0018042001744926319,-0.11089276239585732,0.9947333725965068,1.804200174492632,10.0
exp86,-1900mV,-0.15,-0.0001453251281958816,-0.00045766701776137064,0.964272624606148,0.14532512819588161,10.0
exp87,-1500mV,-0.15,-0.010093183484110322,-0.5133780639094079,0.9960767730033553,10.093183484110321,10.0
exp88,-2000mV,-0.15,-0.0001257480132274177,-0.00691323426214633,0.8498571180115968,0.12574801322741772,10.0
exp89,-1900mV,-0.15,-0.0004375586395912245,-0.050293863388122084,0.9802883831777606,0.4375586395912245,10.0
exp90,-1800mV,-0.15,-0.0003921002897186792,-0.06756725099180586,0.9781062420684531,0.3921002897186792,10.0
exp91,-1600mV,-0.15,-0.0020987632320730713,-0.09964653548944458,0.9986453063496722,2.0987632320730714,10.0
exp95,-1900mV,-0.15,-0.0001410735640100897,-0.02639068288734757,0.847208485535799,0.14107356401008972,10.0
exp96,-1900mV,-0.15,-0.00014326683221763955,-0.02244321426382452,0.9115030836255695,0.14326683221763956,10.0
exp97,-2000mV,-0.15,-0.00016146445943961206,-0.017618301814356682,0.9420032272461694,0.16146445943961205,10.0
exp98,-1700mV,-0.15,-0.0032830946066113365,-0.1962131463671133,0.9979267296581307,3.2830946066113365,10.0
exp99,-1800mV,-0.15,-0.0004419552946509018,-0.06715615551045909,0.9729112470895788,0.4419552946509018,10.0
exp100,-2000mV,-0.15,-0.00014036268175480842,-0.020133604702178676,0.8967375027304371,0.14036268175480843,10.0
exp101,-1900mV,-0.15,-0.00017498305902434151,-0.0359214726482522,0.9144492832638506,0.17498305902434153,10.0
exp102,-1800mV,-0.15,-0.00013778848591403464,-0.03418793226195137,0.8400554477695814,0.13778848591403464,10.0
exp103,-1900mV,-0.15,-0.00029412794682092037,-0.03209308663629265,0.9771749483792403,0.29412794682092036,10.0
exp104,-1800mV,-0.15,-0.0013000609620756102,-0.1086021327529254,0.9931467368920308,1.30006096207561,10.0
exp105,-1900mV,-0.15,-0.00020766214855983883,-0.0540601065446617,0.9065948186231154,0.20766214855983883,10.0
exp106,-1900mV,-0.15,-0.0002616357131134828,-0.042185728831694747,0.9576628357745904,0.26163571311348277,10.0
exp107,-1500mV,-0.15,-0.005521180994735662,-0.4654762557862089,0.9997244026269246,5.521180994735662,10.0
exp108,-1500mV,-0.15,-0.008100664392463772,-0.15927832582596313,0.999859329076793,8.100664392463772,10.0
exp109,-1700mV,-0.15,-0.0011942109062330337,-0.107124376600503,0.9929563964224041,1.1942109062330337,10.0
exp110,-1900mV,-0.15,-0.00015959495168831454,-0.028198604806019198,0.924653206974717,0.15959495168831456,10.0
exp111,-2000mV,-0.15,-0.00015363888599850427,-0.03591513651397528,0.8623680032093689,0.15363888599850425,10.0
exp112,-1500mV,-0.15,-0.002535695799746386,-0.3198698012390109,0.9995728158684376,2.535695799746386,10.0
exp113,-1800mV,-0.15,-0.00016149770899825496,-0.026847321311882666,0.9234845299990171,0.16149770899825497,10.0
exp114,-1900mV,-0.15,-0.0001689774309655016,-0.03170497151008768,0.9125506742813041,0.1689774309655016,10.0
exp115,-1700mV,-0.15,-0.0032879170133624886,-0.27557705773255914,0.9954760221595196,3.2879170133624886,10.0
exp116,-1700mV,-0.15,-0.0014457230013486617,-0.22130895381289162,0.9804596394192618,1.4457230013486617,10.0
exp117,-1500mV,-0.15,-0.008392338346430873,-0.5427637064430852,0.9978526394153433,8.392338346430872,10.0
exp118,-1800mV,-0.15,-0.00017437386055663557,-0.05332515294722455,0.8851553331493385,0.17437386055663556,10.0
exp119,-1700mV,-0.15,-0.0032971965971466673,-0.28455268882719764,0.9944003431242167,3.2971965971466672,10.0
exp120,-1800mV,-0.15,-0.00018136247107992907,-0.02580862255206809,0.96865638282198,0.18136247107992906,10.0
exp121,-2000mV,-0.15,-0.00015909674182077019,-0.02975030889920509,0.9199157290526265,0.1590967418207702,10.0
exp122,-2000mV,-0.15,-0.00015761782821838797,-0.023087936498489184,0.9502311074652926,0.15761782821838796,10.0
exp123,-1800mV,-0.15,-0.00017609068438145318,-0.027980365807376256,0.9521059727923676,0.17609068438145317,10.0
exp124,-1400mV,-0.15,-0.018305283903481483,-0.3247249828134695,0.999994372038493,18.30528390348148,10.0
exp125,-1800mV,-0.15,-0.00021980809387413993,-0.04984584615728016,0.9283323118472967,0.21980809387413994,10.0
exp126,-1800mV,-0.15,-0.00019635117679623712,-0.02802735194598456,0.9564599807414471,0.19635117679623712,10.0
exp127,-1400mV,-0.15,-0.02904229404535011,-2.2565721299607837,0.994551162397689,29.042294045350108,10.0
exp128,-1400mV,-0.15,-0.012811865973721998,-0.530352162533072,0.999878340343214,12.811865973721998,10.0
exp129,-1800mV,-0.15,-0.0001676686172944795,-0.022735477160884865,0.9206436139525224,0.1676686172944795,10.0
exp130,-1800mV,-0.15,-0.00022655050213113886,-0.03760237438055146,0.937166037378679,0.22655050213113886,10.0
exp131,-1800mV,-0.15,-0.00024029195604622364,-0.04421270945868995,0.9188724837183215,0.24029195604622364,10.0
exp132,-1600mV,-0.15,-0.002585700622107923,-0.2279622745932095,0.9959745945902715,2.585700622107923,10.0
exp133,-1700mV,-0.15,-0.0005376964809400496,-0.06287337498964918,0.9868148696135957,0.5376964809400495,10.0
exp134,-1800mV,-0.15,-0.0005828299490766957,-0.07342493750410023,0.9839111631885861,0.5828299490766957,10.0
exp135,-2000mV,-0.15,-0.00014550394788503222,-0.027399935396749744,0.933451740226636,0.1455039478850322,10.0
exp136,-1800mV,-0.15,-0.00019572227455146875,-0.0430857763894153,0.8889895410000521,0.19572227455146876,10.0
exp137,-1600mV,-0.15,-0.00889308085917124,-0.588434828171728,0.9962029507032149,8.89308085917124,10.0
exp138,-1800mV,-0.15,-0.0009139029300304097,-0.04271647660700828,0.9932635506553777,0.9139029300304098,10.0
exp139,-1600mV,-0.15,-0.003795848556320937,-0.31883731518228986,0.995891105771587,3.7958485563209368,10.0
exp140,-1600mV,-0.15,-0.002648080212215487,-0.18370225617588343,0.9972227659143535,2.648080212215487,10.0
exp141,-1700mV,-0.15,-0.0011303701531033476,-0.11078591529634119,0.9898901173866439,1.1303701531033477,10.0
exp142,-1800mV,-0.15,-0.00015814750625674524,-0.024685208854081944,0.9378545086135476,0.15814750625674523,10.0
exp143,-1900mV,-0.15,-0.00015813718867545225,-0.024162357509850546,0.9295359409668247,0.15813718867545226,10.0
exp144,-1700mV,-0.15,-0.0002204516993504435,-0.03799127756741397,0.9619485059429692,0.2204516993504435,10.0
exp145,-1900mV,-0.15,-0.0001657938829332002,-0.027794842403154954,0.944812803160845,0.16579388293320022,10.0
exp146,-1800mV,-0.15,-0.00015281677099346583,-0.028970331402546318,0.8701700483970872,0.15281677099346583,10.0
exp147,-1800mV,-0.15,-0.0001887427518188874,-0.040185415670949465,0.8867678012802394,0.18874275181888742,10.0
exp148,-1900mV,-0.15,-0.00013706513394393859,-0.03269406042733937,0.8397309020348283,0.13706513394393857,10.0
exp149,-1800mV,-0.15,-0.00017516788027239133,-0.03230074220185626,0.8773702027003497,0.17516788027239133,10.0
exp150,-1500mV,-0.15,-0.01318595570002605,-0.8712751149946643,0.9978265995382636,13.18595570002605,10.0
exp151,-1700mV,-0.15,-0.0007718961086912989,-0.056415676816590876,0.9866474003650207,0.7718961086912989,10.0
exp152,-1800mV,-0.15,-0.00014596652999597065,-0.020590398206923446,0.9083755660443542,0.14596652999597065,10.0
exp153,-1400mV,-0.15,-0.014295966489168732,-0.9840529248118006,0.9997514106770792,14.295966489168732,10.0
exp154,-1600mV,-0.15,-0.0013123749998689962,-0.11231313887072591,0.9967965219959615,1.3123749998689962,10.0
exp155,-1700mV,-0.15,-0.0004354992648334515,-0.033714206530239876,0.9861260543555518,0.4354992648334515,10.0
exp156,-1500mV,-0.15,-0.03215795130763728,-4.116254125774461,0.980956392496373,32.15795130763728,10.0
exp157,-1400mV,-0.15,-0.021786959125407877,-2.761360427656271,0.9907542964679408,21.786959125407876,10.0
exp158,-1800mV,-0.15,-0.00024095836690379223,-0.0752952871193924,0.9298997956400371,0.24095836690379221,10.0
exp159,-1700mV,-0.15,-0.0033120205470951103,-0.19368198415418303,0.9964170518662281,3.31202054709511,10.0
exp160,-1700mV,-0.15,-0.0014466843177966535,-0.14744662365475925,0.989729997561321,1.4466843177966535,10.0
exp161,-1500mV,-0.15,-0.004372880766202864,-0.3132841144194958,0.997535306571236,4.372880766202864,10.0
exp162,-1500mV,-0.15,-0.00851812458263473,-2.5453732569546186,0.9539892986718583,8.51812458263473,10.0
exp163,-1800mV,-0.15,-0.0001758197777925561,-0.025794677992814388,0.9416559775845401,0.17581977779255611,10.0
exp164,-1700mV,-0.15,-0.00313003288122732,-0.10094050576897406,0.9983253823510565,3.13003288122732,10.0
exp165,-1600mV,-0.15,-0.00023795618585482044,-0.04178935331065141,0.9743076664917552,0.23795618585482042,10.0
exp166,-1900mV,-0.15,-0.00014534981714609663,-0.03466457919842986,0.8935414621843585,0.14534981714609663,10.0
exp167,-1800mV,-0.15,-0.00024194143979401627,-0.08890371160301878,0.9069822011912151,0.24194143979401628,10.0
exp168,-1500mV,-0.15,-0.002963446081772856,-0.3098887123527523,0.9922334933691044,2.9634460817728563,10.0
exp169,-1400mV,-0.15,-0.007246006867940942,-0.7944784457276493,0.9998242421324601,7.246006867940943,10.0
exp170,-1500mV,-0.15,-0.01081498926382421,-0.8724622698237026,0.9927726236631134,10.81498926382421,10.0
exp171,-1500mV,-0.15,-0.00826820229025329,-0.4705988399506613,0.9951406808529584,8.26820229025329,10.0
exp172,-1900mV,-0.15,-0.00014411680740494172,-0.025511624961262816,0.8872303630072493,0.14411680740494173,10.0
exp173,-1600mV,-0.15,-0.004414037245316441,-0.11991039174317963,0.99937117159861,4.4140372453164405,10.0
exp174,-1600mV,-0.15,-0.004674827992830729,-0.29508472389484686,0.9952791561055992,4.674827992830729,10.0
exp175,-1800mV,-0.15,-0.0001379566869040562,-0.029514862327101155,0.894879016913268,0.1379566869040562,10.0
exp176,-1900mV,-0.15,-0.00010680712227899666,-0.021961626914955158,0.8631405463794466,0.10680712227899666,10.0
exp177,-1900mV,-0.15,-0.00040362458493562137,-0.0357627749553914,0.9800780724005514,0.40362458493562137,10.0
exp178,-1700mV,-0.15,-0.0026353764754883865,-0.24377624665293296,0.9900540753628573,2.6353764754883864,10.0
exp179,-1900mV,-0.15,-0.00014906227459764154,-0.018485513511369595,0.904806268366095,0.14906227459764154,10.0
exp181,-1500mV,-0.15,-0.013411528229280847,-0.6580657789862805,0.9993004713011985,13.411528229280847,10.0
exp182,-1800mV,-0.15,-0.0016179310288788548,-0.20549444371978653,0.9899176645825394,1.6179310288788549,10.0
exp183,-1900mV,-0.15,-0.00014300431081115572,-0.018312260433120786,0.8945403664203453,0.14300431081115572,10.0
exp184,-1500mV,-0.15,-0.012241044296712293,-0.47682923484507,0.9993849522612626,12.241044296712293,10.0
exp185,-1800mV,-0.15,-0.0001477720162963061,-0.02138945373426579,0.8901353788234931,0.1477720162963061,10.0
exp186,-1800mV,-0.15,-0.0005029355820112028,-0.06412032115174432,0.972680796931592,0.5029355820112028,10.0
exp187,-1800mV,-0.15,-0.00014897878447663336,-0.023915390693603947,0.8716563941413045,0.14897878447663337,10.0
exp188,-1500mV,-0.15,-0.010632531293484035,-0.3468364773440511,0.9992037504549062,10.632531293484034,10.0
exp189,-1900mV,-0.15,-0.00015203641099576404,-0.022876631800647487,0.8518054461269978,0.15203641099576404,10.0
exp190,-1400mV,-0.15,-0.014752746249195012,-0.7262887280937091,0.9995666281489968,14.752746249195013,10.0
exp191,-1800mV,-0.15,-0.00013976206469345907,-0.017830837659168763,0.8775965350068227,0.13976206469345906,10.0
exp192,-1800mV,-0.15,-0.0008026764829491452,-0.03049760561536663,0.9974551664052709,0.8026764829491452,10.0
exp193,-1900mV,-0.15,-0.00014545212035026119,-0.01851670678781564,0.9092428423048494,0.1454521203502612,10.0
exp194,-1800mV,-0.15,-0.00014237546915165698,-0.02497707613836314,0.8950746892329727,0.14237546915165697,10.0
exp195,-1900mV,-0.15,-0.0005240750129900478,-0.13369515508473528,0.9218798049632315,0.5240750129900478,10.0
exp196,-1400mV,-0.15,-0.017774035621486488,-0.6848047720243997,0.9993229277102009,17.774035621486487,10.0
exp197,-1900mV,-0.15,-0.00019974142007233276,-0.039652924034505155,0.8834205318352017,0.19974142007233275,10.0
exp198,-1700mV,-0.15,-0.004489218322417327,-0.28238748425991256,0.9948015739802658,4.489218322417327,10.0
exp199,-1900mV,-0.15,-0.00025125285345212043,-0.020584840638594587,0.9677966151325482,0.25125285345212045,10.0
exp200,-1900mV,-0.15,-0.00014230345406190123,-0.010898663672567505,0.8982791614076673,0.14230345406190123,10.0
exp201,-1600mV,-0.15,-0.0036576917119568453,-0.26007311949595513,0.9957505476657709,3.6576917119568453,10.0
exp202,-1900mV,-0.15,-0.0002317285986808197,-0.049180539398466894,0.9405958491938904,0.23172859868081971,10.0
exp203,-1600mV,-0.15,-0.008566271245680138,-0.3516951086619491,0.9986693879022257,8.566271245680138,10.0
exp204,-1800mV,-0.15,-0.00021407619368847422,-0.037613397735043186,0.9094185113468493,0.21407619368847422,10.0
exp205,-1900mV,-0.15,-0.0001742289351619238,-0.018338367711672465,0.9164925056688513,0.1742289351619238,10.0
exp206,-1800mV,-0.15,-0.0009043413896272424,-0.06588136453848487,0.9935023061547387,0.9043413896272424,10.0
exp207,-1400mV,-0.15,-0.022893491234863398,-1.468748207676299,0.9989492600159852,22.893491234863397,10.0
exp208,-1700mV,-0.15,-0.00027212943477890225,-0.03952056149315576,0.9614324284069881,0.2721294347789022,10.0
exp209,-1500mV,-0.15,-0.03159411131453625,-6.306697522437933,0.9395410790845818,31.594111314536253,10.0
exp210,-1600mV,-0.15,-0.004747854675766112,-0.46403821915685883,0.9940006759172108,4.747854675766112,10.0
exp211,-1800mV,-0.15,-0.00025975567075901964,-0.11101802606148935,0.9304232123247035,0.2597556707590196,10.0
exp212,-1500mV,-0.15,-0.004084918790430684,-0.2819573740459258,0.9987884067942775,4.0849187904306845,10.0
