June 26, 2026   07:32:22
Amperometric i-t Curve
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp13\exp13deposition-2026-06-26t07_28_36-deposition\exp13deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 60
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.6

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 2.258e-3
2.000e-1, 2.293e-3
3.000e-1, 2.317e-3
4.000e-1, 2.288e-3
5.000e-1, 2.234e-3
6.000e-1, 2.247e-3
7.000e-1, 2.354e-3
8.000e-1, 2.340e-3
9.000e-1, 2.398e-3
1.000e+0, 2.492e-3
1.100e+0, 2.449e-3
1.200e+0, 2.406e-3
1.300e+0, 2.351e-3
1.400e+0, 2.289e-3
1.500e+0, 2.324e-3
1.600e+0, 2.327e-3
1.700e+0, 2.265e-3
1.800e+0, 2.197e-3
1.900e+0, 2.145e-3
2.000e+0, 2.148e-3
2.100e+0, 2.206e-3
2.200e+0, 2.255e-3
2.300e+0, 2.252e-3
2.400e+0, 2.239e-3
2.500e+0, 2.182e-3
2.600e+0, 2.102e-3
2.700e+0, 2.059e-3
2.800e+0, 2.044e-3
2.900e+0, 1.982e-3
3.000e+0, 1.912e-3
3.100e+0, 1.866e-3
3.200e+0, 1.853e-3
3.300e+0, 1.871e-3
3.400e+0, 1.852e-3
3.500e+0, 1.817e-3
3.600e+0, 1.798e-3
3.700e+0, 1.780e-3
3.800e+0, 1.786e-3
3.900e+0, 1.923e-3
4.000e+0, 2.037e-3
4.100e+0, 2.079e-3
4.200e+0, 2.100e-3
4.300e+0, 2.155e-3
4.400e+0, 2.163e-3
4.500e+0, 2.122e-3
4.600e+0, 2.108e-3
4.700e+0, 2.148e-3
4.800e+0, 2.177e-3
4.900e+0, 2.145e-3
5.000e+0, 2.124e-3
5.100e+0, 2.088e-3
5.200e+0, 2.061e-3
5.300e+0, 2.058e-3
5.400e+0, 2.042e-3
5.500e+0, 2.014e-3
5.600e+0, 1.975e-3
5.700e+0, 1.949e-3
5.800e+0, 1.911e-3
5.900e+0, 1.869e-3
6.000e+0, 1.814e-3
6.100e+0, 1.780e-3
6.200e+0, 1.776e-3
6.300e+0, 1.792e-3
6.400e+0, 1.797e-3
6.500e+0, 1.799e-3
6.600e+0, 1.855e-3
6.700e+0, 1.923e-3
6.800e+0, 2.012e-3
6.900e+0, 2.057e-3
7.000e+0, 2.043e-3
7.100e+0, 2.026e-3
7.200e+0, 2.063e-3
7.300e+0, 2.163e-3
7.400e+0, 2.232e-3
7.500e+0, 2.240e-3
7.600e+0, 2.235e-3
