June 27, 2026   19:19:25
Open Circuit Potential - Time
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp26\exp26deposition-2026-06-27t19_18_01-deposition\ocp_2026-06-27t19_19_06.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, 6.014e-2
2.000e-2, 5.798e-2
3.000e-2, 5.582e-2
4.000e-2, 5.397e-2
5.000e-2, 5.212e-2
6.000e-2, 5.058e-2
7.000e-2, 4.873e-2
8.000e-2, 4.750e-2
9.000e-2, 4.595e-2
1.000e-1, 4.472e-2
1.100e-1, 4.349e-2
1.200e-1, 4.256e-2
1.300e-1, 4.133e-2
1.400e-1, 4.040e-2
1.500e-1, 3.948e-2
1.600e-1, 3.855e-2
1.700e-1, 3.763e-2
1.800e-1, 3.670e-2
1.900e-1, 3.578e-2
2.000e-1, 3.516e-2
2.100e-1, 3.424e-2
2.200e-1, 3.362e-2
2.300e-1, 3.300e-2
2.400e-1, 3.239e-2
2.500e-1, 3.177e-2
2.600e-1, 3.115e-2
2.700e-1, 3.054e-2
2.800e-1, 2.992e-2
2.900e-1, 2.961e-2
3.000e-1, 2.900e-2
3.100e-1, 2.869e-2
3.200e-1, 2.807e-2
3.300e-1, 2.776e-2
3.400e-1, 2.715e-2
3.500e-1, 2.684e-2
3.600e-1, 2.653e-2
3.700e-1, 2.591e-2
3.800e-1, 2.561e-2
3.900e-1, 2.530e-2
4.000e-1, 2.499e-2
4.100e-1, 2.468e-2
4.200e-1, 2.437e-2
4.300e-1, 2.406e-2
4.400e-1, 2.376e-2
4.500e-1, 2.345e-2
4.600e-1, 2.314e-2
4.700e-1, 2.283e-2
4.800e-1, 2.252e-2
4.900e-1, 2.221e-2
5.000e-1, 2.191e-2
5.100e-1, 2.191e-2
5.200e-1, 2.160e-2
5.300e-1, 2.129e-2
5.400e-1, 2.098e-2
5.500e-1, 2.098e-2
5.600e-1, 2.067e-2
5.700e-1, 2.036e-2
5.800e-1, 2.036e-2
5.900e-1, 2.006e-2
6.000e-1, 1.975e-2
6.100e-1, 1.975e-2
6.200e-1, 1.944e-2
6.300e-1, 1.944e-2
6.400e-1, 1.913e-2
6.500e-1, 1.882e-2
6.600e-1, 1.882e-2
6.700e-1, 1.851e-2
6.800e-1, 1.851e-2
6.900e-1, 1.821e-2
7.000e-1, 1.821e-2
7.100e-1, 1.821e-2
7.200e-1, 1.790e-2
7.300e-1, 1.790e-2
7.400e-1, 1.759e-2
7.500e-1, 1.759e-2
7.600e-1, 1.728e-2
7.700e-1, 1.728e-2
7.800e-1, 1.728e-2
7.900e-1, 1.697e-2
8.000e-1, 1.697e-2
8.100e-1, 1.697e-2
8.200e-1, 1.666e-2
8.300e-1, 1.666e-2
8.400e-1, 1.636e-2
8.500e-1, 1.636e-2
8.600e-1, 1.636e-2
8.700e-1, 1.605e-2
8.800e-1, 1.605e-2
8.900e-1, 1.605e-2
9.000e-1, 1.605e-2
9.100e-1, 1.574e-2
9.200e-1, 1.574e-2
9.300e-1, 1.574e-2
9.400e-1, 1.543e-2
9.500e-1, 1.543e-2
9.600e-1, 1.543e-2
9.700e-1, 1.543e-2
9.800e-1, 1.512e-2
9.900e-1, 1.512e-2
1.000e+0, 1.512e-2
1.010e+0, 1.512e-2
1.020e+0, 1.481e-2
1.030e+0, 1.481e-2
1.040e+0, 1.481e-2
1.050e+0, 1.481e-2
1.060e+0, 1.451e-2
1.070e+0, 1.451e-2
1.080e+0, 1.451e-2
1.090e+0, 1.451e-2
1.100e+0, 1.451e-2
1.110e+0, 1.420e-2
1.120e+0, 1.420e-2
1.130e+0, 1.420e-2
1.140e+0, 1.420e-2
1.150e+0, 1.420e-2
1.160e+0, 1.420e-2
1.170e+0, 1.389e-2
1.180e+0, 1.389e-2
1.190e+0, 1.389e-2
1.200e+0, 1.389e-2
1.210e+0, 1.389e-2
1.220e+0, 1.389e-2
1.230e+0, 1.358e-2
1.240e+0, 1.358e-2
1.250e+0, 1.358e-2
1.260e+0, 1.358e-2
1.270e+0, 1.358e-2
1.280e+0, 1.358e-2
1.290e+0, 1.327e-2
1.300e+0, 1.327e-2
1.310e+0, 1.327e-2
1.320e+0, 1.327e-2
1.330e+0, 1.327e-2
1.340e+0, 1.327e-2
1.350e+0, 1.327e-2
1.360e+0, 1.296e-2
1.370e+0, 1.296e-2
1.380e+0, 1.296e-2
1.390e+0, 1.296e-2
1.400e+0, 1.296e-2
1.410e+0, 1.296e-2
1.420e+0, 1.296e-2
1.430e+0, 1.296e-2
1.440e+0, 1.266e-2
1.450e+0, 1.266e-2
1.460e+0, 1.266e-2
1.470e+0, 1.266e-2
1.480e+0, 1.266e-2
1.490e+0, 1.266e-2
1.500e+0, 1.266e-2
1.510e+0, 1.266e-2
1.520e+0, 1.235e-2
1.530e+0, 1.235e-2
1.540e+0, 1.235e-2
1.550e+0, 1.235e-2
1.560e+0, 1.235e-2
1.570e+0, 1.235e-2
1.580e+0, 1.235e-2
1.590e+0, 1.235e-2
1.600e+0, 1.235e-2
1.610e+0, 1.235e-2
1.620e+0, 1.204e-2
1.630e+0, 1.204e-2
1.640e+0, 1.204e-2
1.650e+0, 1.204e-2
1.660e+0, 1.204e-2
1.670e+0, 1.204e-2
1.680e+0, 1.204e-2
1.690e+0, 1.204e-2
1.700e+0, 1.204e-2
1.710e+0, 1.204e-2
1.720e+0, 1.204e-2
1.730e+0, 1.173e-2
1.740e+0, 1.173e-2
1.750e+0, 1.173e-2
1.760e+0, 1.173e-2
1.770e+0, 1.173e-2
1.780e+0, 1.173e-2
1.790e+0, 1.173e-2
1.800e+0, 1.173e-2
1.810e+0, 1.173e-2
1.820e+0, 1.173e-2
1.830e+0, 1.173e-2
1.840e+0, 1.173e-2
1.850e+0, 1.173e-2
1.860e+0, 1.173e-2
1.870e+0, 1.173e-2
1.880e+0, 1.142e-2
1.890e+0, 1.142e-2
1.900e+0, 1.142e-2
1.910e+0, 1.142e-2
1.920e+0, 1.142e-2
1.930e+0, 1.142e-2
1.940e+0, 1.142e-2
1.950e+0, 1.142e-2
1.960e+0, 1.142e-2
1.970e+0, 1.142e-2
1.980e+0, 1.142e-2
1.990e+0, 1.142e-2
2.000e+0, 1.142e-2
2.010e+0, 1.142e-2
2.020e+0, 1.142e-2
2.030e+0, 1.142e-2
2.040e+0, 1.142e-2
2.050e+0, 1.111e-2
2.060e+0, 1.142e-2
2.070e+0, 1.111e-2
2.080e+0, 1.111e-2
2.090e+0, 1.111e-2
2.100e+0, 1.111e-2
2.110e+0, 1.111e-2
2.120e+0, 1.111e-2
2.130e+0, 1.111e-2
2.140e+0, 1.111e-2
2.150e+0, 1.111e-2
2.160e+0, 1.111e-2
2.170e+0, 1.111e-2
2.180e+0, 1.111e-2
2.190e+0, 1.111e-2
2.200e+0, 1.111e-2
2.210e+0, 1.111e-2
2.220e+0, 1.111e-2
2.230e+0, 1.081e-2
2.240e+0, 1.081e-2
2.250e+0, 1.081e-2
2.260e+0, 1.081e-2
2.270e+0, 1.081e-2
2.280e+0, 1.081e-2
2.290e+0, 1.081e-2
2.300e+0, 1.081e-2
2.310e+0, 1.081e-2
2.320e+0, 1.081e-2
2.330e+0, 1.081e-2
2.340e+0, 1.081e-2
2.350e+0, 1.050e-2
2.360e+0, 1.050e-2
2.370e+0, 1.050e-2
2.380e+0, 1.050e-2
2.390e+0, 1.050e-2
2.400e+0, 1.050e-2
2.410e+0, 1.050e-2
2.420e+0, 1.050e-2
2.430e+0, 1.050e-2
2.440e+0, 1.050e-2
2.450e+0, 1.050e-2
2.460e+0, 1.050e-2
2.470e+0, 1.050e-2
2.480e+0, 1.050e-2
2.490e+0, 1.050e-2
2.500e+0, 1.019e-2
2.510e+0, 1.019e-2
2.520e+0, 1.019e-2
2.530e+0, 1.019e-2
2.540e+0, 1.019e-2
2.550e+0, 1.019e-2
2.560e+0, 1.019e-2
2.570e+0, 1.019e-2
2.580e+0, 1.019e-2
2.590e+0, 1.019e-2
2.600e+0, 1.019e-2
2.610e+0, 1.019e-2
2.620e+0, 1.019e-2
2.630e+0, 1.019e-2
2.640e+0, 9.882e-3
2.650e+0, 9.882e-3
2.660e+0, 9.882e-3
2.670e+0, 9.882e-3
2.680e+0, 9.882e-3
2.690e+0, 9.882e-3
2.700e+0, 9.882e-3
2.710e+0, 9.882e-3
2.720e+0, 9.882e-3
2.730e+0, 9.882e-3
2.740e+0, 9.882e-3
2.750e+0, 9.882e-3
2.760e+0, 9.882e-3
2.770e+0, 9.882e-3
2.780e+0, 9.573e-3
2.790e+0, 9.573e-3
2.800e+0, 9.573e-3
2.810e+0, 9.573e-3
2.820e+0, 9.573e-3
2.830e+0, 9.573e-3
2.840e+0, 9.573e-3
2.850e+0, 9.573e-3
2.860e+0, 9.573e-3
2.870e+0, 9.265e-3
2.880e+0, 9.573e-3
2.890e+0, 9.265e-3
2.900e+0, 9.265e-3
2.910e+0, 9.265e-3
2.920e+0, 9.265e-3
2.930e+0, 9.265e-3
2.940e+0, 9.265e-3
2.950e+0, 9.265e-3
2.960e+0, 9.265e-3
2.970e+0, 9.265e-3
2.980e+0, 9.265e-3
2.990e+0, 9.265e-3
3.000e+0, 8.957e-3
3.010e+0, 8.957e-3
3.020e+0, 8.957e-3
3.030e+0, 8.957e-3
3.040e+0, 8.957e-3
3.050e+0, 8.957e-3
3.060e+0, 8.957e-3
3.070e+0, 8.957e-3
3.080e+0, 8.957e-3
3.090e+0, 8.957e-3
3.100e+0, 8.957e-3
3.110e+0, 8.957e-3
3.120e+0, 8.957e-3
3.130e+0, 8.648e-3
3.140e+0, 8.648e-3
3.150e+0, 8.648e-3
3.160e+0, 8.648e-3
3.170e+0, 8.648e-3
3.180e+0, 8.648e-3
3.190e+0, 8.648e-3
3.200e+0, 8.648e-3
3.210e+0, 8.648e-3
3.220e+0, 8.648e-3
3.230e+0, 8.648e-3
3.240e+0, 8.648e-3
3.250e+0, 8.648e-3
3.260e+0, 8.648e-3
3.270e+0, 8.648e-3
3.280e+0, 8.648e-3
3.290e+0, 8.340e-3
3.300e+0, 8.340e-3
3.310e+0, 8.340e-3
3.320e+0, 8.340e-3
3.330e+0, 8.340e-3
3.340e+0, 8.340e-3
3.350e+0, 8.340e-3
3.360e+0, 8.340e-3
3.370e+0, 8.340e-3
3.380e+0, 8.340e-3
3.390e+0, 8.340e-3
