June 25, 2026   11:33:02
Open Circuit Potential - Time
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp5\exp5-2026-06-25t11_32_13-arkoh\ocp_2026-06-25t11_32_43.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: OCP
Note: 

Sample Interval (V) = 0.01
Run Time (sec) = 5

Time/sec, Potential/V

1.000e-2, -7.257e-1
2.000e-2, -7.227e-1
3.000e-2, -7.196e-1
4.000e-2, -7.165e-1
5.000e-2, -7.137e-1
6.000e-2, -7.113e-1
7.000e-2, -7.091e-1
8.000e-2, -7.069e-1
9.000e-2, -7.048e-1
1.000e-1, -7.026e-1
1.100e-1, -7.005e-1
1.200e-1, -6.986e-1
1.300e-1, -6.968e-1
1.400e-1, -6.949e-1
1.500e-1, -6.931e-1
1.600e-1, -6.915e-1
1.700e-1, -6.900e-1
1.800e-1, -6.884e-1
1.900e-1, -6.869e-1
2.000e-1, -6.854e-1
2.100e-1, -6.835e-1
2.200e-1, -6.823e-1
2.300e-1, -6.810e-1
2.400e-1, -6.798e-1
2.500e-1, -6.786e-1
2.600e-1, -6.770e-1
2.700e-1, -6.755e-1
2.800e-1, -6.743e-1
2.900e-1, -6.730e-1
3.000e-1, -6.718e-1
3.100e-1, -6.709e-1
3.200e-1, -6.696e-1
3.300e-1, -6.687e-1
3.400e-1, -6.675e-1
3.500e-1, -6.662e-1
3.600e-1, -6.653e-1
3.700e-1, -6.644e-1
3.800e-1, -6.635e-1
3.900e-1, -6.625e-1
4.000e-1, -6.616e-1
4.100e-1, -6.604e-1
4.200e-1, -6.595e-1
4.300e-1, -6.582e-1
4.400e-1, -6.576e-1
4.500e-1, -6.567e-1
4.600e-1, -6.558e-1
4.700e-1, -6.551e-1
4.800e-1, -6.542e-1
4.900e-1, -6.533e-1
5.000e-1, -6.524e-1
5.100e-1, -6.514e-1
5.200e-1, -6.508e-1
5.300e-1, -6.499e-1
5.400e-1, -6.493e-1
5.500e-1, -6.487e-1
5.600e-1, -6.477e-1
5.700e-1, -6.468e-1
5.800e-1, -6.462e-1
5.900e-1, -6.453e-1
6.000e-1, -6.447e-1
6.100e-1, -6.444e-1
6.200e-1, -6.434e-1
