July 1, 2026   09:48:43
Amperometric i-t Curve
File: c:/users/guazh/data/20260623_doe_duplica2/2026-06-24-exp58\exp58deposition-2026-07-01t09_44_24-deposition\exp58deposition_it_edep_-120mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.2
Sample Interval (s) = 0.1
Run Time (sec) = 90
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 28.1

Results:

Channel 1:

Time/sec, Current/A

1.000e-1, 1.111e-3
2.000e-1, 1.115e-3
3.000e-1, 1.117e-3
4.000e-1, 1.124e-3
5.000e-1, 1.141e-3
6.000e-1, 1.154e-3
7.000e-1, 1.176e-3
8.000e-1, 1.207e-3
9.000e-1, 1.226e-3
1.000e+0, 1.234e-3
1.100e+0, 1.243e-3
1.200e+0, 1.240e-3
1.300e+0, 1.235e-3
1.400e+0, 1.235e-3
1.500e+0, 1.235e-3
1.600e+0, 1.235e-3
1.700e+0, 1.240e-3
1.800e+0, 1.256e-3
1.900e+0, 1.253e-3
2.000e+0, 1.235e-3
2.100e+0, 1.212e-3
2.200e+0, 1.191e-3
2.300e+0, 1.177e-3
2.400e+0, 1.155e-3
2.500e+0, 1.135e-3
2.600e+0, 1.114e-3
2.700e+0, 1.097e-3
2.800e+0, 1.081e-3
2.900e+0, 1.068e-3
3.000e+0, 1.054e-3
3.100e+0, 1.039e-3
3.200e+0, 1.028e-3
3.300e+0, 1.023e-3
3.400e+0, 1.018e-3
3.500e+0, 1.026e-3
3.600e+0, 1.033e-3
3.700e+0, 1.041e-3
3.800e+0, 1.051e-3
3.900e+0, 1.062e-3
4.000e+0, 1.076e-3
4.100e+0, 1.105e-3
4.200e+0, 1.137e-3
4.300e+0, 1.146e-3
4.400e+0, 1.145e-3
4.500e+0, 1.141e-3
4.600e+0, 1.131e-3
4.700e+0, 1.115e-3
4.800e+0, 1.094e-3
4.900e+0, 1.070e-3
5.000e+0, 1.051e-3
5.100e+0, 1.036e-3
5.200e+0, 1.022e-3
5.300e+0, 1.010e-3
5.400e+0, 1.006e-3
5.500e+0, 1.012e-3
5.600e+0, 1.023e-3
5.700e+0, 1.038e-3
5.800e+0, 1.050e-3
5.900e+0, 1.052e-3
6.000e+0, 1.047e-3
6.100e+0, 1.045e-3
6.200e+0, 1.042e-3
6.300e+0, 1.043e-3
6.400e+0, 1.047e-3
6.500e+0, 1.050e-3
6.600e+0, 1.041e-3
6.700e+0, 1.029e-3
6.800e+0, 1.020e-3
6.900e+0, 1.011e-3
7.000e+0, 1.003e-3
7.100e+0, 9.956e-4
7.200e+0, 9.942e-4
7.300e+0, 9.932e-4
7.400e+0, 9.929e-4
7.500e+0, 9.875e-4
7.600e+0, 9.867e-4
7.700e+0, 9.885e-4
7.800e+0, 9.902e-4
7.900e+0, 9.888e-4
8.000e+0, 9.860e-4
8.100e+0, 9.797e-4
8.200e+0, 9.739e-4
8.300e+0, 9.699e-4
8.400e+0, 9.688e-4
8.500e+0, 9.705e-4
8.600e+0, 9.648e-4
8.700e+0, 9.582e-4
8.800e+0, 9.532e-4
8.900e+0, 9.519e-4
9.000e+0, 9.501e-4
9.100e+0, 9.489e-4
9.200e+0, 9.467e-4
9.300e+0, 9.487e-4
9.400e+0, 9.573e-4
9.500e+0, 9.585e-4
9.600e+0, 9.640e-4
9.700e+0, 9.625e-4
9.800e+0, 9.568e-4
9.900e+0, 9.493e-4
1.000e+1, 9.424e-4
1.010e+1, 9.374e-4
1.020e+1, 9.283e-4
1.030e+1, 9.187e-4
1.040e+1, 9.119e-4
1.050e+1, 9.048e-4
1.060e+1, 8.994e-4
1.070e+1, 8.970e-4
1.080e+1, 8.952e-4
1.090e+1, 8.940e-4
1.100e+1, 8.971e-4
1.110e+1, 9.035e-4
1.120e+1, 9.093e-4
1.130e+1, 9.121e-4
1.140e+1, 9.094e-4
1.150e+1, 9.010e-4
1.160e+1, 8.947e-4
1.170e+1, 8.878e-4
1.180e+1, 8.829e-4
1.190e+1, 8.759e-4
1.200e+1, 8.707e-4
1.210e+1, 8.644e-4
1.220e+1, 8.588e-4
1.230e+1, 8.568e-4
1.240e+1, 8.572e-4
1.250e+1, 8.583e-4
1.260e+1, 8.596e-4
1.270e+1, 8.599e-4
1.280e+1, 8.620e-4
1.290e+1, 8.621e-4
1.300e+1, 8.586e-4
1.310e+1, 8.569e-4
1.320e+1, 8.534e-4
1.330e+1, 8.505e-4
1.340e+1, 8.468e-4
1.350e+1, 8.437e-4
1.360e+1, 8.426e-4
1.370e+1, 8.407e-4
1.380e+1, 8.395e-4
1.390e+1, 8.394e-4
1.400e+1, 8.407e-4
1.410e+1, 8.438e-4
1.420e+1, 8.431e-4
1.430e+1, 8.435e-4
1.440e+1, 8.401e-4
1.450e+1, 8.366e-4
1.460e+1, 8.333e-4
1.470e+1, 8.286e-4
1.480e+1, 8.265e-4
1.490e+1, 8.262e-4
1.500e+1, 8.273e-4
1.510e+1, 8.260e-4
1.520e+1, 8.226e-4
1.530e+1, 8.178e-4
1.540e+1, 8.133e-4
1.550e+1, 8.082e-4
1.560e+1, 8.045e-4
1.570e+1, 7.993e-4
1.580e+1, 7.964e-4
1.590e+1, 7.956e-4
1.600e+1, 7.964e-4
1.610e+1, 7.964e-4
1.620e+1, 7.957e-4
1.630e+1, 7.950e-4
1.640e+1, 7.949e-4
1.650e+1, 7.925e-4
1.660e+1, 7.904e-4
1.670e+1, 7.886e-4
1.680e+1, 7.885e-4
1.690e+1, 7.850e-4
1.700e+1, 7.827e-4
1.710e+1, 7.813e-4
1.720e+1, 7.785e-4
1.730e+1, 7.768e-4
1.740e+1, 7.748e-4
1.750e+1, 7.725e-4
1.760e+1, 7.714e-4
1.770e+1, 7.713e-4
1.780e+1, 7.712e-4
1.790e+1, 7.719e-4
1.800e+1, 7.708e-4
1.810e+1, 7.698e-4
1.820e+1, 7.679e-4
1.830e+1, 7.673e-4
1.840e+1, 7.689e-4
1.850e+1, 7.750e-4
1.860e+1, 7.853e-4
1.870e+1, 8.009e-4
1.880e+1, 8.132e-4
1.890e+1, 8.221e-4
1.900e+1, 8.287e-4
1.910e+1, 8.319e-4
1.920e+1, 8.306e-4
1.930e+1, 8.274e-4
1.940e+1, 8.208e-4
1.950e+1, 8.116e-4
1.960e+1, 8.041e-4
1.970e+1, 8.777e-4
1.980e+1, 1.016e-3
1.990e+1, 1.057e-3
2.000e+1, 1.062e-3
2.010e+1, 1.056e-3
2.020e+1, 1.037e-3
2.030e+1, 1.021e-3
2.040e+1, 1.013e-3
2.050e+1, 1.062e-3
2.060e+1, 1.109e-3
2.070e+1, 1.102e-3
2.080e+1, 1.102e-3
2.090e+1, 1.109e-3
2.100e+1, 1.106e-3
2.110e+1, 1.106e-3
2.120e+1, 1.122e-3
2.130e+1, 1.136e-3
2.140e+1, 1.140e-3
2.150e+1, 1.130e-3
2.160e+1, 1.111e-3
2.170e+1, 1.101e-3
2.180e+1, 1.091e-3
2.190e+1, 1.078e-3
2.200e+1, 1.073e-3
2.210e+1, 1.067e-3
2.220e+1, 1.061e-3
2.230e+1, 1.052e-3
2.240e+1, 1.039e-3
2.250e+1, 1.022e-3
2.260e+1, 1.012e-3
2.270e+1, 1.006e-3
2.280e+1, 9.981e-4
2.290e+1, 9.915e-4
2.300e+1, 9.813e-4
2.310e+1, 9.713e-4
2.320e+1, 9.626e-4
2.330e+1, 9.558e-4
2.340e+1, 9.523e-4
2.350e+1, 9.459e-4
2.360e+1, 9.416e-4
2.370e+1, 9.376e-4
2.380e+1, 9.327e-4
2.390e+1, 9.294e-4
2.400e+1, 9.254e-4
2.410e+1, 9.185e-4
2.420e+1, 9.124e-4
2.430e+1, 9.048e-4
2.440e+1, 9.031e-4
2.450e+1, 9.104e-4
2.460e+1, 9.201e-4
2.470e+1, 9.258e-4
2.480e+1, 9.271e-4
2.490e+1, 9.314e-4
2.500e+1, 9.356e-4
2.510e+1, 9.390e-4
2.520e+1, 9.421e-4
2.530e+1, 9.407e-4
2.540e+1, 9.387e-4
2.550e+1, 9.370e-4
2.560e+1, 9.352e-4
2.570e+1, 9.378e-4
2.580e+1, 9.394e-4
2.590e+1, 9.393e-4
2.600e+1, 9.431e-4
2.610e+1, 9.434e-4
2.620e+1, 9.397e-4
2.630e+1, 9.318e-4
2.640e+1, 9.221e-4
2.650e+1, 9.117e-4
2.660e+1, 9.020e-4
2.670e+1, 8.917e-4
2.680e+1, 8.893e-4
2.690e+1, 8.865e-4
2.700e+1, 8.874e-4
2.710e+1, 8.836e-4
2.720e+1, 8.820e-4
2.730e+1, 8.821e-4
2.740e+1, 8.813e-4
2.750e+1, 8.811e-4
2.760e+1, 8.818e-4
2.770e+1, 8.799e-4
2.780e+1, 8.770e-4
2.790e+1, 8.745e-4
2.800e+1, 8.692e-4
2.810e+1, 8.626e-4
2.820e+1, 8.553e-4
2.830e+1, 8.477e-4
2.840e+1, 8.406e-4
2.850e+1, 8.341e-4
2.860e+1, 8.278e-4
2.870e+1, 8.213e-4
2.880e+1, 8.156e-4
2.890e+1, 8.093e-4
2.900e+1, 8.050e-4
2.910e+1, 8.013e-4
2.920e+1, 7.963e-4
2.930e+1, 7.927e-4
2.940e+1, 7.914e-4
2.950e+1, 7.925e-4
2.960e+1, 7.997e-4
2.970e+1, 8.088e-4
2.980e+1, 8.190e-4
2.990e+1, 8.262e-4
3.000e+1, 8.305e-4
3.010e+1, 8.340e-4
3.020e+1, 8.335e-4
3.030e+1, 8.332e-4
3.040e+1, 8.326e-4
3.050e+1, 8.306e-4
3.060e+1, 8.263e-4
3.070e+1, 8.228e-4
3.080e+1, 8.170e-4
3.090e+1, 8.129e-4
3.100e+1, 8.092e-4
3.110e+1, 8.011e-4
3.120e+1, 7.963e-4
3.130e+1, 7.917e-4
3.140e+1, 7.878e-4
3.150e+1, 7.837e-4
3.160e+1, 7.816e-4
3.170e+1, 7.804e-4
3.180e+1, 7.766e-4
3.190e+1, 7.779e-4
3.200e+1, 7.755e-4
3.210e+1, 7.759e-4
3.220e+1, 7.750e-4
3.230e+1, 7.739e-4
3.240e+1, 7.732e-4
3.250e+1, 7.705e-4
3.260e+1, 7.697e-4
3.270e+1, 7.679e-4
3.280e+1, 7.664e-4
3.290e+1, 7.643e-4
3.300e+1, 7.616e-4
3.310e+1, 7.598e-4
3.320e+1, 7.597e-4
3.330e+1, 7.607e-4
3.340e+1, 7.577e-4
3.350e+1, 7.585e-4
3.360e+1, 7.577e-4
3.370e+1, 7.567e-4
3.380e+1, 7.545e-4
3.390e+1, 7.523e-4
3.400e+1, 7.500e-4
3.410e+1, 7.485e-4
3.420e+1, 7.465e-4
3.430e+1, 7.458e-4
3.440e+1, 7.448e-4
3.450e+1, 7.434e-4
3.460e+1, 7.418e-4
3.470e+1, 7.409e-4
3.480e+1, 7.396e-4
3.490e+1, 7.387e-4
3.500e+1, 7.379e-4
3.510e+1, 7.351e-4
3.520e+1, 7.345e-4
3.530e+1, 7.317e-4
3.540e+1, 7.317e-4
3.550e+1, 7.283e-4
3.560e+1, 7.285e-4
3.570e+1, 7.262e-4
3.580e+1, 7.248e-4
3.590e+1, 7.227e-4
3.600e+1, 7.210e-4
3.610e+1, 7.193e-4
3.620e+1, 7.182e-4
3.630e+1, 7.177e-4
3.640e+1, 7.164e-4
3.650e+1, 7.158e-4
3.660e+1, 7.145e-4
3.670e+1, 7.134e-4
3.680e+1, 7.130e-4
3.690e+1, 7.122e-4
3.700e+1, 7.119e-4
3.710e+1, 7.121e-4
3.720e+1, 7.102e-4
3.730e+1, 7.100e-4
3.740e+1, 7.121e-4
3.750e+1, 7.123e-4
3.760e+1, 7.170e-4
3.770e+1, 7.209e-4
3.780e+1, 7.243e-4
3.790e+1, 7.283e-4
3.800e+1, 7.343e-4
3.810e+1, 7.392e-4
3.820e+1, 7.413e-4
3.830e+1, 7.450e-4
3.840e+1, 7.471e-4
3.850e+1, 7.491e-4
3.860e+1, 7.500e-4
3.870e+1, 7.498e-4
3.880e+1, 7.520e-4
3.890e+1, 7.552e-4
3.900e+1, 7.560e-4
3.910e+1, 7.546e-4
3.920e+1, 7.559e-4
3.930e+1, 7.559e-4
3.940e+1, 7.540e-4
3.950e+1, 7.512e-4
3.960e+1, 7.498e-4
3.970e+1, 7.480e-4
3.980e+1, 7.453e-4
3.990e+1, 7.434e-4
4.000e+1, 7.411e-4
4.010e+1, 7.392e-4
4.020e+1, 7.382e-4
4.030e+1, 7.353e-4
4.040e+1, 7.345e-4
4.050e+1, 7.342e-4
4.060e+1, 7.326e-4
4.070e+1, 7.318e-4
4.080e+1, 7.294e-4
4.090e+1, 7.285e-4
4.100e+1, 7.270e-4
4.110e+1, 7.245e-4
4.120e+1, 7.224e-4
4.130e+1, 7.207e-4
4.140e+1, 7.197e-4
4.150e+1, 7.208e-4
4.160e+1, 7.198e-4
4.170e+1, 7.179e-4
4.180e+1, 7.171e-4
4.190e+1, 7.163e-4
4.200e+1, 7.122e-4
4.210e+1, 7.116e-4
4.220e+1, 7.134e-4
4.230e+1, 7.239e-4
4.240e+1, 7.386e-4
4.250e+1, 7.429e-4
4.260e+1, 7.467e-4
4.270e+1, 7.528e-4
4.280e+1, 7.664e-4
4.290e+1, 7.775e-4
4.300e+1, 7.861e-4
4.310e+1, 7.873e-4
4.320e+1, 7.862e-4
4.330e+1, 7.844e-4
4.340e+1, 7.749e-4
4.350e+1, 7.777e-4
4.360e+1, 7.877e-4
4.370e+1, 7.918e-4
4.380e+1, 7.948e-4
4.390e+1, 7.919e-4
4.400e+1, 7.898e-4
4.410e+1, 7.882e-4
4.420e+1, 7.921e-4
4.430e+1, 8.024e-4
4.440e+1, 8.184e-4
4.450e+1, 8.320e-4
4.460e+1, 8.433e-4
4.470e+1, 8.529e-4
4.480e+1, 8.599e-4
4.490e+1, 8.654e-4
4.500e+1, 8.662e-4
4.510e+1, 8.672e-4
4.520e+1, 8.661e-4
4.530e+1, 8.677e-4
4.540e+1, 8.717e-4
4.550e+1, 8.706e-4
4.560e+1, 8.708e-4
4.570e+1, 8.718e-4
4.580e+1, 8.707e-4
4.590e+1, 8.695e-4
4.600e+1, 8.720e-4
4.610e+1, 8.741e-4
4.620e+1, 8.796e-4
4.630e+1, 8.828e-4
4.640e+1, 8.817e-4
4.650e+1, 8.748e-4
4.660e+1, 8.709e-4
4.670e+1, 8.633e-4
4.680e+1, 8.625e-4
4.690e+1, 8.668e-4
4.700e+1, 8.681e-4
4.710e+1, 8.671e-4
4.720e+1, 8.634e-4
4.730e+1, 8.606e-4
4.740e+1, 8.533e-4
4.750e+1, 8.516e-4
4.760e+1, 8.527e-4
4.770e+1, 8.530e-4
4.780e+1, 8.547e-4
4.790e+1, 8.552e-4
4.800e+1, 8.553e-4
4.810e+1, 8.521e-4
4.820e+1, 8.470e-4
4.830e+1, 8.438e-4
4.840e+1, 8.380e-4
4.850e+1, 8.339e-4
4.860e+1, 8.299e-4
4.870e+1, 8.248e-4
4.880e+1, 8.200e-4
4.890e+1, 8.169e-4
4.900e+1, 8.159e-4
4.910e+1, 8.170e-4
4.920e+1, 8.194e-4
4.930e+1, 8.211e-4
4.940e+1, 8.220e-4
4.950e+1, 8.255e-4
4.960e+1, 8.204e-4
4.970e+1, 8.173e-4
4.980e+1, 8.139e-4
4.990e+1, 8.140e-4
5.000e+1, 8.133e-4
5.010e+1, 8.099e-4
5.020e+1, 8.069e-4
5.030e+1, 8.009e-4
5.040e+1, 7.978e-4
5.050e+1, 7.942e-4
5.060e+1, 7.896e-4
5.070e+1, 7.860e-4
5.080e+1, 7.820e-4
5.090e+1, 7.797e-4
5.100e+1, 7.796e-4
5.110e+1, 7.780e-4
5.120e+1, 7.749e-4
5.130e+1, 7.737e-4
5.140e+1, 7.721e-4
5.150e+1, 7.734e-4
5.160e+1, 7.726e-4
5.170e+1, 7.720e-4
5.180e+1, 7.689e-4
5.190e+1, 7.665e-4
5.200e+1, 7.666e-4
5.210e+1, 7.664e-4
5.220e+1, 7.674e-4
5.230e+1, 7.715e-4
5.240e+1, 7.729e-4
5.250e+1, 7.732e-4
5.260e+1, 7.705e-4
5.270e+1, 7.663e-4
5.280e+1, 7.638e-4
5.290e+1, 7.608e-4
5.300e+1, 7.584e-4
5.310e+1, 7.577e-4
5.320e+1, 7.586e-4
5.330e+1, 7.631e-4
5.340e+1, 7.681e-4
5.350e+1, 7.716e-4
5.360e+1, 7.711e-4
5.370e+1, 7.677e-4
5.380e+1, 7.666e-4
5.390e+1, 7.658e-4
5.400e+1, 7.653e-4
5.410e+1, 7.678e-4
5.420e+1, 7.693e-4
5.430e+1, 7.699e-4
5.440e+1, 7.675e-4
5.450e+1, 7.677e-4
5.460e+1, 7.675e-4
5.470e+1, 7.662e-4
5.480e+1, 7.657e-4
5.490e+1, 7.618e-4
5.500e+1, 7.595e-4
5.510e+1, 7.573e-4
5.520e+1, 7.561e-4
5.530e+1, 7.522e-4
5.540e+1, 7.496e-4
5.550e+1, 7.471e-4
5.560e+1, 7.425e-4
5.570e+1, 7.379e-4
5.580e+1, 7.365e-4
5.590e+1, 7.329e-4
5.600e+1, 7.308e-4
5.610e+1, 7.298e-4
5.620e+1, 7.300e-4
5.630e+1, 7.290e-4
5.640e+1, 7.278e-4
5.650e+1, 7.272e-4
5.660e+1, 7.237e-4
5.670e+1, 7.223e-4
5.680e+1, 7.216e-4
5.690e+1, 7.257e-4
5.700e+1, 7.336e-4
5.710e+1, 7.364e-4
5.720e+1, 7.389e-4
5.730e+1, 7.422e-4
5.740e+1, 7.409e-4
5.750e+1, 7.404e-4
5.760e+1, 7.386e-4
5.770e+1, 7.387e-4
5.780e+1, 7.355e-4
5.790e+1, 7.364e-4
5.800e+1, 7.353e-4
5.810e+1, 7.350e-4
5.820e+1, 7.353e-4
5.830e+1, 7.361e-4
5.840e+1, 7.376e-4
5.850e+1, 7.421e-4
5.860e+1, 7.462e-4
5.870e+1, 7.488e-4
5.880e+1, 7.496e-4
5.890e+1, 7.501e-4
5.900e+1, 7.463e-4
5.910e+1, 7.460e-4
5.920e+1, 7.432e-4
5.930e+1, 7.437e-4
5.940e+1, 7.465e-4
5.950e+1, 7.482e-4
