Experiment,exp,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time
exp239_1,1,5,5,10,0,5,5,20,15,5,0,0,-1.1,90
exp270_3,2,0,10,5,10,5,15,0,0,25,0,0,-1.3,120
exp146_2,3,5,5,5,10,0,0,0,0,25,20,0,-1.5,120
exp108_3,4,5,0,0,5,5,20,0,10,0,25,0,-1.3,150
exp239_2,5,5,5,10,0,5,5,20,15,5,0,0,-1.1,90
exp500_2,6,0,5,25,10,0,10,0,0,10,10,0,-1.4,60
exp99_1,7,5,5,5,5,5,0,5,5,5,25,5,-1.3,150
exp108_2,8,5,0,0,5,5,20,0,10,0,25,0,-1.3,150
exp270_1,9,0,10,5,10,5,15,0,0,25,0,0,-1.3,120
exp31_2,10,0,0,0,0,0,10,15,5,10,30,0,-1.2,60
exp28_1,11,0,0,0,5,5,15,0,5,40,0,0,-1.3,150
exp31_1,12,0,0,0,0,0,10,15,5,10,30,0,-1.2,60
exp208_2,13,15,0,10,10,10,0,5,5,10,5,0,-1.5,60
exp26_1,14,20,0,5,20,5,0,0,5,5,10,0,-1.3,60
exp208_3,15,15,0,10,10,10,0,5,5,10,5,0,-1.5,60
exp26_2,16,20,0,5,20,5,0,0,5,5,10,0,-1.3,60
exp270_2,17,0,10,5,10,5,15,0,0,25,0,0,-1.3,120
exp500_3,18,0,5,25,10,0,10,0,0,10,10,0,-1.4,60
exp255_3,19,0,5,0,25,0,0,10,0,10,10,10,-1.2,60
exp473_1,20,5,15,0,5,10,5,0,0,0,20,10,-1.3,150
exp118_1,21,5,5,5,5,0,5,0,10,20,5,10,-1.2,90
exp562_3,22,0,0,8,8,8,8,8,15,15,0,0,-1.1,150
exp473_2,23,5,15,0,5,10,5,0,0,0,20,10,-1.3,150
exp470_2,24,25,0,0,5,0,5,5,10,10,5,5,-1.2,60
exp108_1,25,5,0,0,5,5,20,0,10,0,25,0,-1.3,150
exp255_1,26,0,5,0,25,0,0,10,0,10,10,10,-1.2,60
exp473_3,27,5,15,0,5,10,5,0,0,0,20,10,-1.3,150
exp208_1,28,15,0,10,10,10,0,5,5,10,5,0,-1.5,60
exp99_3,29,5,5,5,5,5,0,5,5,5,25,5,-1.3,150
exp562_1,30,0,0,8,8,8,8,8,15,15,0,0,-1.1,150
exp31_3,31,0,0,0,0,0,10,15,5,10,30,0,-1.2,60
exp470_3,32,25,0,0,5,0,5,5,10,10,5,5,-1.2,60
exp28_2,33,0,0,0,5,5,15,0,5,40,0,0,-1.3,150
exp500_1,34,0,5,25,10,0,10,0,0,10,10,0,-1.4,60
exp118_3,35,5,5,5,5,0,5,0,10,20,5,10,-1.2,90
exp26_3,36,20,0,5,20,5,0,0,5,5,10,0,-1.3,60
exp99_2,37,5,5,5,5,5,0,5,5,5,25,5,-1.3,150
exp470_1,38,25,0,0,5,0,5,5,10,10,5,5,-1.2,60
exp562_2,39,0,0,8,8,8,8,8,15,15,0,0,-1.1,150
exp239_3,40,5,5,10,0,5,5,20,15,5,0,0,-1.1,90
exp146_1,41,5,5,5,10,0,0,0,0,25,20,0,-1.5,120
exp146_3,42,5,5,5,10,0,0,0,0,25,20,0,-1.5,120
exp28_3,43,0,0,0,5,5,15,0,5,40,0,0,-1.3,150
exp118_2,44,5,5,5,5,0,5,0,10,20,5,10,-1.2,90
exp255_2,45,0,5,0,25,0,0,10,0,10,10,10,-1.2,60
