Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp1,5,5,25,0,5,0,10,15,0,5,0,-1.2,90,145.38450028712455,0.0051674299419938,0.9953919249418448,-0.5917,1.4423901332288
exp2,0,5,5,10,10,0,0,15,10,0,15,-1.2,60,122.99929377423348,2.8993563925205057e-05,0.9994483604965364,-0.7847,0.324548480737
exp3,5,10,10,0,10,0,10,5,10,5,5,-1.3,120,181.32822227852265,0.0138639162923551,0.9974528293607158,-0.6637,2.3647181053543
exp4,5,0,0,25,0,10,0,10,10,10,0,-1.4,90,32.137228918303656,3.763451002254616e-07,0.0017609982025137,-0.5297,20.1105303042278
exp5,0,10,0,0,5,15,5,10,10,15,0,-1.3,120,160.56061483425344,0.0019492548349844,0.9972890841910264,-0.7347,0.1968876458105
exp6,15,0,0,0,5,0,0,0,0,20,30,-1.2,60,117.9272011144235,0.0003155476067309,0.9972187211446856,-0.6337,0.1691144866047
exp7,0,0,0,15,5,20,0,5,0,20,5,-1.1,90,117.80885780097634,0.0017282130993481,0.9979754035750604,-0.5057,5.362375695198
exp8,0,5,5,5,5,10,5,35,0,0,0,-1.3,150,171.7832145677785,0.2565167072696652,0.4635006683105982,-0.3667,22.8046678014577
exp9,5,0,0,5,0,15,20,15,5,5,0,-1.3,120,105.2707081258113,0.0219821511493376,0.99579333018385,-0.3567,15.3568046443866
exp10,15,0,5,0,0,0,5,20,0,0,25,-1.5,150,142.75527636295612,3.662166905684035e-05,0.9999758775198552,-0.8817,0.2658543288584
exp11,0,5,0,0,15,5,15,5,0,25,0,-1.1,60,106.74361830904128,0.0006423050657741,0.9987713625029488,-0.5247,3.1283027648131
exp12,0,0,0,0,10,10,20,10,0,10,10,-1.1,150,123.5500492064582,0.0183258859052541,0.9937715836641442,-0.4247,10.8712803054343
