Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 2.0 mA/cm2_Ar,Overpotential V at 10.0 mA/cm2_Ar,Overpotential V at 20.0 mA/cm2_Ar,Overpotential V at 30.0 mA/cm2_Ar,Overpotential V at 40.0 mA/cm2_Ar,Overpotential @ 50 mA_Ar,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Cdl mF cm-2_Ar
exp1,5,5,25,0,5,0,10,15,0,5,0,-1.2,90,-0.4007,-0.4717,-0.5037,-0.5277,-0.5457,-0.5617,108.4356194,0.000393359,1.190928071
exp2,0,5,5,10,10,0,0,15,10,0,15,-1.2,60,-0.6567,-0.7077,-0.7307,-0.7457,-0.7577,-0.7677,104.8133903,4.63E-06,0.13330187
exp3,5,10,10,0,10,0,10,5,10,5,5,-1.3,120,-0.4447,-0.5767,-0.6367,-0.6727,-0.7007,-0.7247,186.8436902,0.008378382,1.076413146
exp4,5,0,0,25,0,10,0,10,10,10,0,-1.4,90,-0.2547,-0.4947,-0.5517,-0.5877,-0.6177,-0.6427,712.0106225,2.72971803,7.614066551
exp5,0,10,0,0,5,15,5,10,10,15,0,-1.3,120,-0.5367,-0.6487,-0.6987,-0.7307,-0.7537,-0.7737,172.0520013,0.002236694,0.148320143
exp6,15,0,0,0,5,0,0,0,0,20,30,-1.2,60,-0.4877,-0.5567,-0.5887,-0.6097,-0.6267,-0.6407,117.6872229,0.000257938,0.155947415
exp7,0,0,0,15,5,20,0,5,0,20,5,-1.1,90,-0.3817,-0.4447,-0.4747,-0.4957,-0.5157,-0.5367,104.534993,0.000308147,4.54180887
exp8,0,5,5,5,5,10,5,35,0,0,0,-1.3,150,0.0133,-0.2917,-0.3247,-0.3467,-0.3647,-0.3787,99.57577738,0.009580672,19.03198949
exp9,5,0,0,5,0,15,20,15,5,5,0,-1.3,120,-0.1917,-0.2717,-0.3097,-0.3337,-0.3527,-0.3687,112.3834007,0.027358417,13.06933755
exp10,15,0,5,0,0,0,5,20,0,0,25,-1.5,150,-0.7117,-0.7767,-0.8077,-0.8287,-0.8447,-0.8587,127.8003225,1.18E-05,0.202981402
exp11,0,5,0,0,15,5,15,5,0,25,0,-1.1,60,-0.3987,-0.4657,-0.4917,-0.5107,-0.5257,-0.5397,93.97514204,9.35E-05,2.696428253
exp12,0,0,0,0,10,10,20,10,0,10,10,-1.1,150,-0.2637,-0.3377,-0.3747,-0.3997,-0.4197,-0.4367,112.3009592,0.007589429,8.919352351
exp13,0,0,5,5,0,0,10,35,10,5,0,-1.5,120,-0.6447,-0.7217,-0.7527,-0.7717,-0.7857,-0.7967,113.5947549,9.08E-06,0.219276752
exp14,20,20,0,5,5,0,0,0,20,0,0,-1.4,60,-0.6977,-0.7337,-0.7517,-0.7657,-0.7767,-0.7857,97.48424135,7.64E-07,0.129060544
exp15,20,0,0,0,0,10,0,10,0,15,15,-1.2,150,-0.5067,-0.6097,-0.6497,-0.6757,-0.6947,-0.7107,140.0823531,0.000701185,0.159431361
exp16,10,0,20,0,0,0,5,10,15,5,5,-1.3,120,-0.5667,-0.6807,-0.7467,-0.7907,-0.8247,-0.8517,221.5113805,0.009620435,0.676328124
exp17,5,5,0,10,5,0,5,5,30,0,5,-1.4,150,-0.6617,-0.7097,-0.7317,-0.7467,-0.7577,-0.7677,98.50409411,1.45E-06,0.133181529
exp18,0,0,0,0,0,10,15,10,10,15,10,-1.4,60,-0.3487,-0.4767,-0.5337,-0.5627,-0.5827,-0.5987,156.7866084,0.008652626,4.70665642
exp19,0,5,5,5,0,5,0,25,5,15,5,-1.1,120,-0.3647,-0.4577,-0.5247,-0.5677,-0.5937,-0.6127,151.61828,0.004129864,1.173100954
exp20,0,0,10,5,5,10,5,5,15,10,5,-1.2,150,-0.5677,-0.6717,-0.7197,-0.7477,-0.7677,-0.7847,133.1404135,0.000146449,0.146870397
exp21,5,0,0,5,5,0,15,10,30,0,0,-1.3,60,-0.6507,-0.7077,-0.7337,-0.7487,-0.7607,-0.7717,102.9783063,3.08E-06,0.164120812
exp22,0,5,10,15,5,5,0,0,15,5,10,-1.3,150,-0.0677,-0.1457,-0.0087,-0.2647,-0.4177,-0.4387,71.89167282,11655.87511,69.05928266
exp23,5,15,0,0,0,5,5,25,10,0,5,-1.1,150,-0.4307,-0.5737,-0.6417,-0.6817,-0.7147,-0.7447,188.5960497,0.006512044,0.772880357
exp24,5,0,0,5,10,25,0,15,0,5,5,-1.5,90,-0.1947,-0.2767,-0.3137,-0.3387,-0.3577,-0.3737,108.0863267,0.020114196,19.7292256
exp25,35,0,0,0,0,0,0,30,0,0,5,-1.4,150,-0.7487,-0.7957,-0.8177,-0.8337,-0.8467,-0.8577,122.0550063,7.77E-06,0.135114319
exp26,20,0,0,5,20,5,0,5,5,10,0,-1.3,60,-0.5597,-0.6317,-0.6627,-0.6817,-0.6967,-0.7087,101.1251759,1.50E-05,0.163765172
exp27,0,0,5,20,5,0,0,5,10,20,5,-1.4,150,-0.1347,-0.4377,-0.4967,-0.5357,-0.5727,-0.6047,496.2753604,2.462916079,16.30018333
exp28,0,0,0,0,5,5,15,5,40,0,0,-1.3,150,-0.5447,-0.6637,-0.7127,-0.7417,-0.7617,-0.7777,142.9200067,0.000279506,0.176688562
exp29,20,5,10,0,5,0,10,10,5,5,0,-1.1,150,-0.5097,-0.6057,-0.6337,-0.6507,-0.6627,-0.6737,104.4341533,2.35E-05,1.251982308
exp30,0,15,0,0,10,0,5,0,20,15,5,-1.3,150,-0.6357,-0.6927,-0.7197,-0.7367,-0.7507,-0.7627,128.6119485,0.000139056,0.132089492
exp31,0,0,15,0,0,0,10,5,10,30,0,-1.2,60,-0.6967,-0.7557,-0.7837,-0.8027,-0.8167,-0.8297,123.439744,1.50E-05,0.150495919
exp32,0,5,10,0,5,0,20,5,20,0,5,-1.2,60,-0.6347,-0.7077,-0.7447,-0.7687,-0.7867,-0.8027,144.3514767,0.000251302,0.137003918
exp33,25,0,5,0,0,0,0,20,0,10,10,-1.5,150,-0.6467,-0.7307,-0.7707,-0.7957,-0.8137,-0.8287,151.3446331,0.00021773,0.149633293
exp34,0,0,15,5,15,5,0,15,10,5,0,-1.3,150,-0.4307,-0.5637,-0.6177,-0.6467,-0.6677,-0.6837,125.0294834,0.000178382,1.007615541
exp35,10,5,10,5,15,0,0,5,0,15,5,-1.3,90,-0.4547,-0.5687,-0.6097,-0.6297,-0.6437,-0.6547,102.7082732,2.48E-05,1.243257016
exp36,10,10,0,0,0,5,0,35,10,0,0,-1.1,60,-0.7577,-0.8097,-0.8357,-0.8537,-0.8687,-0.8817,125.8620626,9.11E-06,0.129316664
exp37,10,5,10,15,5,0,0,10,5,10,0,-1.2,150,-0.5977,-0.6907,-0.7297,-0.7527,-0.7697,-0.7837,136.6348076,0.000204901,0.151553071
exp38,15,10,0,0,5,0,5,0,5,15,15,-1.2,60,-0.4487,-0.5187,-0.5557,-0.5797,-0.5997,-0.6167,125.0683968,0.000643704,0.723628139
exp39,0,15,0,0,10,10,5,20,5,0,5,-1.5,90,-0.2647,-0.3387,-0.3787,-0.4067,-0.4297,-0.4487,128.8473132,0.018699018,6.957485247
exp40,0,15,5,5,5,0,5,5,5,10,15,-1.5,120,-0.4037,-0.4727,-0.5057,-0.5267,-0.5437,-0.5587,111.480255,0.000439954,5.997135089
exp41,5,0,0,10,15,0,0,20,0,5,15,-1.4,60,-0.3107,-0.3917,-0.4277,-0.4517,-0.4727,-0.4927,343.0704146,0.77970338,9.166437625
exp42,10,0,0,10,0,0,0,0,0,50,0,-1.4,60,-0.6127,-0.6827,-0.7167,-0.7397,-0.7577,-0.7727,136.1332267,0.000214857,0.128420958
exp43,0,0,0,0,20,20,0,0,20,10,0,-1.3,60,-0.2757,-0.3557,-0.4017,-0.4387,-0.4707,-0.4997,162.5507056,0.044779842,3.879766572
exp44,0,0,0,5,15,5,5,5,35,0,0,-1.1,150,-0.6447,-0.7107,-0.7337,-0.7467,-0.7567,-0.7657,89.15797842,3.04E-07,0.190501985
exp45,0,5,10,5,20,5,5,0,15,5,0,-1.2,120,-0.0737,-0.3077,-0.3507,-0.3787,-0.4017,-0.4207,416.9590577,2.605343191,18.59536139
exp46,5,0,5,5,5,10,10,5,15,0,10,-1.5,120,-0.5547,-0.6847,-0.7367,-0.7657,-0.7847,-0.8007,141.4981771,0.000209642,0.142427255
exp47,15,0,5,10,0,20,0,5,5,10,0,-1.4,60,-0.4497,-0.5407,-0.5957,-0.6297,-0.6527,-0.6717,108.2895777,3.12E-05,0.245175952
exp48,5,10,10,0,0,5,0,35,0,5,0,-1.4,90,-0.7077,-0.7677,-0.7927,-0.8087,-0.8217,-0.8327,118.9355037,9.12E-06,0.133239825
exp49,0,0,35,0,0,0,15,5,0,15,0,-1.5,60,-0.5567,-0.6437,-0.6857,-0.7107,-0.7297,-0.7457,136.6793134,0.000213492,0.50171468
exp50,10,0,10,0,0,0,20,10,0,15,5,-1.5,60,-0.5477,-0.6347,-0.6817,-0.7127,-0.7367,-0.7577,139.152016,0.000237306,0.825242082
exp51,0,10,15,15,0,0,0,0,20,5,5,-1.4,120,-0.7517,-0.8117,-0.8397,-0.8587,-0.8727,-0.8847,129.5652919,1.46E-05,0.106627718
