Experiment,exp_num,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,Overpotential V at 50.0 mA cm-2,best_so_far
exp979,979,0,0,0,28,1,0,0,0,0,0,-1.0,85,-0.7667,-0.7667
exp980,980,0,0,20,28,4,18,0,0,0,0,-1.5,30,-0.7367,-0.7367
exp981,981,0,0,20,0,2,20,28,0,0,0,-1.2,122,-0.7357,-0.7357
exp982,982,9,0,0,28,0,0,0,20,0,13,-1.5,180,-0.3887,-0.3887
exp983,983,0,10,0,28,0,0,0,20,12,0,-1.5,180,-0.3767,-0.3767
exp984,984,0,0,0,28,20,0,0,20,0,0,-1.5,180,-0.3367,-0.3367
exp985,985,20,0,0,15,15,20,0,0,0,0,-1.5,30,-0.6477,-0.3367
exp986,986,0,0,0,13,16,14,0,2,0,25,-1.5,180,-0.4877,-0.3367
exp987,987,0,0,0,9,10,7,21,0,0,0,-1.0,163,-0.6167,-0.3367
exp988,988,0,0,0,27,0,0,0,19,0,0,-1.5,30,-0.5167,-0.3367
exp989,989,7,20,20,2,0,20,0,0,1,0,-1.2,180,-0.7757,-0.3367
exp990,990,0,0,20,9,20,6,0,0,0,15,-1.5,180,-0.3287,-0.3287
exp991,991,0,0,0,10,20,0,4,0,0,0,-1.5,144,-0.3937,-0.3287
exp993,993,0,0,0,16,0,0,19,0,0,35,-1.3,30,-0.3167,-0.3167
exp994,994,0,0,20,19,0,0,11,0,0,20,-1.5,180,-0.1517,-0.1517
exp995,995,0,0,0,16,0,0,28,0,0,26,-1.3,180,-0.3127,-0.1517
exp996,996,0,0,0,11,15,20,0,0,0,0,-1.4,180,-0.3797,-0.1517
exp997,997,20,0,20,28,2,0,0,0,0,0,-1.4,130,-0.7097,-0.1517
exp998,998,0,0,20,0,20,2,28,0,0,0,-1.5,180,-0.3507,-0.1517
exp999,999,0,0,0,0,20,0,0,20,0,0,-1.5,180,-0.3707,-0.1517
exp1000,1000,0,20,0,22,0,0,28,0,0,0,-1.5,180,-0.3917,-0.1517
