V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,Volt,Time,objective,best_so_far,run,iteration
10.0,6.0,6.0,9.0,3.0,11.0,6.0,6.0,10.0,2.0,-1.4000000000000001,153.0,-0.505194,-0.505194,42,1
4.0,5.0,9.0,7.0,7.0,9.0,9.0,3.0,6.0,11.0,-1.1,50.0,-0.5496280000000003,-0.505194,42,2
8.0,12.0,2.0,9.0,3.0,12.0,12.0,10.0,1.0,1.0,-1.3,95.0,-0.5178220000000006,-0.505194,42,3
2.0,10.0,11.0,4.0,11.0,6.0,1.0,6.0,12.0,7.0,-1.1,42.0,-0.6051720000000006,-0.505194,42,4
11.0,3.0,17.0,0.0,16.0,4.0,5.0,4.0,3.0,7.0,-1.4000000000000001,120.0,-0.6191180000000001,-0.505194,42,5
10.0,11.0,2.0,10.0,8.0,3.0,2.0,9.0,6.0,7.0,-1.2000000000000002,132.0,-0.5487080000000011,-0.505194,42,6
6.0,8.0,5.0,2.0,1.0,7.0,10.0,11.0,9.0,11.0,-1.2000000000000002,174.0,-0.7989619999999991,-0.505194,42,7
1.0,3.0,9.0,16.0,14.0,1.0,10.0,0.0,8.0,8.0,-1.4000000000000001,73.0,-0.49781600000000137,-0.49781600000000137,42,8
2.0,2.0,5.0,11.0,3.0,10.0,8.0,3.0,15.0,11.0,-1.0,161.0,-0.6116020000000003,-0.49781600000000137,42,9
2.0,11.0,10.0,10.0,10.0,11.0,10.0,2.0,2.0,2.0,-1.4000000000000001,55.0,-0.5010360000000011,-0.49781600000000137,42,10
2.0,2.0,2.0,10.0,10.0,11.0,11.0,10.0,10.0,2.0,-1.4000000000000001,55.0,-0.5358200000000007,-0.49781600000000137,42,11
3.0,8.0,8.0,13.0,8.0,8.0,8.0,3.0,8.0,3.0,-1.4000000000000001,105.0,-0.4535960000000013,-0.4535960000000013,42,12
9.0,6.0,6.0,9.0,8.0,9.0,6.0,6.0,9.0,2.0,-1.4000000000000001,155.0,-0.4750760000000004,-0.4535960000000013,42,13
3.0,9.0,9.0,14.0,14.0,9.0,3.0,3.0,3.0,3.0,-1.4000000000000001,55.0,-0.46294800000000197,-0.4535960000000013,42,14
13.0,0.0,5.0,6.0,7.0,0.0,7.0,14.0,4.0,14.0,-1.4000000000000001,105.0,-0.5998360000000005,-0.4535960000000013,42,15
