Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2

exp729,20,0,30,0,0,0,20,0,0,0,0,-1,64,-0.6977,-0.7607,-0.8027,-0.8347,-0.8617
exp730,0,0,17,0,19,0,11,0,0,0,23,-1.2,84,-0.4627,-0.4967,-0.5237,-0.5487,-0.5817
exp731,0,0,0,0,7,17,25,0,0,0,21,-1.5,30,-0.4057,-0.4317,-0.4497,-0.4637,-0.4757
exp732,6,0,30,0,0,25,0,0,0,0,9,-1,136,-0.4897,-0.5227,-0.5457,-0.5647,-0.5817
exp733,0,17,0,0,15,17,0,20,0,0,1,-1.5,180,-0.2867,-0.3197,-0.3427,-0.3617,-0.3787
exp734,0,0,0,0,33,0,0,0,0,0,37,-1.5,180,-0.4477,-0.4797,-0.5047,-0.5257,-0.5437
exp735,20,0,0,10,40,0,0,0,0,0,0,-1.5,177,-0.4367,-0.4737,-0.4997,-0.5207,-0.5387
exp736,0,20,28,0,16,0,0,0,0,7,6,-1,180,-0.2777,-0.2937,-0.3027,-0.3107,-0.3177
exp737,0,0,0,0,28,19,0,2,0,0,21,-1.3,180,-0.3147,-0.3467,-0.3697,-0.3877,-0.4037
exp738,0,0,30,0,33,0,0,0,7,0,0,-1.5,30,-0.3937,-0.4347,-0.4627,-0.4857,-0.5067
exp739,0,25,0,0,40,0,3,2,0,0,0,-1,180,-0.3847,-0.4237,-0.4497,-0.4707,-0.4877
exp740,0,0,0,20,1,12,7,30,0,0,0,-1.5,180,-0.0347,-0.2347,-0.2657,-0.2877,-0.4327
exp741,0,24,0,0,40,6,0,0,0,0,0,-1.5,137,-0.4357,-0.4607,-0.4837,-0.5027,-0.5187
exp742,0,0,0,0,25,16,15,0,0,0,14,-1.2,180,-0.4087,-0.4327,-0.4487,-0.4617,-0.4717
exp743,0,16,0,0,27,0,0,14,14,0,-1,-1.5,180,-0.3107,-0.3467,-0.3717,-0.3917,-0.4097
exp744,0,0,30,0,0,25,15,0,0,0,0,-1.4,30,-0.4997,-0.5327,-0.5557,-0.5747,-0.5917
exp745,0,0,0,0,1,25,3,17,0,0,24,-1.5,61,-0.2297,-0.2627,-0.2847,-0.3017,-0.3157
exp746,0,0,0,0,0,25,0,0,0,0,45,-1.3,180,-0.5757,-0.6247,-0.6537,-0.6747,-0.6917
exp747,0,0,25,0,10,7,8,0,0,20,20,-1.5,180,-0.2687,-0.2867,-0.2957,-0.3017,
exp748,0,23,0,0,22,25,0,0,0,0,0,-1.5,180,-0.4497,-0.4777,-0.4977,-0.5127,-0.5267
exp749,0,0,0,20,23,0,0,0,0,0,27,-1.1,180,-0.4677,-0.5017,-0.5207,-0.5367,-0.5507
exp750,0,0,0,20,6,0,9,0,0,0,35,-1.5,136,-0.0687,-0.1187,-0.1587,-0.1897,-0.3957
