Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp858,0,20,16,26,0,0,0,0,0,8,8,-1.5,180,-0.0897,-0.3457,-0.3797,-0.3987,-0.4107
exp859,0,0,20,0,46,4,0,0,0,0,0,-1.5,30,-0.2927,-0.3137,-0.3287,-0.3417,-0.3547
exp860,0,0,20,20,10,0,0,0,0,0,20,-1,180,-0.5497,-0.5957,-0.6257,-0.6477,-0.6657
exp861,0,0,20,20,27,0,3,0,0,0,0,-1.5,180,-0.0817,-0.2947,-0.3207,-0.3307,-0.3387
exp862,0,0,0,0,41,11,0,0,0,0,18,-1.5,89,-0.1587,-0.2287,-0.2577,-0.2767,-0.2927
exp863,0,0,0,20,10,0,0,20,0,0,20,-1.5,180,-0.2357,-0.2697,-0.2927,-0.3127,-0.3287
exp864,0,13,0,20,11,27,0,0,0,0,-1,-1.5,30,-0.4377,-0.4767,-0.5017,-0.5217,-0.5397
exp865,0,0,0,0,29,21,20,0,0,0,0,-1.4,122,-0.2927,-0.3377,-0.3607,-0.3787,-0.3937
exp866,0,0,0,0,41,20,0,10,0,0,-1,-1.5,30,-0.2857,-0.3267,-0.3577,-0.3827,-0.4067
exp867,0,0,0,0,28,0,9,0,0,33,33,-1.3,101,-0.2377,-0.2767,-0.3007,-0.3207,-0.3377
exp868,0,0,0,5,45,0,20,0,0,0,0,-1.5,55,-0.5357,-0.5787,-0.6057,-0.6257,-0.6427
exp869,5,0,0,0,11,35,0,0,0,0,19,-1.2,53,-0.3977,-0.4307,-0.4567,-0.4807,-0.5047
exp870,0,0,0,20,17,0,0,9,0,0,24,-1.5,180,-0.2007,-0.2347,-0.2567,-0.2727,-0.2877
exp871,0,0,0,0,10,33,0,0,0,0,27,-1.4,86,-0.3707,-0.3977,-0.4177,-0.4347,-0.4507
exp872,20,0,0,0,10,20,20,0,0,0,0,-1.5,126,-0.5227,-0.5647,-0.5957,-0.6197,-0.6397
exp873,0,0,0,0,23,0,0,20,0,27,27,-1.3,180,-0.2107,-0.2457,-0.2677,-0.2867,-0.3017
exp874,0,0,20,20,10,0,0,20,0,0,0,-1.5,180,-0.2007,0.0133,-0.3007,-0.3177,-0.3327
exp875,0,0,0,0,39,0,0,0,0,0,31,-1.5,180,-0.3747,-0.4047,-0.4257,-0.4437,-0.4587
