Experiment,V,Cr,Fe,Co,Ni,Cu,Mg,S,Se,P,blank,Volt,Time,Overpotential V at 10.0 mA/cm2,Overpotential V at 20.0 mA/cm2,Overpotential V at 30.0 mA/cm2,Overpotential V at 40.0 mA/cm2,Overpotential V at 50.0 mA cm-2
exp1,5,5,0,5,0,10,25,15,0,5,0,-1.2,90,-0.4867,-0.5347,-0.5597,-0.5777,-0.5917
exp2,0,5,10,10,0,0,5,15,10,0,15,-1.2,60,-0.7227,-0.7497,-0.7647,-0.7757,-0.7847
exp3,5,10,0,10,0,10,10,5,10,5,5,-1.3,120,-0.5107,-0.5787,-0.6157,-0.6417,-0.6637
exp4,5,0,25,0,10,0,0,10,10,10,0,-1.4,90,-0.2477,-0.4157,-0.4647,-0.5007,-0.5297
exp5,0,10,0,5,15,5,0,10,10,15,0,-1.3,120,-0.6137,-0.6627,-0.6927,-0.7157,-0.7347
exp6,15,0,0,5,0,0,0,0,0,20,30,-1.2,60,-0.5497,-0.5817,-0.6027,-0.6197,-0.6337
exp7,0,0,15,5,20,0,0,5,0,20,5,-1.1,90,-0.4047,-0.4387,-0.4627,-0.4847,-0.5057
exp8,0,5,5,5,10,5,5,35,0,0,0,-1.3,150,-0.2787,-0.3117,-0.3347,-0.3517,-0.3667
exp9,5,0,5,0,15,20,0,15,5,5,0,-1.3,120,-0.2617,-0.2977,-0.3217,-0.3407,-0.3567
exp10,15,0,0,0,0,5,5,20,0,0,25,-1.5,150,-0.7977,-0.8307,-0.8527,-0.8687,-0.8817
exp11,0,5,0,15,5,15,0,5,0,25,0,-1.1,60,-0.4267,-0.4647,-0.4897,-0.5087,-0.5247
exp12,0,0,0,10,10,20,0,10,0,10,10,-1.1,150,-0.3167,-0.3557,-0.3837,-0.4057,-0.4247
exp13,0,0,5,0,0,10,5,35,10,5,0,-1.5,120,-0.6827,-0.7197,-0.7417,-0.7587,-0.7737
exp14,20,20,5,5,0,0,0,0,20,0,0,-1.4,60,-0.7637,-0.7807,-0.7927,-0.8017,-0.8097
exp15,20,0,0,0,10,0,0,10,0,15,15,-1.2,150,-0.6117,-0.6507,-0.6727,-0.6887,-0.7027
exp16,10,0,0,0,0,5,20,10,15,5,5,-1.3,120,-0.6987,-0.7487,-0.7837,-0.8117,-0.8357
exp17,5,5,10,5,0,5,0,5,30,0,5,-1.4,150,-0.7187,-0.7427,-0.7587,-0.7697,-0.7797
exp18,0,0,0,0,10,15,0,10,10,15,10,-1.4,60,-0.4447,-0.5247,-0.5627,-0.5867,-0.6047
exp19,0,5,5,0,5,0,5,25,5,15,5,-1.1,120,-0.4277,-0.5017,-0.5457,-0.5747,-0.5967
exp20,0,0,5,5,10,5,10,5,15,10,5,-1.2,150,-0.6277,-0.6907,-0.7197,-0.7397,-0.7577
