,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#1,5,5,25,0,5,0,10,15,0,5,0,-1.2,90
Exp#2,0,5,5,10,10,0,0,15,10,0,15,-1.2,60
Exp#3,5,10,10,0,10,0,10,5,10,5,5,-1.3,120
Exp#4,5,0,0,25,0,10,0,10,10,10,0,-1.4,90
Exp#5,0,10,0,0,5,15,5,10,10,15,0,-1.3,120
Exp#6,15,0,0,0,5,0,0,0,0,20,30,-1.2,60
Exp#7,0,0,0,15,5,20,0,5,0,20,5,-1.1,90
Exp#8,0,5,5,5,5,10,5,35,0,0,0,-1.3,150
Exp#9,5,0,0,5,0,15,20,15,5,5,0,-1.3,120
Exp#10,15,0,5,0,0,0,5,20,0,0,25,-1.5,150
Exp#11,0,5,0,0,15,5,15,5,0,25,0,-1.1,60
Exp#12,0,0,0,0,10,10,20,10,0,10,10,-1.1,150
Exp#13,0,0,5,5,0,0,10,35,10,5,0,-1.5,120
Exp#14,20,20,0,5,5,0,0,0,20,0,0,-1.4,60
Exp#15,20,0,0,0,0,10,0,10,0,15,15,-1.2,150
Exp#16,10,0,20,0,0,0,5,10,15,5,5,-1.3,120
Exp#17,5,5,0,10,5,0,5,5,30,0,5,-1.4,150
Exp#18,0,0,0,0,0,10,15,10,10,15,10,-1.4,60
Exp#19,0,5,5,5,0,5,0,25,5,15,5,-1.1,120
Exp#20,0,0,10,5,5,10,5,5,15,10,5,-1.2,150
Exp#21,5,0,0,5,5,0,15,10,30,0,0,-1.3,60
Exp#22,0,5,10,15,5,5,0,0,15,5,10,-1.3,150
Exp#23,5,15,0,0,0,5,5,25,10,0,5,-1.1,150
Exp#24,5,0,0,5,10,25,0,15,0,5,5,-1.5,90
Exp#25,35,0,0,0,0,0,0,30,0,0,5,-1.4,150
Exp#26,20,0,0,5,20,5,0,5,5,10,0,-1.3,60
Exp#27,0,0,5,20,5,0,0,5,10,20,5,-1.4,150
Exp#28,0,0,0,0,5,5,15,5,40,0,0,-1.3,150
Exp#29,20,5,10,0,5,0,10,10,5,5,0,-1.1,150
Exp#30,0,15,0,0,10,0,5,0,20,15,5,-1.3,150
Exp#31,0,0,15,0,0,0,10,5,10,30,0,-1.2,60
Exp#32,0,5,10,0,5,0,20,5,20,0,5,-1.2,60
Exp#33,25,0,5,0,0,0,0,20,0,10,10,-1.5,150
Exp#34,0,0,15,5,15,5,0,15,10,5,0,-1.3,150
Exp#35,10,5,10,5,15,0,0,5,0,15,5,-1.3,90
Exp#36,10,10,0,0,0,5,0,35,10,0,0,-1.1,60
Exp#37,10,5,10,15,5,0,0,10,5,10,0,-1.2,150
Exp#38,15,10,0,0,5,0,5,0,5,15,15,-1.2,60
Exp#39,0,15,0,0,10,10,5,20,5,0,5,-1.5,90
Exp#40,0,15,5,5,5,0,5,5,5,10,15,-1.5,120
Exp#41,5,0,0,10,15,0,0,20,0,5,15,-1.4,60
Exp#42,10,0,0,10,0,0,0,0,0,50,0,-1.4,60
Exp#43,0,0,0,0,20,20,0,0,20,10,0,-1.3,60
Exp#44,0,0,0,5,15,5,5,5,35,0,0,-1.1,150
Exp#45,0,5,10,5,20,5,5,0,15,5,0,-1.2,120
Exp#46,5,0,5,5,5,10,10,5,15,0,10,-1.5,120
Exp#47,15,0,5,10,0,20,0,5,5,10,0,-1.4,60
Exp#48,5,10,10,0,0,5,0,35,0,5,0,-1.4,90
Exp#49,0,0,35,0,0,0,15,5,0,15,0,-1.5,60
Exp#50,10,0,10,0,0,0,20,10,0,15,5,-1.5,60
Exp#51,0,10,15,15,0,0,0,0,20,5,5,-1.4,120
Exp#52,0,10,5,0,15,0,5,5,5,15,10,-1.3,150
Exp#53,0,0,15,0,10,5,10,5,15,10,0,-1.4,120
Exp#54,10,0,10,0,5,0,5,5,10,10,15,-1.1,90
Exp#55,25,5,5,0,0,10,0,0,0,20,5,-1.4,120
Exp#56,0,0,0,10,10,0,0,20,5,5,20,-1.1,90
Exp#57,5,10,0,10,5,5,5,0,30,0,0,-1.4,90
Exp#58,0,0,5,5,10,0,25,0,20,0,5,-1.5,120
Exp#59,0,5,10,20,5,0,0,0,0,30,0,-1.3,150
Exp#60,20,5,0,0,15,5,0,20,0,0,5,-1.2,120
Exp#61,10,0,5,25,0,0,0,5,0,20,5,-1.1,120
Exp#62,0,0,0,10,0,0,10,0,5,45,0,-1.2,60
Exp#63,10,0,10,10,0,0,20,0,10,10,0,-1.1,150
Exp#64,0,5,15,5,0,5,0,15,10,10,5,-1.4,120
Exp#65,30,0,10,5,0,5,0,5,0,15,0,-1.1,150
Exp#66,5,0,0,5,0,5,5,5,20,0,25,-1.5,120
Exp#67,0,0,10,10,20,10,0,0,5,15,0,-1.3,120
Exp#68,0,20,0,0,5,20,0,10,5,10,0,-1.2,60
Exp#69,10,0,0,0,15,10,0,20,5,10,0,-1.4,90
Exp#70,5,5,10,10,0,5,0,5,0,15,15,-1.1,60
Exp#71,5,0,0,0,5,5,10,5,0,20,20,-1.4,90
Exp#72,0,5,15,0,0,10,5,0,0,20,15,-1.2,60
Exp#73,25,0,0,5,0,0,5,5,5,10,15,-1.4,60
Exp#74,15,5,5,5,0,0,15,0,15,5,5,-1.3,90
Exp#75,0,15,5,5,0,0,0,10,5,5,25,-1.5,150
Exp#76,20,0,5,0,0,0,15,15,5,10,0,-1.5,150
Exp#77,0,5,0,5,15,10,10,5,5,10,5,-1.5,60
Exp#78,0,5,0,0,0,25,5,10,0,10,15,-1.1,90
Exp#79,10,0,5,5,0,5,5,35,0,5,0,-1.1,150
Exp#80,0,0,25,10,0,0,0,5,10,10,10,-1.1,150
Exp#81,15,0,10,0,20,0,0,15,5,5,0,-1.2,120
Exp#82,0,15,0,5,10,10,0,15,10,5,0,-1.2,120
Exp#83,15,10,5,0,0,0,5,5,25,0,5,-1.1,150
Exp#84,0,5,0,0,0,10,10,10,20,0,15,-1.1,150
Exp#85,0,5,5,0,10,0,15,10,15,5,5,-1.5,60
Exp#86,10,5,25,0,5,0,0,10,0,15,0,-1.5,60
Exp#87,0,5,15,0,25,0,0,15,5,5,0,-1.3,90
Exp#88,10,15,5,0,0,0,0,0,20,15,5,-1.2,90
Exp#89,5,0,5,5,0,0,15,10,0,10,20,-1.1,60
Exp#90,0,20,0,5,0,10,0,10,10,5,10,-1.5,90
Exp#91,0,5,5,5,15,10,0,5,20,5,0,-1.4,120
Exp#92,10,5,15,5,0,0,15,10,5,5,0,-1.3,120
Exp#93,5,5,5,5,0,15,5,15,0,15,0,-1.2,90
Exp#94,10,5,0,5,5,5,0,35,0,5,0,-1.4,90
Exp#95,0,0,5,0,10,5,5,25,10,0,10,-1.2,90
Exp#96,0,0,10,0,10,0,0,15,20,15,0,-1.3,60
Exp#97,5,0,0,15,0,5,5,0,10,10,20,-1.1,150
Exp#98,0,20,0,10,5,0,15,10,5,5,0,-1.4,120
Exp#99,5,5,5,5,5,5,0,5,5,25,5,-1.3,150
Exp#100,5,0,0,0,0,20,10,10,25,0,0,-1.1,90
Exp#101,15,0,0,5,5,15,0,5,25,0,0,-1.5,150
Exp#102,0,15,0,5,15,10,0,0,5,15,5,-1.1,90
Exp#103,5,0,0,30,10,5,0,5,15,0,0,-1.3,120
Exp#104,5,5,15,5,0,5,10,10,10,5,0,-1.1,150
Exp#105,0,0,0,5,30,10,0,0,25,0,0,-1.2,90
Exp#106,0,0,0,25,0,0,10,10,20,5,0,-1.3,150
Exp#107,0,0,35,0,0,5,5,20,0,0,5,-1.3,150
Exp#108,5,0,0,0,5,5,20,10,0,25,0,-1.3,150
Exp#109,10,10,0,5,0,15,5,0,25,0,0,-1.4,60
Exp#110,5,0,5,30,0,0,0,0,20,0,10,-1.4,60
Exp#111,5,15,10,0,0,5,0,5,15,10,5,-1.2,150
Exp#112,0,0,20,0,0,10,5,30,0,0,5,-1.1,120
Exp#113,5,15,0,10,15,0,0,5,20,0,0,-1.3,60
Exp#114,5,0,10,10,0,0,0,30,5,5,5,-1.3,60
Exp#115,0,0,5,25,5,0,15,15,5,0,0,-1.1,90
Exp#116,0,0,20,10,5,0,0,15,5,0,15,-1.4,90
Exp#117,5,5,0,5,5,25,5,5,5,10,0,-1.3,90
Exp#118,5,5,0,5,5,0,5,10,20,5,10,-1.2,90
Exp#119,0,5,5,15,0,20,0,15,0,10,0,-1.4,90
Exp#120,5,10,0,10,0,0,0,0,30,15,0,-1.4,120
Exp#121,20,5,10,5,0,5,5,0,20,0,0,-1.4,150
Exp#122,5,0,30,0,0,0,5,5,20,0,5,-1.3,90
Exp#123,10,10,10,5,10,0,0,15,5,5,0,-1.2,90
Exp#124,0,5,0,5,35,0,0,10,10,5,0,-1.2,150
Exp#125,5,0,0,0,10,5,15,10,25,0,0,-1.1,120
Exp#126,5,0,0,0,5,30,10,0,20,0,0,-1.3,120
Exp#127,0,5,0,15,5,15,0,5,0,15,10,-1.5,90
Exp#128,0,20,0,5,15,5,5,10,0,10,0,-1.2,150
Exp#129,10,10,5,0,0,10,5,5,10,5,10,-1.5,60
Exp#130,5,0,5,5,0,15,0,0,10,25,5,-1.2,90
Exp#131,5,15,0,15,0,0,5,5,0,15,10,-1.5,60
Exp#132,0,0,5,5,15,0,0,15,5,20,5,-1.1,60
Exp#133,15,0,0,10,0,20,0,0,0,25,0,-1.1,150
Exp#134,0,5,15,10,5,10,0,0,10,15,0,-1.5,120
Exp#135,0,10,30,0,0,0,0,20,0,0,10,-1.1,60
Exp#136,0,5,10,0,20,5,5,10,15,0,0,-1.2,90
Exp#137,10,5,0,25,0,5,5,20,0,0,0,-1.3,120
